# columns = TERM LEMMA POS PROB
# identifier = zola1890-11
# creator = Zola, Émile
# created = 1890
# isPartOf = La bête humaine
# title = XI

↵↵↵	↵↵↵	PUNCTstruct
XI	XI	NUM
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
était	être	AUX
dans	dans	ADP
la	le	DET
grande	grand	ADJ
chambre à coucher	chambre à coucher	NOUN
de	de	ADP
la	le	DET
Croix-de-Maufras	Croix-de-Maufras	PROPN
,	,	PUNCTclause
la	le	DET
chambre	chambre	NOUN
tendue	tendu	ADJ
de	de	ADP
damas	damas	NOUN
rouge	rouge	ADJ
,	,	PUNCTclause
dont	dont	PRON
les	le	DET
deux	deux	NUM
hautes	haut	ADJ
fenêtres	fenêtre	NOUN
donnaient	donner	VERB
sur	sur	ADP
la	le	DET
ligne	ligne	NOUN
du	du	ADP_DET
chemin de fer	chemin de fer	NOUN
,	,	PUNCTclause
à	à	ADP
quelques	quelque	DET
mètres	mètre	NOUN
.	.	PUNCTsent
Du	du	ADP_DET
lit	lit	NOUN
,	,	PUNCTclause
un	un	DET
vieux	vieux	ADJ
lit	lit	NOUN
à	à	ADP
colonnes	colonne	NOUN
,	,	PUNCTclause
placé	placer	VERB
en face	en face	ADV
,	,	PUNCTclause
on	on	PRON
voyait	voir	VERB
les	le	DET
trains	train	NOUN
passer	passer	VERB
.	.	PUNCTsent
Et	et	CCONJ
,	,	PUNCTclause
depuis	depuis	ADP
des	un	DET
années	année	NOUN
,	,	PUNCTclause
on	on	PRON
ne	ne	ADV
y	y	PRON
avait	avoir	VERB
pas	pas	ADV
enlevé	enlever	VERB
un	un	DET
objet	objet	NOUN
,	,	PUNCTclause
pas	pas	ADV
dérangé	déranger	VERB
un	un	DET
meuble	meuble	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Séverine	Séverine	PROPN
avait	avoir	AUX
fait	faire	VERB
monter	monter	VERB
dans	dans	ADP
cette	ce	DET
pièce	pièce	NOUN
Jacques	Jacques	PROPN
blessé	blesser	VERB
,	,	PUNCTclause
évanoui	évanouir	VERB
;	;	PUNCTclause
tandis que	tandis que	SCONJ
on	on	PRON
laissait	laisser	VERB
Henri	Henri	PROPN
Dauvergne	Dauvergne	PROPN
au	au	ADP_DET
rez-de-chaussée	rez-de-chaussée	NOUN
,	,	PUNCTclause
dans	dans	ADP
une	un	DET
autre	autre	ADJ
chambre à coucher	chambre à coucher	NOUN
,	,	PUNCTclause
plus	plus	ADV
petite	petit	ADJ
.	.	PUNCTsent
Elle	elle	PRON
gardait	garder	VERB
pour	pour	ADP
elle-même	elle-même	PRON
une	un	DET
chambre	chambre	NOUN
voisine	voisin	ADJ
de	de	ADP
celle	celle	PRON
de	de	ADP
Jacques	Jacques	PROPN
,	,	PUNCTclause
dont	dont	PRON
le	le	DET
palier	palier	NOUN
seul	seul	ADJ
la	le	DET
séparait	séparer	VERB
.	.	PUNCTsent
En	en	ADP
deux	deux	NUM
heures	heure	NOUN
,	,	PUNCTclause
l'	le	DET
installation	installation	NOUN
fut	être	AUX
suffisamment	suffisamment	ADV
confortable	confortable	ADJ
,	,	PUNCTclause
car	car	CCONJ
la	le	DET
maison	maison	NOUN
était	être	AUX
restée	rester	VERB
toute	toute	DET
montée	montée	NOUN
,	,	PUNCTclause
il y a	il y a	VERB
jusque	jusque	ADP
à	à	ADP
du	du	DET
linge	linge	NOUN
au	au	ADP_DET
fond	fond	NOUN
des	un	ADP_DET
armoires	armoire	NOUN
.	.	PUNCTsent
Un	un	DET
tablier	tablier	NOUN
noué	noué	ADJ
par-dessus	par-dessus	ADP
sa	son	DET
robe	robe	NOUN
,	,	PUNCTclause
Séverine	Séverine	PROPN
se	se	PRON
trouvait	trouver	VERB
changée	changer	VERB
en	en	ADP
infirmière	infirmier	NOUN
,	,	PUNCTclause
après	après	ADP
avoir	avoir	AUX
télégraphié	télégraphier	VERB
simplement	simplement	ADV
à	à	ADP
Roubaud	Roubaud	PROPN
que	que	SCONJ
il	il	PRON
ne	ne	ADV
eût	avoir	VERB
pas	pas	ADV
à	à	ADP
l'	le	DET
attendre	attendre	VERB
,	,	PUNCTclause
que	que	SCONJ
elle	elle	PRON
demeurerait	demeurer	VERB
là	là	ADV
sans doute	sans doute	ADV
quelques	quelque	DET
jours	jour	NOUN
,	,	PUNCTclause
pour	pour	ADP
soigner	soigner	VERB
des	un	DET
blessés	blessé	NOUN
,	,	PUNCTclause
recueillis	recueillir	VERB
chez	chez	ADP
eux	eux	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
,	,	PUNCTclause
dès	dès	ADP
le	le	DET
lendemain	lendemain	NOUN
,	,	PUNCTclause
le	le	DET
médecin	médecin	NOUN
avait	avoir	VERB
cru	croire	VERB
pouvoir	pouvoir	VERB
répondre	répondre	VERB
de	de	ADP
Jacques	Jacques	PROPN
,	,	PUNCTclause
même	même	ADV
en	en	ADP
huit	huit	NUM
jours	jour	NOUN
il	il	PRON
comptait	compter	VERB
le	le	DET
remettre	remettre	VERB
sur	sur	ADP
pied	pied	NOUN
:	:	PUNCTclause
un	un	DET
véritable	véritable	ADJ
miracle	miracle	NOUN
,	,	PUNCTclause
à peine de	à peine de	ADP
légers	léger	ADJ
désordres	désordre	NOUN
intérieurs	intérieur	ADJ
.	.	PUNCTsent
Mais	mais	CCONJ
il	il	PRON
recommandait	recommander	VERB
les	le	DET
plus	plus	ADV
grands	grand	ADJ
soins	soin	NOUN
,	,	PUNCTclause
l'	le	DET
immobilité	immobilité	NOUN
la	le	DET
plus	plus	ADV
absolue	absolu	ADJ
.	.	PUNCTsent
Aussi	aussi	ADV
,	,	PUNCTclause
lorsque	lorsque	SCONJ
le	le	DET
malade	malade	NOUN
ouvrit	ouvrir	VERB
les	le	DET
yeux	œil	NOUN
,	,	PUNCTclause
Séverine	Séverine	PROPN
,	,	PUNCTclause
qui	qui	PRON
le	le:PRON	PRON
veillait	veiller	VERB
comme	comme	ADP
un	un	DET
enfant	enfant	NOUN
,	,	PUNCTclause
le	le	DET
supplia	supplier	VERB
elle	elle	PRON
de	de	ADP
être	être	AUX
gentil	gentil	ADJ
,	,	PUNCTclause
de	de	ADP
lui	lui	PRON
obéir	obéir	VERB
en	en	ADP
toute	toute	DET
chose	chose	NOUN
.	.	PUNCTsent
Lui	lui	PRON
,	,	PUNCTclause
très	très	ADV
faible	faible	ADJ
encore	encore	ADV
,	,	PUNCTclause
promit	promettre	VERB
de	de	ADP
un	un	DET
signe de tête	signe de tête	NOUN
.	.	PUNCTsent
Il	il	PRON
avait	avoir	AUX
toute	toute	DET
sa	son	DET
lucidité	lucidité	NOUN
,	,	PUNCTclause
il	il	PRON
reconnaissait	reconnaître	VERB
cette	ce	DET
chambre	chambre	NOUN
,	,	PUNCTclause
décrite	décrire	VERB
par	par	ADP
elle	elle	PRON
,	,	PUNCTclause
la	le	DET
nuit	nuit	NOUN
de	de	ADP
ses	son	DET
aveux	aveu	NOUN
:	:	PUNCTclause
la	le	DET
chambre	chambre	NOUN
rouge	rouge	ADJ
,	,	PUNCTclause
où	où	PRON
,	,	PUNCTclause
dès	dès	ADP
seize	seize	NUM
ans	an	NOUN
et	et	CCONJ
demi	demi	ADJ
,	,	PUNCTclause
elle	elle	PRON
avait	avoir	AUX
cédé	céder	VERB
aux	au	ADP_DET
violences	violence	NOUN
du	du	ADP_DET
président	président	NOUN
Grandmorin	Grandmorin	PROPN
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
bien	bien	ADV
le	le	DET
lit	lit	NOUN
que	que	SCONJ
il	il	PRON
occupait	occuper	VERB
maintenant	maintenant	ADV
,	,	PUNCTclause
ce	ce	PRON
étaient	être	AUX
les	le	DET
fenêtres	fenêtre	NOUN
par	par	ADP
lesquelles	lesquelles	PRON
,	,	PUNCTclause
sans	sans	ADP
même	même	ADV
lever	lever	VERB
la	le	DET
tête	tête	NOUN
,	,	PUNCTclause
il	il	PRON
regardait	regarder	VERB
filer	filer	VERB
les	le	DET
trains	train	NOUN
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
brusque	brusque	ADJ
ébranlement	ébranlement	NOUN
de	de	ADP
la	le	DET
maison	maison	NOUN
tout	tout	ADV
entière	entier	ADJ
.	.	PUNCTsent
Et	et	CCONJ
,	,	PUNCTclause
cette	ce	DET
maison	maison	NOUN
,	,	PUNCTclause
il	il	PRON
la	le	DET
sentait	sentir	VERB
à	à	ADP
son	son	DET
entour	entour	NOUN
,	,	PUNCTclause
telle	tel	DET
que	que	SCONJ
il	il	PRON
l'	le:PRON	PRON
avait	avoir	AUX
vue	vu	VERB
si	si	ADV
souvent	souvent	ADV
,	,	PUNCTclause
lorsque	lorsque	SCONJ
lui-même	lui-même	PRON
passait	passer	VERB
là	là	ADV
,	,	PUNCTclause
emporté	emporter	VERB
sur	sur	ADP
sa	son	DET
machine	machine	NOUN
.	.	PUNCTsent
Il	il	PRON
la	le	DET
revoyait	revoir	VERB
,	,	PUNCTclause
plantée	planter	VERB
de	de	ADP
biais	biais	NOUN
au bord de	au bord de	ADP
la	le	DET
voie	voie	NOUN
,	,	PUNCTclause
dans	dans	ADP
sa	son	DET
détresse	détresse	NOUN
et	et	CCONJ
dans	dans	ADP
l'	le	DET
abandon	abandon	NOUN
de	de	ADP
ses	son	DET
volets	volet	NOUN
clos	clos	ADJ
,	,	PUNCTclause
rendue	rendre	VERB
,	,	PUNCTclause
depuis	depuis	ADV
que	que	SCONJ
elle	elle	PRON
était	être	VERB
à	à	ADP
vendre	vendre	VERB
,	,	PUNCTclause
plus	plus	ADV
lamentable	lamentable	ADJ
et	et	CCONJ
plus	plus	ADV
louche	louche	ADJ
par	par	ADP
l'	le	DET
immense	immense	ADJ
écriteau	écriteau	NOUN
,	,	PUNCTclause
qui	qui	PRON
ajoutait	ajouter	VERB
à	à	ADP
la	le	DET
mélancolie	mélancolie	NOUN
du	du	ADP_DET
jardin	jardin	NOUN
,	,	PUNCTclause
obstrué	obstruer	VERB
de	de	ADP
ronces	ronce	NOUN
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
rappelait	rappeler	VERB
l'	le	DET
affreuse	affreux	ADJ
tristesse	tristesse	NOUN
que	que	SCONJ
il	il	PRON
éprouvait	éprouver	VERB
chaque fois	chaque fois	ADV
,	,	PUNCTclause
le	le	DET
malaise	malaise	NOUN
dont	dont	PRON
elle	elle	PRON
le	le:PRON	PRON
hantait	hanter	VERB
,	,	PUNCTclause
comme	comme	SCONJ
si	si	SCONJ
elle	elle	PRON
se	se	PRON
dressait	dresser	VERB
à	à	ADP
cette	ce	DET
place	place	NOUN
pour	pour	ADP
le	le	DET
malheur	malheur	NOUN
de	de	ADP
son	son	DET
existence	existence	NOUN
.	.	PUNCTsent
Aujourd'hui	aujourd'hui	ADV
,	,	PUNCTclause
couché	coucher	VERB
dans	dans	ADP
cette	ce	DET
chambre	chambre	NOUN
,	,	PUNCTclause
si	si	ADV
faible	faible	ADJ
,	,	PUNCTclause
il	il	PRON
croyait	croire	VERB
comprendre	comprendre	VERB
,	,	PUNCTclause
car	car	CCONJ
ce	ce	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
être	être	AUX
que	que	ADV
cela	cela	PRON
:	:	PUNCTclause
il	il	PRON
allait	aller	VERB
sûrement	sûrement	ADV
y	y	PRON
mourir	mourir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
dès que	dès que	SCONJ
elle	elle	PRON
l'	le:PRON	PRON
avait	avoir	AUX
vu	voir	VERB
en	en	ADP
état	état	NOUN
de	de	ADP
l'	le	DET
entendre	entendre	VERB
,	,	PUNCTclause
Séverine	Séverine	PROPN
se	se	PRON
était	être	AUX
empressée	empresser	VERB
de	de	ADP
le	le	DET
rassurer	rassurer	VERB
,	,	PUNCTclause
en	en	ADP
lui	lui	PRON
disant	dire	VERB
à	à	ADP
l'	le	DET
oreille	oreille	NOUN
,	,	PUNCTclause
pendant que	pendant que	SCONJ
elle	elle	PRON
remontait	remonter	VERB
la	le	DET
couverture	couverture	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Ne	ne	ADV
te	te	PRON
inquiète	inquiéter	VERB
pas	pas	ADV
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
vidé	vider	VERB
tes	ton	DET
poches	poche	NOUN
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
pris	prendre	VERB
la	le	DET
montre	montre	NOUN
.	.	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Il	il	PRON
la	le	DET
regardait	regarder	VERB
,	,	PUNCTclause
les	le	DET
yeux	œil	NOUN
élargis	élargir	VERB
,	,	PUNCTclause
faisant	faire	VERB
un	un	DET
effort	effort	NOUN
de	de	ADP
mémoire	mémoire	NOUN
.	.	PUNCTsent
