term_id	lemma	cf	df
1	le	2032994	7728
2	de	1373926	7728
3	un	852955	7715
4	être	693129	7725
5	et	667662	7721
6	que	564496	7720
7	avoir	530748	7722
8	à	529391	7723
9	ce	489248	7716
10	il	473457	7699
11	ne	421634	7720
12	son	389228	7681
13	je	381137	7476
14	se	367889	7688
15	en	298437	7698
16	vous	269800	7031
17	qui	262164	7705
18	pas	229090	7701
19	dans	207146	7686
20	elle	206220	7399
21	du	201596	7679
22	dire	196359	7646
23	faire	175823	7679
24	pour	171017	7680
25	au	167084	7666
26	me	166870	7094
27	lui	147165	7596
28	mon	143263	7189
29	tout	140373	7672
30	le:PRON	139999	7658
31	mais	134948	7678
32	sur	129014	7639
33	si	128169	7644
34	plus	124008	7652
35	par	120358	7605
36	avec	114726	7631
37	on	113293	7547
38	nous	106731	7254
39	comme	106039	7612
40	bien	94693	7570
41	pouvoir	89025	7601
42	voir	77548	7517
43	aller	75980	7492
44	moi	65155	6737
45	homme	63290	7162
46	leur	63065	6833
47	vouloir	62025	7387
48	y	62015	7405
49	savoir	58704	7330
50	venir	58463	7401
51	ils	58189	6651
52	où	56556	7381
53	tu	56191	4657
54	deux	55377	7212
55	sans	51171	7269
56	ou	50781	7280
57	prendre	48367	7354
58	devoir	47161	7183
59	répondre	46589	6942
60	donc	46157	7251
61	monsieur	45911	4806
62	grand	43359	7051
63	encore	42259	7251
64	donner	41743	7166
65	dont	40736	6978
66	jour	40163	6905
67	quelque	40042	6961
68	femme	39443	5249
69	votre	38404	5549
70	trouver	38391	7052
71	madame	38382	3490
72	demander	38023	6892
73	même	37101	7090
74	cela	36124	6844
75	rien	35541	6948
76	heure	35535	6671
77	jeune	35409	5673
78	croire	35376	6863
79	main	34334	6751
80	M.	34090	4184
81	quand	33602	6554
82	petit	33579	6133
83	aussi	32879	6901
84	puis	32257	6714
85	mettre	32061	6790
86	point	31938	6621
87	falloir	31575	6801
88	non	31193	6682
89	après	31065	6800
90	passer	30930	6962
91	te	30508	3933
92	laisser	29593	6791
93	bon	29249	6370
94	oui	29229	5981
95	parler	29029	6373
96	alors	28864	6541
97	œil	28472	6433
98	là	28278	6588
99	jamais	27638	6318
100	aimer	27177	4924
101	seul	26853	6600
102	sous	26772	6416
103	car	26589	6386
104	entendre	26533	6417
105	autre	26272	6637
106	roi	25620	2780
107	toujours	25143	6364
108	premier	25000	6530
109	ni	24915	5061
