# columns = TERM LEMMA POS PROB
# identifier = dumas1859b-234
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CCXXXIV. Où Pétrus voit que ses pressentiments ne l’avaient pas trompé.

↵↵↵	↵↵↵	PUNCTstruct
Ccxxxiv	Ccxxxiv	PROPN
.	.	PUNCTsent
Où	où	PRON
Pétrus	Pétrus	PROPN
voit	voir	VERB
que	que	SCONJ
ses	son	DET
pressentiments	pressentiment	NOUN
ne	ne	ADV
l'	le:PRON	PRON
avaient	avoir	AUX
pas	pas	ADV
trompé	tromper	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
comte	comte	NOUN
Herbel	Herbel	PROPN
se	se	PRON
accommoda	accommoder	VERB
du	du	ADP_DET
mieux	mieux	ADV
que	que	PRON
il	il	PRON
put	pouvoir	VERB
dans	dans	ADP
son	son	DET
fauteuil	fauteuil	NOUN
,	,	PUNCTclause
car	car	CCONJ
le	le	DET
vieux	vieux	ADJ
sybarite	sybarite	NOUN
aimait	aimer	VERB
à	à	ADP
être	être	AUX
à	à	ADP
son	son	DET
aise	aise	NOUN
pour	pour	ADP
moraliser	moraliser	VERB
.	.	PUNCTsent
Pétrus	Pétrus	PROPN
le	le	DET
regarda	regarder	VERB
faire	faire	VERB
avec	avec	ADP
une	un	DET
certaine	certain	ADJ
inquiétude	inquiétude	NOUN
.	.	PUNCTsent
Le	le	DET
comte	comte	NOUN
tira	tirer	VERB
sa	son	DET
tabatière	tabatier	NOUN
de	de	ADP
sa	son	DET
poche	poche	NOUN
,	,	PUNCTclause
aspira	aspirer	VERB
voluptueusement	voluptueusement	ADV
sa	son	DET
prise	prise	NOUN
de	de	ADP
tabac	tabac	NOUN
de	de	ADP
Espagne	Espagne	PROPN
,	,	PUNCTclause
chiquenauda	chiquenauda	X
son	son	DET
gilet	gilet	NOUN
pour	pour	ADP
en	en	PRON
chasser	chasser	VERB
les	le	DET
atomes	atome	NOUN
odorants	odorant	ADJ
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
changeant	changer	VERB
complètement	complètement	ADV
de	de	ADP
ton	ton	DET
et	et	CCONJ
de	de	ADP
manières	manière	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
neveu	neveu	NOUN
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
nous	nous	PRON
avons	avoir	AUX
donc	donc	ADV
suivi	suivre	VERB
les	le	DET
conseils	conseil	NOUN
de	de	ADP
notre	notre	DET
bon	bon	ADJ
oncle	oncle	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
sourire	sourire	NOUN
revint	revenir	VERB
sur	sur	ADP
les	le	DET
lèvres	lèvre	NOUN
de	de	ADP
Pétrus	Pétrus	PROPN
,	,	PUNCTclause
qui	qui	PRON
avait	avoir	AUX
déjà	déjà	ADV
pris	prendre	VERB
une	un	DET
figure	figure	NOUN
de	de	ADP
circonstance	circonstance	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Quels	quel	DET
conseils	conseil	NOUN
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
oncle	oncle	NOUN
?	?	PUNCTsent
demanda	demander	VERB
il	il	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
!	!	PUNCTsent
mais	mais	CCONJ
…	…	PUNCTsent
à l'endroit de	à l'endroit de	ADP
madame	madame	NOUN
de	de	ADP
Marande	Marande	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
De	de	ADP
madame	madame	NOUN
de	de	ADP
Marande	Marande	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
vous	vous	PRON
jure	jurer	VERB
,	,	PUNCTclause
mon	mon	DET
oncle	oncle	NOUN
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
ne	ne	ADV
sais	savoir	VERB
pas	pas	ADV
ce	ce	PRON
