# columns = TERM LEMMA POS PROB
# identifier = sand1850-26
# creator = Sand, George
# created = 1850
# isPartOf = François le Champi
# title = XXIV

↵↵↵	↵↵↵	PUNCTstruct
XXIV	XXIV	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Madeleine	Madeleine	PROPN
était	être	AUX
encore	encore	ADV
plus	plus	ADV
confondue	confondu	ADJ
que	que	SCONJ
français	français	ADJ
,	,	PUNCTclause
et	et	CCONJ
elle	elle	PRON
aurait	avoir	AUX
voulu	vouloir	VERB
aller	aller	VERB
le	le	DET
questionner	questionner	VERB
encore	encore	ADV
et	et	CCONJ
le	le	DET
consoler	consoler	VERB
;	;	PUNCTclause
mais	mais	CCONJ
elle	elle	PRON
en	en	PRON
fut	être	AUX
empêchée	empêcher	VERB
par	par	ADP
Mariette	Mariette	PROPN
,	,	PUNCTclause
qui	qui	PRON
se	se	PRON
en	en	ADP
vint	venir	VERB
,	,	PUNCTclause
de	de	ADP
un	un	DET
air	air	NOUN
étrange	étrange	ADJ
,	,	PUNCTclause
lui	lui	PRON
parler	parler	VERB
de	de	ADP
Jean	Jean	PROPN
Aubard	Aubard	PROPN
et	et	CCONJ
lui	lui	PRON
annoncer	annoncer	VERB
sa	son	DET
demande	demande	NOUN
.	.	PUNCTsent
Madeleine	Madeleine	PROPN
ne	ne	ADV
pouvant	pouvoir	VERB
se	se	PRON
ôter	ôter	VERB
de	de	ADP
l'	le	DET
idée	idée	NOUN
que	que	SCONJ
tout	tout	ADJ
cela	cela	PRON
était	être	AUX
le	le	DET
produit	produit	NOUN
de	de	ADP
une	un	DET
dispute	dispute	NOUN
de	de	ADP
amoureux	amoureux	NOUN
,	,	PUNCTclause
se	se	PRON
essaya	essayer	VERB
à	à	ADP
lui	lui	PRON
parler	parler	VERB
de	de	ADP
français	français	NOUN
;	;	PUNCTclause
à	à	ADP
quoi	quoi	PRON
Mariette	Mariette	PROPN
répondit	répondre	VERB
,	,	PUNCTclause
de	de	ADP
un	un	DET
ton	ton	NOUN
qui	qui	PRON
lui	lui	PRON
fit	faire	VERB
bien	bien	ADV
de	de	ADP
la	le	DET
peine	peine	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
put	pouvoir	VERB
comprendre	comprendre	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	SCONJ
celles	celle	PRON
qui	qui	PRON
aiment	aimer	VERB
les	le	DET
champis	champi	NOUN
les	le:PRON	PRON
gardent	garder	VERB
pour	pour	ADP
leur	leur	DET
amusement	amusement	NOUN
;	;	PUNCTclause
tant qu'à	tant qu'à	ADP
moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
suis	être	AUX
une	un	DET
honnête	honnête	ADJ
fille	fille	NOUN
,	,	PUNCTclause
et	et	CCONJ
ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
parce que	parce que	SCONJ
mon	mon	DET
pauvre	pauvre	NOUN
frère	frère	NOUN
est	être	AUX
mort	mourir	VERB
que	que	SCONJ
je	je	PRON
laisserai	laisser	VERB
offenser	offenser	VERB
mon	mon	DET
honneur	honneur	NOUN
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
dépends	dépendre	VERB
que	que	ADV
de	de	ADP
moi	moi	PRON
,	,	PUNCTclause
Madeleine	Madeleine	PROPN
,	,	PUNCTclause
et	et	CCONJ
si	si	SCONJ
la	le	DET
loi	loi	NOUN
me	me	PRON
force	forcer	VERB
à	à	ADP
vous	vous	PRON
demander	demander	VERB
conseil	conseil	NOUN
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
me	me	PRON
force	forcer	VERB
pas	pas	ADV
de	de	ADP
vous	vous	PRON
écouter	écouter	VERB
quand	quand	SCONJ
vous	vous	PRON
me	me	PRON
conseillez	conseiller	VERB
mal	mal	ADV
.	.	PUNCTsent
Je	je	PRON
vous	vous	PRON
prie	prier	VERB
donc	donc	ADV
de	de	ADP
ne	ne	ADV
pas	pas	ADV
me	me	PRON
contrarier	contrarier	VERB
maintenant	maintenant	ADV
,	,	PUNCTclause
car	car	CCONJ
je	je	PRON
pourrais	pouvoir	VERB
vous	vous	PRON
contrarier	contrarier	VERB
plus tard	plus tard	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
sais	savoir	VERB
point	point	ADV
ce	ce	DET
que	que	SCONJ
vous	vous	PRON
avez	avoir	VERB
,	,	PUNCTclause
ma	mon	DET
pauvre	pauvre	NOUN
enfant	enfant	NOUN
,	,	PUNCTclause
lui	lui	PRON
dit	dire	VERB
Madeleine	Madeleine	PROPN
en	en	ADP
grande	grand	ADJ
douceur	douceur	NOUN
et	et	CCONJ
tristesse	tristesse	NOUN
;	;	PUNCTclause
vous	vous	PRON
me	me	PRON
parlez	parler	VERB
comme	comme	SCONJ
si	si	SCONJ
vous	vous	PRON
ne	ne	ADV
aviez	avoir	VERB
pour	pour	ADP
moi	moi	PRON
estime	estimer	VERB
ni	ni	CCONJ
amitié	amitié	NOUN
.	.	PUNCTsent
Je	je	PRON
pense	penser	VERB
que	que	SCONJ
vous	vous	PRON
avez	avoir	VERB
une	un	DET
contrariété	contrariété	NOUN
qui	qui	PRON
vous	vous	PRON
embrouille	embrouiller	VERB
l'	le	DET
esprit	esprit	NOUN
à	à	ADP
cette	ce	DET
heure	heure	NOUN
;	;	PUNCTclause
je	je	PRON
vous	vous	PRON
prie	prier	VERB
donc	donc	ADV
de	de	ADP
prendre	prendre	VERB
trois	trois	NUM
ou	ou	CCONJ
quatre	quatre	NUM
jours	jour	NOUN
pour	pour	ADP
vous	vous	PRON
décider	décider	VERB
.	.	PUNCTsent
Je	je	PRON
dirai	dire	VERB
à	à	ADP
Jean	Jean	PROPN
Aubard	Aubard	PROPN
de	de	ADP
revenir	revenir	VERB
,	,	PUNCTclause
et	et	CCONJ
si	si	SCONJ
vous	vous	PRON
pensez	penser	VERB
de même	de même	ADV
après	après	ADP
avoir	avoir	AUX
pris	prendre	VERB
un	un	DET
peu de	peu de	DET
réflexion	réflexion	NOUN
et	et	CCONJ
de	de	ADP
tranquillité	tranquillité	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
il	il	PRON
est	être	AUX
honnête homme	honnête homme	NOUN
et	et	CCONJ
assez	assez	ADV
riche	riche	ADJ
,	,	PUNCTclause
je	je	PRON
vous	vous	PRON
laisserai	laisser	VERB
libre	libre	ADJ
de	de	ADP
l'	le	DET
épouser	épouser	VERB
.	.	PUNCTsent
Mais	mais	CCONJ
vous	vous	PRON
voilà	voilà	ADP
dans	dans	ADP
un	un	DET
coups de feu	coups de feu	NOUN
qui	qui	PRON
vous	vous	PRON
empêche	empêcher	VERB
de	de	ADP
vous	vous	PRON
connaître	connaître	VERB
et	et	CCONJ
qui	qui	PRON
ferme	fermer	VERB
votre	votre	DET
jugement	jugement	NOUN
à	à	ADP
l'	le	DET
amitié	amitié	NOUN
que	que	PRON
je	je	PRON
vous	vous	PRON
porte	porter	VERB
.	.	PUNCTsent
je	je	PRON
en	en	ADP
ai	avoir	VERB
du	du	ADP_DET
chagrin	chagrin	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
comme	comme	SCONJ
je	je	PRON
vois	voir	VERB
que	que	SCONJ
vous	vous	PRON
en	en	PRON
avez	avoir	VERB
aussi	aussi	ADV
,	,	PUNCTclause
je	je	PRON
vous	vous	PRON
le	le:PRON	PRON
pardonne	pardonner	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
Mariette	Mariette	PROPN
hocha	hocher	VERB
de	de	ADP
la	le	DET
tête	tête	NOUN
pour	pour	ADP
faire	faire	AUX
croire	croire	VERB
que	que	SCONJ
elle	elle	PRON
méprisait	mépriser	VERB
ce	ce	DET
pardon	pardon	NOUN
,	,	PUNCTclause
et	et	CCONJ
elle	elle	PRON
se	se	PRON
en	en	ADP
fut	être	AUX
mettre	mettre	VERB
son	son	DET
tablier	tablier	NOUN
de	de	ADP
soie	soie	NOUN
pour	pour	ADP
recevoir	recevoir	VERB
Jean	Jean	PROPN
Aubard	Aubard	PROPN
,	,	PUNCTclause
qui	qui	PRON
arriva	arriver	VERB
une	un	DET
heure	heure	NOUN
après	après	ADP
avec	avec	ADP
la	le	DET
grosse	gros	ADJ
Sévère	Sévère	PROPN
tout	tout	PRON
endimanchée	endimancher	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Madeleine	Madeleine	PROPN
,	,	PUNCTclause
pour	pour	ADP
le	le	DET
coup	coup	NOUN
,	,	PUNCTclause
commença	commencer	VERB
de	de	ADP
penser	penser	VERB
que	que	SCONJ
en vérité	en vérité	ADV
Mariette	Mariette	PROPN
était	être	AUX
mal	mal	ADV
portée	porter	VERB
pour	pour	ADP
elle	elle	PRON
,	,	PUNCTclause
de	de	ADP
amener	amener	VERB
dans	dans	ADP
sa	son	DET
maison	maison	NOUN
,	,	PUNCTclause
pour	pour	ADP
une	un	DET
affaire	affaire	NOUN
de	de	ADP
famille	famille	NOUN
,	,	PUNCTclause
une	un	DET
femme	femme	NOUN
qui	qui	PRON
était	être	AUX
son	son	DET
ennemie	ennemi	NOUN
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
voir	voir	VERB
sans	sans	ADP
rougir	rougir	VERB
.	.	PUNCTsent
Elle	elle	PRON
fut	être	AUX
cependant	cependant	ADV
honnête	honnête	ADJ
à son encontre	à son encontre	ADV
et	et	CCONJ
lui	lui	PRON
servit	servir	VERB
à	à	ADP
rafraîchir	rafraîchir	VERB
sans	sans	ADP
marquer	marquer	VERB
ni	ni	CCONJ
dépit	dépit	NOUN
ni	ni	CCONJ
rancune	rancune	NOUN
.	.	PUNCTsent
Elle	elle	PRON
aurait	avoir	AUX
craint	craindre	VERB
de	de	ADP
pousser	pousser	VERB
Mariette	Mariette	PROPN
hors de	hors de	ADP
son	son	DET
bon sens	bon sens	NOUN
en	en	ADP
la	le	DET
contrariant	contrariant	ADJ
.	.	PUNCTsent
Elle	elle	PRON
dit	dire	VERB
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
faisait	faire	VERB
point	point	ADV
de	de	ADP
opposition	opposition	NOUN
aux	au	ADP_DET
volontés	volonté	NOUN
de	de	ADP
sa	son	DET
belle-sœur	belle-sœur	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
que	que	SCONJ
elle	elle	PRON
demandait	demander	VERB
trois	trois	NUM
jours	jour	NOUN
pour	pour	ADP
donner	donner	VERB
réponse	réponse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Sur	sur	ADP
quoi	quoi	PRON
la	le	DET
Sévère	Sévère	PROPN
lui	lui	PRON
dit	dire	VERB
avec	avec	ADP
insolence	insolence	NOUN
que	que	SCONJ
ce	ce	PRON
était	être	AUX
bien	bien	ADV
long	long	ADJ
.	.	PUNCTsent
Et	et	CCONJ
Madeleine	Madeleine	PROPN
répondit	répondre	VERB
tranquillement	tranquillement	ADV
que	que	SCONJ
ce	ce	PRON
était	être	AUX
bien	bien	ADV
court	court	ADJ
.	.	PUNCTsent
Et	et	CCONJ
là-dessus	là-dessus	ADV
Jean	Jean	PROPN
Aubard	Aubard	PROPN
se	se	PRON
retira	retirer	VERB
,	,	PUNCTclause
bête	bête	ADJ
comme	comme	ADP
souche	souche	NOUN
,	,	PUNCTclause
et	et	CCONJ
riant	rire	VERB
comme	comme	ADP
un	un	DET
nigaud	nigaud	NOUN
;	;	PUNCTclause
car	car	CCONJ
il	il	PRON
ne	ne	ADV
doutait	douter	VERB
point	point	ADV
que	que	SCONJ
la	le	DET
Mariette	Mariette	PROPN
ne	ne	ADV
fût	être	AUX
folle	fou	ADJ
de	de	ADP
lui	lui	PRON
.	.	PUNCTsent
Il	il	PRON
avait	avoir	AUX
payé	payer	VERB
pour	pour	ADP
le	le	DET
croire	croire	VERB
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
Sévère	Sévère	PROPN
lui	lui	PRON
en	en	ADP
donnait	donner	VERB
pour	pour	ADP
son	son	DET
argent	argent	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
en	en	ADP
se	se	PRON
en	en	ADP
allant	aller	VERB
,	,	PUNCTclause
celle	celle	PRON
dit	dire	VERB
à	à	ADP
Mariette	Mariette	PROPN
que	que	SCONJ
elle	elle	PRON
avait	avoir	AUX
fait	faire	VERB
faire	faire	VERB
une	un	DET
galette	galette	NOUN
et	et	CCONJ
des	un	DET
crêpes	crêpe	NOUN
chez	chez	ADP
elle	elle	PRON
