# columns = TERM LEMMA POS PROB
# identifier = sand1863b-03
# creator = Sand, George
# created = 1863
# isPartOf = Mademoiselle La Quintinie
# title = Chapitre II. — À M. Honoré Lemontier, à Paris

↵↵↵	↵↵↵	PUNCTstruct
Chapitre	chapitre	NOUN
II	II	NUM
.	.	PUNCTsent
—	—	PUNCTclause
À	à	ADP
M.	M.	PROPN
Honoré	Honoré	PROPN
Lemontier	Lemontier	PROPN
,	,	PUNCTclause
à	à	ADP
Paris	Paris	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Aix	Aix	PROPN
en	en	ADP
Savoie	Savoie	PROPN
,	,	PUNCTclause
2	2	NUM
juin	juin	NOUN
1861	1861	NUM
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
me	me	PRON
y	y	PRON
voici	voici	VERB
.	.	PUNCTsent
Il	il	PRON
pleut	pleuvoir	VERB
.	.	PUNCTsent
Je	je	PRON
me	me	PRON
suis	être	AUX
enfermé	enfermer	VERB
dans	dans	ADP
l'	le	DET
espèce	espèce	NOUN
de	de	DET
chalet	chalet	NOUN
apocryphe	apocryphe	ADJ
que	que	SCONJ
je	je	PRON
habite	habiter	VERB
à côté de	à côté de	ADP
Aix	Aix	PROPN
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
veux	vouloir	PRON
me	me	PRON
occuper	occuper	VERB
que	que	ADV
de	de	DET
toi	toi	PRON
aujourd'hui	aujourd'hui	ADV
.	.	PUNCTsent
Ne	ne	ADV
me	me	PRON
gronde	gronder	VERB
pas	pas	ADV
si	si	SCONJ
je	je	PRON
écris	écrire	VERB
comme	comme	ADP
un	un	DET
chat	chat	NOUN
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
déjà	déjà	ADV
beaucoup	beaucoup	ADV
que	que	SCONJ
de	de	DET
pouvoir	pouvoir	NOUN
écrire	écrire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
a	avoir	VERB
vingt-deux	vingt-deux	NUM
ans	an	NOUN
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
trop	trop	ADV
pour	pour	ADP
moi	moi	PRON
n'est-ce pas	n'est-ce pas	ADV
?	?	PUNCTsent
Je	je	PRON
me	me	PRON
le	le:PRON	PRON
suis	être	AUX
dit	dire	VERB
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
,	,	PUNCTclause
en raison de	en raison de	ADP
la	le	DET
précocité	précocité	NOUN
de	de	DET
son	son	NOUN
sexe	sexe	NOUN
et	et	CCONJ
de	de	DET
l'	le:PRON	PRON
expérience	expérience	VERB
que	que	SCONJ
elle	elle	PRON
a	avoir	AUX
peut-être	peut-être	ADV
déjà	déjà	ADV
du	du	ADP_DET
monde	monde	NOUN
,	,	PUNCTclause
dix	dix	NUM
ans	an	NOUN
de plus	de plus	ADV
que	que	SCONJ
mes	mon	DET
vingt-quatre	vingt-quatre	NUM
ans	an	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
quand	quand	SCONJ
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
vue	vu	VERB
d'abord	d'abord	ADV
,	,	PUNCTclause
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
crue	croire	VERB
beaucoup	beaucoup	ADV
plus	plus	ADV
jeune	jeune	ADJ
.	.	PUNCTsent
Son	son	DET
premier	premier	ADJ
aspect	aspect	NOUN
est	être	AUX
celui	celui	PRON
de	de	DET
une	une	NUM
enfant	enfant	NOUN
.	.	PUNCTsent
Tu	tu	ADJ
vois	voir	NOUN
que	que	SCONJ
ce	ce	DET
ne	ne	ADV
est	être	AUX
pas	pas	ADV
de	de	DET
Élise	Élise	PROPN
Marsanne	Marsanne	PROPN
que	que	SCONJ
je	je	PRON
te	te	VERB
parle	parler	VERB
.	.	PUNCTsent
Élise	Élise	PROPN
est	être	AUX
une	un	DET
charmante	charmant	ADJ
personne	personne	NOUN
.	.	PUNCTsent
je	je	PRON
ai	avoir	AUX
fait	faire	AUX
tout	tout	ADJ
mon	mon	DET
possible	possible	ADJ
pour	pour	ADP
désirer	désirer	VERB
de	de	DET
être	être	AUX
son	son	DET
mari	mari	NOUN
.	.	PUNCTsent
Tu	tu	ADJ
le	le	DET
désirais	désirer	NOUN
,	,	PUNCTclause
toi	toi	PRON
,	,	PUNCTclause
et	et	CCONJ
tu	tu	ADJ
avais	avoir	AUX
raison	raison	DET
.	.	PUNCTsent
Elle	elle	PRON
est	être	AUX
la	le	DET
fille	fille	NOUN
de	de	DET
ton	ton	NOUN
ami	ami	ADJ
,	,	PUNCTclause
elle	elle	PRON
est	être	AUX
mon	mon	DET
amie	ami	NOUN
de	de	DET
enfance	enfance	NOUN
.	.	PUNCTsent
Je	je	PRON
suis	être	AUX
venu	venir	VERB
ici	ici	ADV
sous prétexte de	sous prétexte de	ADP
flâner	flâner	VERB
comme	comme	ADP
elle	elle	PRON
,	,	PUNCTclause
et	et	CCONJ
au	au	ADP_DET
fond	fond	NOUN
pour	pour	ADP
te	te	NOUN
complaire	complaire	VERB
en	en	ADP
me	me	PRON
attachant	attacher	VERB
à	à	ADP
cette	ce	DET
belle	beau	ADJ
et	et	CCONJ
chère	cher	ADJ
enfant	enfant	NOUN
.	.	PUNCTsent
hé	hé	VERB
bien	bien	ADV
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
sais	savoir	VERB
quel	quel	DET
refus	refus	NOUN
obstiné	obstiné	ADJ
se	se	PRON
est	être	AUX
fait	faire	AUX
entre	entre	ADP
nous	nous	PRON
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
ai	avoir	AUX
jamais	jamais	ADV
pu	pouvoir	VERB
venir à bout	venir à bout	VERB
de	de	DET
l'	le:PRON	PRON
aimer	aimer	VERB
autrement	autrement	ADV
que	que	SCONJ
comme	comme	ADP
ma	mon	DET
sœur	sœur	NOUN
,	,	PUNCTclause
et	et	CCONJ
on	on	PRON
ne	ne	ADV
épouse	épouser	VERB
pas	pas	ADV
sa	son	DET
sœur	sœur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ne	ne	ADV
dis	dire	VERB
pas	pas	ADV
que	que	SCONJ
je	je	PRON
suis	être	AUX
capricieux	capricieux	ADJ
,	,	PUNCTclause
non	non	INTJ
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
ai	avoir	AUX
point	point	ADV
encore	encore	ADV
fini	finir	VERB
de	de	DET
être	être	AUX
naïf	naïf	ADJ
,	,	PUNCTclause
et	et	CCONJ
surtout	surtout	ADV
je	je	PRON
ne	ne	ADV
ai	avoir	AUX
pas	pas	ADV
travaillé	travailler	VERB
à	à	ADP
cesser	cesser	VERB
de	de	DET
l'	le:PRON	PRON
être	être	AUX
;	;	PUNCTclause
cela	cela	PRON
,	,	PUNCTclause
je	je	PRON
te	te	VERB
le	le	DET
jure	jurer	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
puis	puis	CCONJ
il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	VERB
pas	pas	ADV
de	de	DET
ma	mon	NOUN
faute	faute	ADV
!	!	PUNCTsent
Si	si	SCONJ
Élise	Élise	PROPN
me	me	PRON
eût	avoir	AUX
aimé	aimer	VERB
,	,	PUNCTclause
…	…	PUNCTsent
que	que	SCONJ
sait	savoir	VERB
on	on	PRON
?…	?…	PUNCTsent
Mais	mais	CCONJ
point	point	ADV
.	.	PUNCTsent
Élise	Élise	PROPN
est	être	AUX
toujours	toujours	ADV
noire	noir	ADJ
Lisette	Lisette	PROPN
si	si	SCONJ
gaie	gai	NOUN
,	,	PUNCTclause
si	si	SCONJ
franche	franc	ADJ
,	,	PUNCTclause
si	si	ADV
gentille	gentil	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
disons	dire	VERB
le	le	DET
aussi	aussi	ADV
sans	sans	ADP
reproche	reproche	NOUN
,	,	PUNCTclause
si	si	SCONJ
positive	positif	ADJ
!	!	PUNCTsent
Toujours	toujours	ADV
la	le	DET
même	même	ADJ
raison	raison	NOUN
enjouée	enjouer	VERB
,	,	PUNCTclause
le	le	DET
même	même	ADJ
esprit	esprit	NOUN
de	de	DET
ordre	ordre	NOUN
,	,	PUNCTclause
les	le	DET
mêmes	même	ADJ
rires	rire	NOUN
en présence de	en présence de	ADP
tout	tout	ADJ
ce	ce	PRON
qui	qui	PRON
sent	sentir	VERB
V	V	NUM
exagération	exagération	NOUN
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
comme	comme	ADP
cela	cela	PRON
,	,	PUNCTclause
tu	tu	ADJ
sais	savoir	VERB
bien	bien	ADV
,	,	PUNCTclause
que	que	SCONJ
elle	elle	PRON
appelle	appeler	VERB
tout	tout	ADJ
ce	ce	PRON
qui	qui	PRON
émeut	émouvoir	VERB
un	un	DET
peu	peu	NOUN
vivement	vivement	ADV
les	le	DET
autres	autre	ADJ
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
ne	ne	ADV
dépend	dépendre	VERB
pas	pas	ADV
de	de	DET
moi	moi	PRON
de	de	DET
ne	ne	ADV
être	être	AUX
pas	pas	ADV
facile	facile	ADJ
à	à	ADP
émouvoir	émouvoir	VERB
,	,	PUNCTclause
si bien que	si bien que	SCONJ
je	je	PRON
suis	être	AUX
un	un	DET
exagère	exagérer	ADJ
à	à	ADP
ses	son	DET
yeux	œil	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
me	me	PRON
pardonne	pardonner	VERB
de	de	DET
être	être	NOUN
comme	comme	ADP
je	je	PRON
suis	être	AUX
.	.	PUNCTsent
Elle	elle	PRON
est	être	AUX
bien	bien	ADV
bonne	bon	ADJ
,	,	PUNCTclause
je	je	PRON
en	en	PRON
suis	être	AUX
très-reconnaissant	très-reconnaissant	ADV
;	;	PUNCTclause
mais	mais	CCONJ
ce	ce	PRON
continuel	continuel	PRON
pardon	pardon	PUNCT
amical	amical	ADJ
me	me	PRON
laisse	laisser	VERB
calme	calme	ADJ
,	,	PUNCTclause
et	et	CCONJ
tu	tu	ADJ
me	me	PRON
as	avoir	AUX
permis	permettre	VERB
de	de	DET
ne	ne	ADV
pas	pas	ADV
me	me	PRON
marier	marier	VERB
sans	sans	ADP
amour	amour	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lucie	Lucie	PROPN
a	avoir	AUX
donc	donc	ADV
vingt-deux	vingt-deux	NUM
ans	an	NOUN
.	.	PUNCTsent
Lucie	Lucie	PROPN
est	être	AUX
brune	brun	ADJ
,	,	PUNCTclause
assez	assez	ADV
grande	grand	ADJ
;	;	PUNCTclause
…	…	PUNCTsent
elle	elle	PRON
a	avoir	VERB
des	un	DET
yeux	œil	NOUN
…	…	PUNCTsent
hé	hé	VERB
bien	bien	ADV
,	,	PUNCTclause
non	non	INTJ
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
peux	pouvoir	VERB
pas	pas	ADV
te	te	VERB
décrire	décrire	VERB
Lucie	Lucie	PROPN
…	…	PUNCTsent
Demande	demander	VERB
moi	moi	PRON
la	le	DET
couleur	couleur	NOUN
des	un	ADP_DET
yeux	œil	NOUN
et	et	CCONJ
des	un	DET
cheveux	cheveu	NOUN
de	de	DET
Élise	Élise	PROPN
,	,	PUNCTclause
comment	comment	ADV
sont	être	AUX
faits	faire	VERB
ses	son	DET
doigts	doigt	NOUN
et	et	CCONJ
ses	son	DET
bagues	bague	NOUN
,	,	PUNCTclause
comment	comment	ADV
elle	elle	PRON
se	se	PRON
habille	habiller	VERB
:	:	PUNCTclause
je	je	PRON
sais	savoir	VERB
tout	tout	ADJ
cela	cela	PRON
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
pourrais	pouvoir	VERB
te	te	VERB
en	en	ADP
faire	faire	AUX
un	un	DET
portrait	portrait	NOUN
aussi	aussi	ADV
minutieusement	minutieusement	ADV
étudié	étudier	VERB
que	que	ADV
si	si	SCONJ
je	je	PRON
étais	être	AUX
peintre	peintre	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
Lucie	Lucie	PROPN
,	,	PUNCTclause
non	non	INTJ
!	!	PUNCTsent
Pour	pour	ADP
moi	moi	PRON
,	,	PUNCTclause
son	son	DET
image	image	NOUN
remplit	remplir	VERB
le	le	DET
monde	monde	NOUN
et	et	CCONJ
ne	ne	ADV
saurait	savoir	VERB
être	être	AUX
concentrée	concentrer	VERB
.	.	PUNCTsent
Mon	mon	DET
cœur	cœur	NOUN
me	me	PRON
étouffe	étouffer	VERB
,	,	PUNCTclause
et	et	CCONJ
ma	mon	DET
main	main	NOUN
tremble	trembler	VERB
rien	rien	PRON
que	que	ADV
à	à	ADP
écrire	écrire	VERB
son	son	DET
nom	nom	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Son	son	DET
père	père	NOUN
est	être	AUX
le	le	DET
général	général	NOUN
La	La	PROPN
Quintinie	Quintinie	PROPN
,	,	PUNCTclause
que	que	SCONJ
tu	tu	ADJ
ne	ne	ADV
connais	connaître	VERB
pas	pas	ADV
,	,	PUNCTclause
je	je	PRON
pense	penser	VERB
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
commande	commander	VERB
dans	dans	ADP
je	je	PRON
ne	ne	ADV
sais	savoir	VERB
quel	quel	DET
département	département	NOUN
.	.	PUNCTsent
Descend	descendre	VERB
il	il	PRON
du	du	VERB
La	le	DET
Quintinie	Quintinie	PROPN
des	un	ADP_DET
jardins	jardin	NOUN
du	du	ADP_DET
temps	temps	NOUN
de	de	DET
Louis	Louis	PROPN
XIV	XIV	NUM
?	?	PUNCTsent
Peu	peu	ADV
importe	importer	VERB
.	.	PUNCTsent
Le	le	DET
grand-père	grand-père	NOUN
maternel	maternel	ADJ
de	de	DET
Lucie	Lucie	PROPN
,	,	PUNCTclause
M.	M.	PROPN
de	de	DET
Turdy	Turdy	PROPN
,	,	PUNCTclause
habite	habiter	VERB
un	un	DET
château	château	NOUN
que	que	SCONJ
il	il	PRON
a	avoir	VERB
sur	sur	ADP
le	le	DET
lac	lac	NOUN
du	du	ADP_DET
