# columns = TERM LEMMA POS PROB
# identifier = zola1886-02
# creator = Zola, Émile
# created = 1886
# isPartOf = L’œuvre
# title = II

↵↵↵	↵↵↵	PUNCTstruct
II	II	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Midi	Midi	PROPN
était	être	AUX
sonné	sonner	VERB
,	,	PUNCTclause
Claude	Claude	PROPN
travaillait	travailler	VERB
à	à	ADP
son	son	DET
tableau	tableau	NOUN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
une	un	DET
main	main	NOUN
familière	familier	ADJ
tapa	taper	VERB
rudement	rudement	ADV
contre	contre	ADP
la	le	DET
porte	porte	NOUN
.	.	PUNCTsent
de	de	ADP
un	un	DET
mouvement	mouvement	NOUN
instinctif	instinctif	ADJ
,	,	PUNCTclause
et	et	CCONJ
dont	dont	PRON
il	il	PRON
ne	ne	ADV
fut	être	AUX
pas	pas	ADV
le	le	DET
maître	maître	NOUN
,	,	PUNCTclause
le	le	DET
peintre	peintre	NOUN
glissa	glisser	VERB
dans	dans	ADP
un	un	DET
carton	carton	NOUN
la	le	DET
tête	tête	NOUN
de	de	ADP
Christine	Christine	PROPN
,	,	PUNCTclause
d'après	d'après	ADP
laquelle	laquelle	PRON
il	il	PRON
retouchait	retoucher	VERB
sa	son	DET
grande	grand	ADJ
figure	figure	NOUN
de	de	ADP
femme	femme	NOUN
.	.	PUNCTsent
Puis	puis	CCONJ
,	,	PUNCTclause
il	il	PRON
se	se	PRON
décida	décider	VERB
à	à	ADP
ouvrir	ouvrir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Pierre	Pierre	PROPN
!	!	PUNCTsent
cria	crier	VERB
il	il	PRON
.	.	PUNCTsent
Déjà	déjà	ADV
toi	toi	PRON
?	?	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Pierre	Pierre	PROPN
Sandoz	Sandoz	PROPN
,	,	PUNCTclause
un	un	DET
ami	ami	NOUN
de	de	ADP
enfance	enfance	NOUN
,	,	PUNCTclause
était	être	AUX
un	un	DET
garçon	garçon	NOUN
de	de	ADP
vingt-deux	vingt-deux	NUM
ans	an	NOUN
,	,	PUNCTclause
très	très	ADV
brun	brun	ADJ
,	,	PUNCTclause
à	à	ADP
la	le	DET
tête	tête	NOUN
ronde	rond	ADJ
et	et	CCONJ
volontaire	volontaire	ADJ
,	,	PUNCTclause
au	au	ADP_DET
nez	nez	NOUN
carré	carré	ADJ
,	,	PUNCTclause
aux	au	ADP_DET
yeux	œil	NOUN
doux	doux	ADJ
,	,	PUNCTclause
dans	dans	ADP
un	un	DET
masque	masque	NOUN
énergique	énergique	ADJ
,	,	PUNCTclause
encadré	encadrer	VERB
de	de	ADP
un	un	DET
collier	collier	NOUN
de	de	ADP
barbe	barbe	NOUN
naissante	naissant	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
je	je	PRON
ai	avoir	AUX
déjeuné	déjeuner	VERB
plus	plus	ADV
tôt	tôt	ADV
,	,	PUNCTclause
répondit	répondre	VERB
il	il	PRON
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
voulu	vouloir	VERB
te	te	PRON
donner	donner	VERB
une	un	DET
bonne	bon	ADJ
séance	séance	NOUN
…	…	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
diable	diable	NOUN
!	!	PUNCTsent
ça	ça	PRON
marche	marcher	VERB
!	!	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Il	il	PRON
se	se	PRON
était	être	AUX
planté	planter	VERB
devant	devant	ADP
le	le	DET
tableau	tableau	NOUN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
ajouta	ajouter	VERB
tout de suite	tout de suite	ADV
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Tiens	tien	NOUN
!	!	PUNCTsent
tu	tu	PRON
changes	changer	VERB
le	le	DET
type	type	NOUN
de	de	ADP
la	le	DET
femme	femme	NOUN
?	?	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Un	un	DET
long	long	ADJ
silence	silence	NOUN
se	se	PRON
fit	faire	AUX
,	,	PUNCTclause
tous deux	tous deux	PRON
regardaient	regarder	VERB
,	,	PUNCTclause
immobiles	immobile	ADJ
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
une	un	DET
toile	toile	NOUN
de	de	ADP
cinq	cinq	NUM
mètres	mètre	NOUN
sur	sur	ADP
trois	trois	NUM
,	,	PUNCTclause
entièrement	entièrement	ADV
couverte	couvert	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
dont	dont	PRON
quelques	quelque	DET
morceaux	morceau	NOUN
à peine	à peine	ADV
se	se	PRON
dégageaient	dégager	VERB
de	de	ADP
l'	le	DET
ébauche	ébauche	NOUN
.	.	PUNCTsent
Cette	ce	DET
ébauche	ébauche	NOUN
,	,	PUNCTclause
jetée	jeter	VERB
de	de	ADP
un	un	DET
coup	coup	NOUN
,	,	PUNCTclause
avait	avoir	AUX
une	un	DET
violence	violence	NOUN
superbe	superbe	ADJ
,	,	PUNCTclause
une	un	DET
ardente	ardent	ADJ
vie	vie	NOUN
de	de	ADP
couleurs	couleur	NOUN
.	.	PUNCTsent
Dans	dans	ADP
un	un	DET
trou	trou	NOUN
de	de	ADP
forêt	forêt	NOUN
,	,	PUNCTclause
aux	au	ADP_DET
murs	mur	NOUN
épais	épais	ADJ
de	de	ADP
verdure	verdure	NOUN
,	,	PUNCTclause
tombait	tomber	VERB
une	un	DET
ondée	ondée	NOUN
de	de	ADP
soleil	soleil	NOUN
;	;	PUNCTclause
seule	seul	ADJ
,	,	PUNCTclause
à	à	ADP
gauche	gauche	NOUN
,	,	PUNCTclause
une	un	DET
allée	allée	NOUN
sombre	sombre	ADJ
se	se	PRON
enfonçait	enfoncer	VERB
,	,	PUNCTclause
avec	avec	ADP
une	un	DET
tache	tache	NOUN
de	de	ADP
lumière	lumière	NOUN
,	,	PUNCTclause
très	très	ADV
loin	loin	ADV
.	.	PUNCTsent
Là	là	ADV
,	,	PUNCTclause
sur	sur	ADP
l'	le	DET
herbe	herbe	NOUN
,	,	PUNCTclause
au	au	ADP_DET
