# columns = TERM LEMMA POS PROB
# identifier = sand1846a-05
# creator = Sand, George
# created = 1846
# isPartOf = La Mare au Diable
# title = IV. Germain le fin laboureur

↵↵↵	↵↵↵	PUNCTstruct
IV	IV	NOUN
.	.	PUNCTsent
Germain	Germain	PROPN
le	le	DET
fin	fin	NOUN
laboureur	laboureur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
quelqu'un	quelqu'un	PRON
en	en	ADP
vue	vu	VERB
,	,	PUNCTclause
répondit	répondre	VERB
le	le	DET
père	père	NOUN
Maurice	Maurice	PROPN
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
une	un	DET
Léonard	Léonard	PROPN
,	,	PUNCTclause
veuve	veuf	NOUN
de	de	ADP
un	un	DET
Guérin	Guérin	PROPN
,	,	PUNCTclause
qui	qui	PRON
demeure	demeurer	VERB
à	à	ADP
Fourche	Fourche	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
connais	connaître	VERB
ni	ni	CCONJ
la	le	DET
femme	femme	NOUN
ni	ni	CCONJ
l'	le	DET
endroit	endroit	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
Germain	Germain	PROPN
résigné	résigner	VERB
,	,	PUNCTclause
mais	mais	CCONJ
de plus en plus	de plus en plus	ADV
triste	triste	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Elle	elle	PRON
se	se	PRON
appelle	appeler	VERB
Catherine	Catherine	PROPN
,	,	PUNCTclause
comme	comme	ADP
ta	ton	DET
défunte	défunt	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Catherine	Catherine	PROPN
?	?	PUNCTsent
Oui	oui	INTJ
,	,	PUNCTclause
ça	ça	PRON
me	me	PRON
fera	faire	VERB
plaisir	plaisir	NOUN
de	de	ADP
avoir	avoir	VERB
à	à	ADP
dire	dire	VERB
ce	ce	DET
nom	nom	NOUN
:	:	PUNCTclause
Catherine	Catherine	PROPN
!	!	PUNCTsent
Et	et	CCONJ
pourtant	pourtant	ADV
,	,	PUNCTclause
si	si	SCONJ
je	je	PRON
ne	ne	ADV
peux	pouvoir	VERB
pas	pas	ADV
l'	le	DET
aimer	aimer	VERB
autant	autant	ADV
que	que	SCONJ
l'autre	l'autre	PRON
,	,	PUNCTclause
ça	ça	PRON
me	me	PRON
fera	faire	VERB
encore	encore	ADV
plus	plus	ADV
de	de	ADP
peine	peine	NOUN
,	,	PUNCTclause
ça	ça	PRON
me	me	PRON
la	le	DET
rappellera	rappeler	VERB
plus	plus	ADV
souvent	souvent	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
te	te	PRON
dis	dire	VERB
que	que	SCONJ
tu	tu	PRON
l'	le	DET
aimeras	aimer	VERB
:	:	PUNCTclause
ce	ce	PRON
est	être	AUX
un	un	DET
bon	bon	ADJ
sujet	sujet	NOUN
,	,	PUNCTclause
une	un	DET
femme	femme	NOUN
de	de	ADP
grand	grand	ADJ
cœur	cœur	NOUN
;	;	PUNCTclause
je	je	PRON
ne	ne	ADV
l'	le:PRON	PRON
ai	avoir	AUX
pas	pas	ADV
vue	vu	VERB
depuis	depuis	ADP
longtemps	longtemps	ADV
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
laide	laid	ADJ
fille	fille	NOUN
alors	alors	ADV
;	;	PUNCTclause
mais	mais	CCONJ
elle	elle	PRON
ne	ne	ADV
est	être	AUX
plus	plus	ADV
jeune	jeune	ADJ
,	,	PUNCTclause
elle	elle	PRON
a	avoir	VERB
trente-deux	trente-deux	NUM
ans	an	NOUN
.	.	PUNCTsent
Elle	elle	PRON
est	être	AUX
de	de	ADP
une	un	DET
bonne	bon	ADJ
famille	famille	NOUN
,	,	PUNCTclause
tous	tous	PRON
braves	brave	ADJ
gens	gens	NOUN
,	,	PUNCTclause
et	et	CCONJ
elle	elle	PRON
a	avoir	AUX
bien	bien	ADV
pour	pour	ADP
huit	huit	NUM
ou	ou	CCONJ
dix	dix	NUM
mille	mille	NUM
francs	franc	NOUN
de	de	ADP
terres	terre	NOUN
,	,	PUNCTclause
que	que	SCONJ
elle	elle	PRON
vendrait	vendre	VERB
volontiers	volontiers	ADV
pour	pour	ADP
en	en	PRON
acheter	acheter	VERB
d'autres	d'autre	PRON
dans	dans	ADP
l'	le	DET
endroit	endroit	NOUN
où	où	PRON
elle	elle	PRON
se	se	PRON
établirait	établir	VERB
;	;	PUNCTclause
car	car	CCONJ
elle	elle	PRON
songe	songer	VERB
aussi	aussi	ADV
à	à	ADP
se	se	PRON
remarier	remarier	VERB
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
sais	savoir	VERB
que	que	SCONJ
,	,	PUNCTclause
si	si	SCONJ
ton	ton	DET
caractère	caractère	NOUN
lui	lui	PRON
convenait	convenir	VERB
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
trouverait	trouver	VERB
pas	pas	ADV
ta	ton	DET
position	position	NOUN
mauvaise	mauvais	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
avez	avoir	VERB
donc	donc	ADV
déjà	déjà	ADV
arrangé	arranger	VERB
tout	tout	DET
cela	cela	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
sauf	sauf	ADP
votre	votre	DET
avis	avis	NOUN
à	à	ADP
tous les deux	tous les deux	PRON
;	;	PUNCTclause
et	et	CCONJ
ce	ce	PRON
est-ce que	est-ce que	ADV
il	il	PRON
faudrait	falloir	VERB
vous	vous	PRON
demander	demander	VERB
l'un	l'un	PRON
à	à	ADP
l'autre	l'autre	PRON
,	,	PUNCTclause
en	en	ADP
faisant	faire	VERB
connaissance	connaissance	NOUN
.	.	PUNCTsent
Le	le	DET
père	père	NOUN
de	de	ADP
cette	ce	DET
femme	femme	NOUN
est	être	AUX
un	un	DET
peu	peu	ADV
mon	mon	DET
parent	parent	NOUN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
a	avoir	AUX
été	être	AUX
beaucoup	beaucoup	ADV
mon	mon	DET
ami	ami	NOUN
.	.	PUNCTsent
Tu	tu	PRON
le	le:PRON	PRON
connais	connaître	VERB
bien	bien	ADV
,	,	PUNCTclause
le	le	DET
père	père	NOUN
Léonard	Léonard	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
vu	voir	VERB
vous	vous	PRON
parler	parler	VERB
dans	dans	ADP
les	le	DET
foires	foire	NOUN
,	,	PUNCTclause
et	et	CCONJ
à	à	ADP
la	le	DET
dernière	dernier	ADJ
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	AUX
déjeuné	déjeuner	VERB
ensemble	ensemble	ADV
;	;	PUNCTclause
ce	ce	PRON
est	être	AUX
donc	donc	ADV
de	de	ADP
cela	cela	PRON
que	que	SCONJ
il	il	PRON
vous	vous	PRON
entretenait	entretenir	VERB
si	si	SCONJ
longuement	longuement	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
sans doute	sans doute	ADV
;	;	PUNCTclause
il	il	PRON
te	te	PRON
regardait	regarder	VERB
vendre	vendre	VERB
tes	ton	DET
bêtes	bête	NOUN
et	et	CCONJ
il	il	PRON
trouvait	trouver	VERB
que	que	SCONJ
tu	tu	PRON
te	te	PRON
y	y	PRON
prenais	prendre	VERB
bien	bien	ADV
,	,	PUNCTclause
que	que	SCONJ
tu	tu	PRON
étais	être	AUX
