# columns = TERM LEMMA POS PROB
# identifier = dumas1846b-054
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Joseph Balsamo. Mémoires d’un médecin
# title = LI. Le comte de Fœnix

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Le	le	DET
comte	comte	NOUN
de	de	ADP
Fœnix	Fœnix	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pendant	pendant	ADP
longtemps	longtemps	ADV
un	un	DET
silence	silence	NOUN
profond	profond	ADJ
laissa	laisser	VERB
les	le	DET
deux	deux	NUM
femmes	femme	NOUN
,	,	PUNCTclause
l'une	l'une	PRON
à	à	ADP
ses	son	DET
méditations	méditation	NOUN
douloureuses	douloureux	ADJ
,	,	PUNCTclause
l'autre	l'autre	PRON
à	à	ADP
son	son	DET
étonnement	étonnement	NOUN
,	,	PUNCTclause
facile	facile	ADJ
à	à	ADP
comprendre	comprendre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Enfin	enfin	ADV
Madame	madame	NOUN
Louise	Louise	PROPN
rompit	rompre	VERB
la	le	DET
première	premier	ADJ
le	le	DET
silence	silence	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
vous	vous	PRON
ne	ne	ADV
avez	avoir	VERB
rien	rien	PRON
fait	faire	VERB
pour	pour	ADP
faciliter	faciliter	VERB
cet	ce	DET
enlèvement	enlèvement	NOUN
?	?	PUNCTsent
dit	dire	VERB
elle	elle	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Rien	rien	PRON
,	,	PUNCTclause
Madame	madame	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
vous	vous	PRON
ignorez	ignorer	VERB
comment	comment	ADV
vous	vous	PRON
êtes	être	AUX
sortie	sortie	NOUN
du	du	ADP_DET
couvent	couvent	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
l'	le:PRON	PRON
ignore	ignorer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Cependant	cependant	ADV
un	un	DET
couvent	couvent	NOUN
est	être	AUX
bien	bien	ADV
fermé	fermer	VERB
,	,	PUNCTclause
bien	bien	ADV
gardé	garder	VERB
;	;	PUNCTclause
il y a	il y a	VERB
des	un	DET
barreaux	barreau	NOUN
aux	au	ADP_DET
fenêtres	fenêtre	NOUN
,	,	PUNCTclause
des	un	DET
murs	mur	NOUN
presque	presque	ADV
infranchissables	infranchissable	ADJ
,	,	PUNCTclause
une	un	DET
tourière	tourier	NOUN
qui	qui	PRON
ne	ne	ADV
quitte	quitter	VERB
pas	pas	ADV
ses	son	DET
clefs	clef	NOUN
.	.	PUNCTsent
Cela	cela	PRON
est	être	AUX
ainsi	ainsi	ADV
,	,	PUNCTclause
en	en	ADP
Italie	Italie	PROPN
surtout	surtout	ADV
,	,	PUNCTclause
où	où	PRON
les	le	DET
règles	règle	NOUN
sont	être	AUX
plus	plus	ADV
sévères	sévère	ADJ
encore	encore	ADV
que	que	SCONJ
en	en	ADP
France	France	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	SCONJ
vous	vous	PRON
dirai	dire	VERB
je	je	PRON
,	,	PUNCTclause
Madame	madame	NOUN
,	,	PUNCTclause
quand	quand	SCONJ
moi-même	moi-même	PRON
depuis	depuis	ADP
ce	ce	DET
moment	moment	NOUN
je	je	PRON
me	me	PRON
abîme	abîmer	VERB
à	à	ADP
creuser	creuser	VERB
mes	mon	DET
souvenirs	souvenir	NOUN
sans	sans	ADP
y	y	PRON
rien	rien	PRON
trouver	trouver	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
vous	vous	PRON
lui	lui	PRON
reprochâtes	reprocher	VERB
votre	votre	DET
enlèvement	enlèvement	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
sans doute	sans doute	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	SCONJ
vous	vous	PRON
répondit	répondre	VERB
il	il	PRON
pour	pour	ADP
se	se	PRON
excuser	excuser	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
que	que	SCONJ
il	il	PRON
me	me	PRON
aimait	aimer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	PRON
lui	lui	PRON
dites	dire	VERB
vous	vous	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
que	que	SCONJ
il	il	PRON
me	me	PRON
faisait	faire	VERB
peur	peur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
ne	ne	ADV
l'	le:PRON	PRON
aimiez	aimer	VERB
donc	donc	ADV
pas	pas	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
non	non	ADV
,	,	PUNCTclause
non	non	ADV
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
En	en	PRON
étiez	être	AUX
vous	vous	PRON
bien	bien	ADV
sûre	sûr	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Hélas	hélas	INTJ
!	!	PUNCTsent
Madame	madame	NOUN
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
un	un	DET
sentiment	sentiment	NOUN
étrange	étrange	ADJ
que	que	PRON
je	je	PRON
éprouvais	éprouver	VERB
pour	pour	ADP
cet	ce	DET
homme	homme	NOUN
.	.	PUNCTsent
Lui	lui	PRON
là	là	ADV
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
suis	suivre	VERB
plus	plus	ADV
moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
suis	être	AUX
lui	lui	PRON
;	;	PUNCTclause
ce	ce	PRON
que	que	SCONJ
il	il	PRON
veut	vouloir	VERB
,	,	PUNCTclause
je	je	PRON
le	le:PRON	PRON
veux	vouloir	VERB
;	;	PUNCTclause
ce	ce	PRON
que	que	SCONJ
il	il	PRON
ordonne	ordonner	VERB
,	,	PUNCTclause
je	je	PRON
le	le:PRON	PRON
fais	faire	VERB
;	;	PUNCTclause
mon	mon	DET
âme	âme	NOUN
ne	ne	ADV
a	avoir	AUX
plus	plus	ADV
de	de	ADP
puissance	puissance	NOUN
,	,	PUNCTclause
mon	mon	DET
esprit	esprit	NOUN
plus	plus	ADV
de	de	ADP
volonté	volonté	NOUN
:	:	PUNCTclause
un	un	DET
regard	regard	NOUN
me	me	PRON
dompte	dompter	VERB
et	et	CCONJ
me	me	PRON
fascine	fasciner	VERB
.	.	PUNCTsent
Tantôt	tantôt	ADV
il	il	PRON
semble	sembler	VERB
pousser	pousser	VERB
jusque	jusque	ADP
au	au	ADP_DET
fond	fond	NOUN
de	de	ADP
mon	mon	DET
cœur	cœur	NOUN
des	un	ADP_DET
pensées	pensée	NOUN
qui	qui	PRON
ne	ne	ADV
sont	être	AUX
pas	pas	ADV
miennes	mien	PRON
,	,	PUNCTclause
tantôt	tantôt	ADV
il	il	PRON
semble	sembler	VERB
attirer	attirer	VERB
au	au	ADP_DET
dehors	dehors	NOUN
de	de	ADP
moi	moi	PRON
des	un	ADP_DET
idées	idée	NOUN
si	si	ADV
bien	bien	ADV
cachées	caché	ADJ
jusque	jusque	ADP
alors	alors	ADV
à	à	ADP
moi-même	moi-même	PRON
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
ne	ne	ADV
les	le:PRON	PRON
avais	avoir	AUX
pas	pas	ADV
devinées	deviner	VERB
.	.	PUNCTsent
ho	ho	INTJ
!	!	PUNCTsent
vous	vous	PRON
voyez	voir	VERB
bien	bien	ADV
,	,	PUNCTclause
Madame	madame	NOUN
,	,	PUNCTclause
que	que	SCONJ
il y a	il y a	VERB
magie	magie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
étrange	étrange	ADJ
,	,	PUNCTclause
au moins	au moins	ADV
,	,	PUNCTclause
si	si	SCONJ
ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
surnaturel	surnaturel	ADJ
,	,	PUNCTclause
dit	dire	VERB
la	le	DET
princesse	prince	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
,	,	PUNCTclause
après	après	ADP
cet	ce	DET
événement	événement	NOUN
,	,	PUNCTclause
comment	comment	ADV
viviez	vivre	VERB
vous	vous	PRON
avec	avec	ADP
cet	ce	DET
homme	homme	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Il	il	PRON
me	me	PRON
témoignait	témoigner	VERB
une	un	DET
vive	vif	ADJ
tendresse	tendresse	NOUN
,	,	PUNCTclause
un	un	DET
sincère	sincère	ADJ
attachement	attachement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
était	être	AUX
un	un	DET
homme	homme	NOUN
corrompu	corrompre	VERB
peut-être	peut-être	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
le	le:PRON	PRON
crois	croire	VERB
pas	pas	ADV
;	;	PUNCTclause
au contraire	au contraire	ADV
,	,	PUNCTclause
il y a	il y a	VERB
quelque chose	quelque chose	PRON
de	de	ADP
l'	le	DET
apôtre	apôtre	NOUN
dans	dans	ADP
sa	son	DET
manière	manière	NOUN
de	de	ADP
parler	parler	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Allons	aller	VERB
,	,	PUNCTclause
vous	vous	PRON
l'	le:PRON	PRON
aimez	aimer	VERB
,	,	PUNCTclause
avouez	avouer	VERB
le	le	DET
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
,	,	PUNCTclause
