# columns = TERM LEMMA POS
# identifier = balzac1831FC71-02
# creator = Balzac, Honoré de
# created = 1831
# modified = 1845
# isPartOf = L’Enfant maudit. Études philosophiques
# title = Comment mourut le fils

↵↵↵	↵↵↵	PUNCTstruct
Comment	comment	ADV
mourut	mourir	VERB
le	le	DET
fils	fils	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
1617	1617	NUM
,	,	PUNCTclause
vingt	vingt	NUM
et	et	CCONJ
quelques	quelque	DET
années	année	NOUN
après	après	ADP
l'	le	DET
horrible	horrible	ADJ
nuit	nuit	NOUN
pendant	pendant	ADP
laquelle	laquelle	PRON
Étienne	Étienne	PROPN
fut	être	AUX
mis	mettre	VERB
au	au	ADP_DET
monde	monde	NOUN
,	,	PUNCTclause
le	le	DET
duc	duc	NOUN
de	de	ADP
Hérouville	Hérouville	PROPN
,	,	PUNCTclause
alors	alors	ADV
âgé	âgé	ADJ
de	de	ADP
soixante-seize	soixante-seize	NUM
ans	an	NOUN
,	,	PUNCTclause
vieux	vieux	ADJ
,	,	PUNCTclause
cassé	cassé	ADJ
,	,	PUNCTclause
presque	presque	ADV
mort	mourir	VERB
,	,	PUNCTclause
était	être	AUX
assis	asseoir	VERB
au	au	ADP_DET
coucher	coucher	NOUN
du	du	ADP_DET
soleil	soleil	NOUN
dans	dans	ADP
un	un	DET
immense	immense	ADJ
fauteuil	fauteuil	NOUN
,	,	PUNCTclause
devant	devant	ADP
la	le	DET
fenêtre	fenêtre	NOUN
ogive	ogive	NOUN
de	de	ADP
sa	son	DET
chambre à coucher	chambre à coucher	NOUN
,	,	PUNCTclause
à la place de	à la place de	ADP
où	où	PRON
jadis	jadis	ADV
la	le	DET
comtesse	comte	NOUN
avait	avoir	AUX
si	si	ADV
vainement	vainement	ADV
réclamé	réclamer	VERB
,	,	PUNCTclause
par	par	ADP
les	le	DET
sons	son	NOUN
du	du	ADP_DET
cor	cor	NOUN
perdus	perdre	VERB
dans	dans	ADP
les	le	DET
airs	air	NOUN
,	,	PUNCTclause
le	le	DET
secours	secours	NOUN
des	un	ADP_DET
hommes	homme	NOUN
et	et	CCONJ
du	du	ADP_DET
ciel	ciel	NOUN
.	.	PUNCTsent
Vous	vous	PRON
eussiez	avoir	AUX
dit	dire	VERB
de	de	ADP
un	un	DET
véritable	véritable	ADJ
débris	débris	NOUN
de	de	ADP
tombeau	tombeau	NOUN
.	.	PUNCTsent
Sa	son	DET
figure	figure	NOUN
énergique	énergique	ADJ
,	,	PUNCTclause
dépouillée	dépouiller	VERB
de	de	ADP
son	son	DET
aspect	aspect	NOUN
sinistre	sinistre	ADJ
par	par	ADP
la	le	DET
souffrance	souffrance	NOUN
et	et	CCONJ
par	par	ADP
l'	le	DET
âge	âge	NOUN
,	,	PUNCTclause
avait	avoir	VERB
une	un	DET
couleur	couleur	NOUN
blafarde	blafard	ADJ
en	en	ADP
rapport	rapport	NOUN
avec	avec	ADP
les	le	DET
longues	long	ADJ
mèches	mèche	NOUN
de	de	ADP
cheveux	cheveu	NOUN
blancs	blanc	ADJ
qui	qui	PRON
tombaient	tomber	VERB
autour de	autour de	ADP
sa	son	DET
tête	tête	NOUN
chauve	chauve	ADJ
,	,	PUNCTclause
dont	dont	PRON
le	le	DET
crâne	crâne	NOUN
jaune	jaune	ADJ
semblait	sembler	VERB
débile	débile	NOUN
.	.	PUNCTsent
La	le	DET
guerre	guerre	NOUN
et	et	CCONJ
le	le	DET
fanatisme	fanatisme	NOUN
brillaient	briller	VERB
encore	encore	ADV
dans	dans	ADP
ces	ce	DET
yeux	œil	NOUN
jaunes	jaune	ADJ
,	,	PUNCTclause
quoique	quoique	SCONJ
tempérés	tempérer	VERB
par	par	ADP
un	un	DET
sentiment	sentiment	NOUN
religieux	religieux	ADJ
