# columns = TERM LEMMA POS PROB
# identifier = sand1871-04
# creator = Sand, George
# created = 1871
# isPartOf = Césarine Dietrich
# title = IV

↵↵↵	↵↵↵	PUNCTstruct
IV	IV	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Nous	nous	PRON
quittâmes	quitter	PRON
enfin	enfin	ADV
Paris	Paris	PROPN
le	le	DET
15	15	NUM
juillet	juillet	NOUN
,	,	PUNCTclause
sans que	sans que	SCONJ
Césarine	Césarine	PROPN
eût	avoir	CCONJ
revu	revoir	VERB
Paul	Paul	PROPN
ni	ni	CCONJ
Marguerite	Marguerite	PROPN
.	.	PUNCTsent
Mireval	Mireval	PROPN
était	être	AUX
,	,	PUNCTclause
par	par	ADP
le	le	DET
confort	confort	NOUN
élégant	élégant	VERB
du	du	ADP_DET
château	château	NOUN
,	,	PUNCTclause
la	le	DET
beauté	beauté	NOUN
des	un	ADP_DET
eaux	eau	NOUN
et	et	CCONJ
des	un	DET
ombrages	ombrage	NOUN
,	,	PUNCTclause
un	un	DET
lieu	lieu	NOUN
de	de	DET
délices	délice	NOUN
,	,	PUNCTclause
à	à	ADP
quelques	quelque	DET
heures	heure	NOUN
de	de	DET
Paris	Paris	PROPN
.	.	PUNCTsent
M.	M.	PROPN
Dietrich	Dietrich	PROPN
faisait	faire	AUX
de	de	DET
grands	grand	ADJ
frais	frais	NOUN
pour	pour	ADP
améliorer	améliorer	VERB
l'	le	DET
agriculture	agriculture	NOUN
:	:	PUNCTclause
il	il	PRON
y	y	PRON
dépensait	dépenser	VERB
beaucoup	beaucoup	ADV
plus	plus	ADV
de	de	DET
argent	argent	NOUN
que	que	SCONJ
il	il	PRON
ne	ne	ADV
en	en	PRON
recueillait	recueillir	VERB
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
faisait	faire	AUX
de	de	DET
bonne volonté	bonne volonté	NOUN
ces	ce	DET
sacrifices	sacrifice	NOUN
pour	pour	ADP
l'	le	DET
amour	amour	NOUN
de	de	DET
la	le	AUX
science	science	NOUN
et	et	CCONJ
le	le	DET
progrès	progrès	NOUN
des	un	ADP_DET
habitants	habitant	NOUN
.	.	PUNCTsent
Il	il	PRON
était	être	AUX
réellement	réellement	ADV
le	le	DET
bienfaiteur	bienfaiteur	NOUN
du	du	ADP_DET
pays	pays	NOUN
,	,	PUNCTclause
et	et	CCONJ
cependant	cependant	ADV
,	,	PUNCTclause
sans	sans	ADP
le	le	DET
charme	charme	NOUN
et	et	CCONJ
l'	le	DET
habileté	habileté	NOUN
de	de	DET
sa	son	NOUN
fille	fille	NOUN
il	il	PRON
ne	ne	ADV
eût	avoir	AUX
point	point	ADV
été	être	AUX
aimé	aimer	VERB
.	.	PUNCTsent
Son	son	DET
excessive	excessif	ADJ
modestie	modestie	NOUN
,	,	PUNCTclause
son	son	DET
désintéressement	désintéressement	NOUN
absolu	absolu	ADJ
de	de	DET
toute	tout	ADJ
ambition	ambition	NOUN
personnelle	personnel	ADJ
imprimaient	imprimer	VERB
à	à	ADP
son	son	DET
langage	langage	NOUN
et	et	CCONJ
à	à	ADP
ses	son	DET
manières	manière	NOUN
une	un	DET
dignité	dignité	NOUN
froide	froid	ADJ
qui	qui	PRON
pouvait	pouvoir	VERB
passer	passer	VERB
aux	au	ADP_DET
yeux	œil	NOUN
prévenus	prévenir	VERB
pour	pour	ADP
la	le	DET
raideur	raideur	NOUN
de	de	DET
l'	le	NOUN
orgueil	orgueil	NOUN
.	.	PUNCTsent
On	on	PRON
l'	le:PRON	PRON
avait	avoir	AUX
haï	haïr	VERB
d'abord	d'abord	ADV
autant	autant	ADV
par	par	ADP
crainte	crainte	NOUN
que	que	SCONJ
par	par	ADP
jalousie	jalousie	NOUN
,	,	PUNCTclause
et	et	CCONJ
puis	puis	CCONJ
sa	son	DET
droiture	droiture	NOUN
scrupuleuse	scrupuleux	ADJ
l'	le:PRON	PRON
avait	avoir	AUX
fait	faire	AUX
respecter	respecter	VERB
;	;	PUNCTclause
son	son	DET
dévouement	dévouement	NOUN
aux	au	ADP_DET
intérêts	intérêt	NOUN
communs	commun	VERB
le	le	DET
faisait	faire	AUX
maintenant	maintenant	ADV
estimer	estimer	VERB
;	;	PUNCTclause
mais	mais	CCONJ
il	il	PRON
manquait	manquer	VERB
de	de	DET
expansion	expansion	NOUN
et	et	CCONJ
ne	ne	ADV
était	être	AUX
point	point	ADV
sympathique	sympathique	ADJ
à	à	ADP
la	le	DET
foule	foule	NOUN
.	.	PUNCTsent
Il	il	PRON
ne	ne	ADV
désirait	désirer	VERB
pas	pas	ADV
l'	le	DET
être	être	AUX
;	;	PUNCTclause
ne	ne	ADV
cherchant	chercher	VERB
aucune	aucun	DET
récompense	récompense	NOUN
,	,	PUNCTclause
il	il	PRON
trouvait	trouver	VERB
la sienne	la sienne	PRON
dans	dans	ADP
le	le	DET
succès	succès	NOUN
de	de	DET
ses	son	NOUN
efforts	effort	NOUN
pour	pour	ADP
combattre	combattre	VERB
l'	le	DET
ignorance	ignorance	NOUN
et	et	CCONJ
le	le	DET
préjugé	préjugé	NOUN
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
vraiment	vraiment	ADV
un	un	DET
digne	digne	ADJ
homme	homme	NOUN
,	,	PUNCTclause
de	de	DET
un	un	PRON
mérite	mériter	VERB
solide	solide	ADJ
et	et	CCONJ
réel	réel	ADJ
.	.	PUNCTsent
Son	son	DET
manque de	manque de	ADP
popularité	popularité	NOUN
en	en	ADP
était	être	AUX
la	le	DET
meilleure	meilleur	ADJ
preuve	preuve	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Césarine	Césarine	PROPN
se	se	PRON
affectait	affecter	VERB
pourtant	pourtant	ADV
de	de	DET
voir	voir	AUX
que	que	SCONJ
on	on	PRON
lui	lui	PRON
préférait	préférer	VERB
des	un	DET
notabilités	notabilité	NOUN
médiocres	médiocre	ADJ
ou	ou	CCONJ
intéressées	intéressé	ADJ
.	.	PUNCTsent
Elle	elle	PRON
l'	le:PRON	PRON
avait	avoir	AUX
beaucoup	beaucoup	ADV
poussé	pousser	VERB
à	à	ADP
la	le	DET
députation	députation	NOUN
,	,	PUNCTclause
dont	dont	PRON
il	il	PRON
ne	ne	ADV
se	se	PRON
souciait	soucier	VERB
pas	pas	ADV
,	,	PUNCTclause
disant	dire	VERB
que	que	SCONJ
certaines	certain	DET
luttes	lutter	VERB
valent	valoir	VERB
tous	tout	ADJ
les	le	DET
efforts	effort	NOUN
de	de	DET
une	un	PRON
volonté	volonté	NOUN
sérieuse	sérieux	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
que	que	SCONJ
celles	celle	PRON
de	de	DET
l'	le	NOUN
amour-propre	amour-propre	ADJ
sont	être	AUX
vaines	vain	ADJ
et	et	CCONJ
mesquines	mesquin	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cependant	cependant	ADV
une	un	DET
question	question	NOUN
locale	local	ADJ
de	de	DET
un	un	PRON
grand	grand	ADJ
intérêt	intérêt	NOUN
pour	pour	ADP
le	le	DET
bien-être	bien-être	NOUN
des	un	ADP_DET
agriculteurs	agriculteur	NOUN
du	du	ADP_DET
département	département	NOUN
se	se	PRON
étant	être	AUX
présentée	présenter	VERB
à	à	ADP
cette	ce	DET
époque	époque	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
laissa	laisser	VERB
vaincre	vaincre	VERB
par	par	ADP
le	le	DET
devoir	devoir	NOUN
de	de	DET
combattre	combattre	NOUN
le	le	DET
mal	mal	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
au risque de	au risque de	ADP
échouer	échouer	VERB
,	,	PUNCTclause
il	il	PRON
se	se	PRON
laissa	laisser	VERB
porter	porter	VERB
.	.	PUNCTsent
Césarine	Césarine	PROPN
se	se	PRON
chargea	charger	VERB
de	de	DET
avoir	avoir	AUX
la	le	DET
volonté	volonté	NOUN
