# columns = TERM LEMMA POS PROB
# identifier = dumas1859b-184
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CLXXXIV. Fin de la causerie conjugale, qui s’est trouvé plus longue que l’auteur ne le croyait.

↵↵↵	↵↵↵	PUNCTstruct
Clxxxiv	Clxxxiv	PROPN
.	.	PUNCTsent
Fin	fin	NOUN
de	de	DET
la	le	AUX
causerie	causerie	NOUN
conjugale	conjugal	ADJ
,	,	PUNCTclause
qui	qui	PRON
se	se	PRON
est	être	AUX
trouvé	trouver	VERB
plus	plus	ADV
longue	long	ADJ
que	que	SCONJ
l'	le	DET
auteur	auteur	NOUN
ne	ne	ADV
le	le:PRON	PRON
croyait	croire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
sans doute	sans doute	ADV
,	,	PUNCTclause
M.	M.	PROPN
de	de	DET
Marande	Marande	PROPN
se	se	PRON
aperçut	apercevoir	VERB
il	il	PRON
que	que	SCONJ
son	son	DET
émotion	émotion	NOUN
,	,	PUNCTclause
quelle	quel	DET
que	que	SCONJ
en	en	PRON
fût	être	AUX
la	le	DET
cause	cause	NOUN
,	,	PUNCTclause
le	le	DET
trahissait	trahir	NOUN
aux yeux de	aux yeux de	ADP
sa	son	DET
femme	femme	NOUN
;	;	PUNCTclause
car	car	CCONJ
,	,	PUNCTclause
rassérénant	rasséréner	VERB
son	son	DET
visage	visage	NOUN
et	et	CCONJ
forçant	forcer	VERB
ses	son	DET
lèvres	lèvre	NOUN
et	et	CCONJ
ses	son	DET
yeux	œil	NOUN
à	à	ADP
sourire	sourire	VERB
,	,	PUNCTclause
il	il	PRON
revint	revenir	VERB
se	se	PRON
asseoir	asseoir	VERB
sur	sur	ADP
le	le	DET
fauteuil	fauteuil	NOUN
resté	rester	VERB
vide	vide	ADJ
pendant	pendant	ADP
quelques	quelque	DET
minutes	minute	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
,	,	PUNCTclause
après	après	ADP
un	un	DET
instant	instant	NOUN
de	de	DET
silence	silence	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Maintenant	maintenant	ADV
,	,	PUNCTclause
madame	madame	NOUN
,	,	PUNCTclause
reprit	reprendre	VERB
il	il	PRON
de	de	DET
sa	son	AUX
voix	voix	NOUN
douce	doux	NOUN
,	,	PUNCTclause
maintenant	maintenant	ADV
que	que	SCONJ
je	je	PRON
ai	avoir	AUX
eu	avoir	VERB
l'	le	DET
honneur	honneur	NOUN
de	de	DET
vous	vous	PRON
dire	dire	VERB
mon	mon	DET
opinion	opinion	NOUN
sur	sur	ADP
monseigneur	monseigneur	NOUN
Coletti	Coletti	PROPN
et	et	CCONJ
sur	sur	ADP
M.	M.	PROPN
Jean	Jean	PROPN
Robert	Robert	PROPN
,	,	PUNCTclause
il	il	PRON
me	me	PRON
reste	rester	VERB
à	à	ADP
vous	vous	PRON
demander	demander	VERB
la	le	DET
vôtre	vôtre	NOUN
sur	sur	ADP
M.	M.	PROPN
Lorédan	Lorédan	PROPN
de	de	DET
Valgeneuse	Valgeneuse	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Madame	madame	NOUN
de	de	DET
Marande	Marande	PROPN
regarda	regarder	VERB
son	son	DET
mari	mari	NOUN
avec	avec	ADP
un	un	DET
certain	certain	ADJ
étonnement	étonnement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mon	mon	DET
opinion	opinion	NOUN
sur	sur	ADP
lui	lui	PRON
,	,	PUNCTclause
monsieur	monsieur	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
elle	elle	PRON
,	,	PUNCTclause
est	être	AUX
celle	celle	PRON
de	de	DET
tout le monde	tout le monde	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Dites	dire	NOUN
moi	moi	PRON
celle	celle	PRON
de	de	DET
tout le monde	tout le monde	NOUN
,	,	PUNCTclause
alors	alors	ADV
,	,	PUNCTclause
madame	madame	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mai	NOUN
M.	M.	PROPN
de	de	DET
Valgeneuse	Valgeneuse	PROPN
…	…	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
se	se	PRON
arrêta	arrêter	VERB
,	,	PUNCTclause
embarrassée	embarrasser	VERB
de	de	DET
aller	aller	NOUN
plus	plus	ADV
loin	loin	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pardon	pardon	NOUN
,	,	PUNCTclause
monsieur	monsieur	NOUN
,	,	PUNCTclause
dit	dire	VERB
elle	elle	PRON
,	,	PUNCTclause
vous	vous	PRON
me	me	PRON
paraissez	paraître	VERB
avoir	avoir	VERB
des	un	DET
préventions	prévention	NOUN
contre	contre	ADP
M.	M.	PROPN
de	de	DET
Valgeneuse	Valgeneuse	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Des	un	ADP_DET
préventions	prévention	NOUN
,	,	PUNCTclause
moi	moi	PRON
?	?	PUNCTsent
Dieu	Dieu	PROPN
me	me	PRON
garde	garder	VERB
de	de	DET
avoir	avoir	AUX
des	un	DET
préventions	prévention	NOUN
contre	contre	ADP
M.	M.	PROPN
de	de	DET
Valgeneuse	Valgeneuse	PROPN
!	!	PUNCTsent
non	non	INTJ
,	,	PUNCTclause
je	je	PRON
écoute	écouter	VERB
seulement	seulement	ADV
ce	ce	PRON
que	que	SCONJ
l'on	on	PRON
dit	dire	VERB
…	…	PUNCTsent
Vous	vous	PRON
savez	savoir	VERB
ce	ce	PRON
que	que	SCONJ
l'on	on	PRON
dit	dire	VERB
,	,	PUNCTclause
n'est-ce pas	n'est-ce pas	ADV
,	,	PUNCTclause
de	de	DET
M.	M.	PROPN
de	de	DET
Valgeneuse	Valgeneuse	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Il	il	PRON
est	être	AUX
riche	riche	ADJ
,	,	PUNCTclause
il	il	PRON
a	avoir	VERB
des	un	DET
succès	succès	NOUN
,	,	PUNCTclause
il	il	PRON
est	être	AUX
fort bien	fort bien	ADV
en	en	ADP
cour	cour	NOUN
:	:	PUNCTclause
ce	ce	PRON
est	être	AUX
plus	plus	ADV
que	que	SCONJ
il	il	PRON
ne	ne	ADV
en	en	PRON
faut	falloir	VERB
pour que	pour que	SCONJ
on	on	PRON
dise	dire	VERB
beaucoup de	beaucoup de	DET
mal	mal	NOUN
de	de	DET
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Savez	savoir	VERB
vous	vous	PRON
le	le	DET
mal	mal	NOUN
que	que	SCONJ
on	on	PRON
en	en	PRON
dit	dire	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comme	comme	CCONJ
je	je	PRON
sais	savoir	VERB
le	le	DET
mal	mal	NOUN
,	,	PUNCTclause
monsieur	monsieur	NOUN
:	:	PUNCTclause
fort	fort	NOUN
médiocrement	médiocrement	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	NOUN
bien	bien	ADV
,	,	PUNCTclause
voici	voici	VERB
ce	ce	PRON
que	que	SCONJ
on	on	PRON
en	en	PRON
dit	dire	VERB
…	…	PUNCTsent
Parlons	parler	VERB
de	de	DET
sa	son	AUX
richesse	richesse	NOUN
,	,	PUNCTclause
d'abord	d'abord	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Elle	elle	PRON
est	être	AUX
incontestable	incontestable	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Certainement	certainement	ADV
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
fait	faire	AUX
de	de	DET
son	son	NOUN
existence	existence	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
contestable	contestable	ADJ
,	,	PUNCTclause
à	à	ADP
ce	ce	PRON
que	que	SCONJ
il	il	PRON
paraît	paraître	VERB
,	,	PUNCTclause
dans	dans	ADP
la	le	DET
façon	façon	NOUN
dont	dont	PRON
elle	elle	PRON
a	avoir	AUX
été	être	AUX
