# columns = TERM LEMMA POS PROB
# identifier = sand1870c-03
# creator = Sand, George
# created = 1870
# isPartOf = Pierre qui roule
# title = III

↵↵↵	↵↵↵	PUNCTstruct
III	III	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Je	je	PRON
vous	vous	PRON
demande	demander	VERB
la	le	DET
permission	permission	NOUN
,	,	PUNCTclause
dit	dire	VERB
Laurence	Laurence	PROPN
,	,	PUNCTclause
de	de	ADP
interrompre	interrompre	VERB
un	un	DET
peu	peu	ADV
mon	mon	DET
récit	récit	NOUN
.	.	PUNCTsent
si	si	SCONJ
il	il	PRON
ne	ne	ADV
vous	vous	PRON
a	avoir	AUX
pas	pas	ADV
ennuyé	ennuyer	VERB
,	,	PUNCTclause
je	je	PRON
veux	vouloir	VERB
pouvoir	pouvoir	VERB
le	le	DET
continuer	continuer	VERB
avec	avec	ADP
autant	autant	ADV
de	de	ADP
exactitude	exactitude	NOUN
et	et	CCONJ
de	de	ADP
sincérité	sincérité	NOUN
que	que	PRON
je	je	PRON
ai	avoir	AUX
réussi	réussir	VERB
à	à	ADP
le	le	DET
faire	faire	AUX
jusque	jusque	ADP
à présent	à présent	ADV
.	.	PUNCTsent
Mes	mon	DET
souvenirs	souvenir	NOUN
étaient	être	AUX
très	très	ADV
nets	net	ADJ
,	,	PUNCTclause
parce que	parce que	SCONJ
ils	ils	PRON
étaient	être	AUX
très	très	ADV
simples	simple	ADJ
et	et	CCONJ
se	se	PRON
reportaient	reporter	VERB
sur	sur	ADP
une	un	DET
préoccupation	préoccupation	NOUN
exclusive	exclusif	ADJ
.	.	PUNCTsent
à partir de	à partir de	ADP
l'	le	DET
aventure	aventure	NOUN
de	de	ADP
la	le	DET
chambre	chambre	NOUN
bleue	bleu	ADJ
,	,	PUNCTclause
cette	ce	DET
préoccupation	préoccupation	NOUN
se	se	PRON
dédouble	dédoubler	VERB
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
ai	avoir	VERB
besoin	besoin	NOUN
de	de	ADP
ressaisir	ressaisir	VERB
le	le	DET
fil	fil	NOUN
du	du	ADP_DET
labyrinthe	labyrinthe	NOUN
où	où	PRON
je	je	PRON
me	me	PRON
suis	être	AUX
senti	sentir	VERB
longtemps	longtemps	ADV
perdu	perdre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
C'est-à-dire	c'est-à-dire	NOUN
,	,	PUNCTclause
fis	faire	VERB
je	je	PRON
observer	observer	VERB
à	à	ADP
Laurence	Laurence	PROPN
,	,	PUNCTclause
que	que	SCONJ
vous	vous	PRON
avez	avoir	AUX
aimé	aimer	VERB
à la fois	à la fois	ADV
la	le	DET
belle	beau	ADJ
comtesse	comte	NOUN
et	et	CCONJ
la	le	DET
charmante	charmant	ADJ
actrice	acteur	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
et	et	CCONJ
non	non	INTJ
,	,	PUNCTclause
non	non	ADV
et	et	CCONJ
oui	oui	INTJ
;	;	PUNCTclause
peut-être	peut-être	ADV
,	,	PUNCTclause
que	que	SCONJ
sais	savoir	VERB
je	je	PRON
?	?	PUNCTsent
vous	vous	PRON
me	me	PRON
aiderez	aider	VERB
à	à	ADP
voir	voir	VERB
clair	clair	ADJ
en	en	ADP
moi-même	moi-même	PRON
.	.	PUNCTsent
Voulez	vouloir	VERB
vous	vous	PRON
que	que	PRON
nous	nous	PRON
marchions	marcher	VERB
un	un	DET
peu	peu	ADV
?	?	PUNCTsent
je	je	PRON
ne	ne	ADV
ai	avoir	AUX
pas	pas	ADV
l'	le	DET
habitude	habitude	NOUN
de	de	ADP
rester	rester	VERB
ainsi	ainsi	ADV
en	en	ADP
place	place	NOUN
et	et	CCONJ
de	de	ADP
me	me	PRON
occuper	occuper	VERB
aussi	aussi	ADV
longtemps	longtemps	ADV
de	de	ADP
moi	moi	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Rentrons	rentrer	VERB
à	à	ADP
la	le	DET
ville	ville	NOUN
,	,	PUNCTclause
lui	lui	PRON
dis	dire	VERB
je	je	PRON
;	;	PUNCTclause
acceptez	accepter	VERB
mon	mon	DET
dîner	dîner	NOUN
,	,	PUNCTclause
et	et	CCONJ
nous	nous	PRON
reprendrons	reprendre	VERB
ce	ce	DET
soir	soir	NOUN
ou	ou	CCONJ
demain	demain	ADV
,	,	PUNCTclause
comme	comme	SCONJ
il	il	PRON
vous	vous	PRON
plaira	plaire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
accepta	accepter	VERB
,	,	PUNCTclause
mais	mais	CCONJ
à	à	ADP
la	le	DET
condition	condition	NOUN
que	que	PRON
je	je	PRON
irais	aller	VERB
avec	avec	ADP
lui	lui	PRON
chez	chez	ADP
son	son	DET
père	père	NOUN
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
ne	ne	ADV
avait	avoir	AUX
pas	pas	ADV
vu	voir	VERB
de	de	ADP
la	le	DET
journée	journée	NOUN
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
pouvait	pouvoir	VERB
être	être	AUX
inquiet	inquiet	ADJ
de	de	ADP
lui	lui	PRON
.	.	PUNCTsent
Nous	nous	PRON
descendîmes	descendre	VERB
lestement	lestement	ADV
la	le	DET
montagne	montagne	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
suivant	suivant	ADP
le	le	DET
cours	cours	NOUN
rapide	rapide	ADJ
de	de	ADP
la	le	DET
Volpie	Volpie	PROPN
,	,	PUNCTclause
nous	nous	PRON
fûmes	être	VERB
bientôt	bientôt	ADV
en	en	ADP
plaine	plaine	NOUN
.	.	PUNCTsent
Laurence	Laurence	PROPN
me	me	PRON
conduisit	conduire	VERB
à	à	ADP
vol	vol	NOUN
de	de	ADP
oiseau	oiseau	NOUN
à travers	à travers	ADP
de	de	ADP
magnifiques	magnifique	ADJ
prairies	prairie	NOUN
jusque	jusque	ADP
au	au	ADP_DET
faubourg	faubourg	NOUN
de	de	ADP
la	le	DET
ville	ville	NOUN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
beaucoup	beaucoup	ADV
plus	plus	ADV
laid	laid	ADJ
et	et	CCONJ
plus	plus	ADV
malpropre	malpropre	ADJ
que	que	SCONJ
la	le	DET
