# columns = TERM LEMMA POS PROB
# identifier = dumas1859b-217
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CCXVII. Les deux cousins se reconnaissent définitivement.

↵↵↵	↵↵↵	PUNCTstruct
Ccxvii	Ccxvii	PROPN
.	.	PUNCTsent
Les	le	DET
deux	deux	NUM
cousins	cousin	NOUN
se	se	PRON
reconnaissent	reconnaître	VERB
définitivement	définitivement	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Salvator	Salvator	PROPN
jeta	jeter	VERB
un	un	DET
calme	calme	NOUN
regard	regard	NOUN
sur	sur	ADP
ces	ce	DET
deux	deux	NUM
ou	ou	CCONJ
plutôt	plutôt	ADV
sur	sur	ADP
ces	ce	DET
trois	trois	NUM
hommes	homme	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
demanda	demander	VERB
il	il	PRON
,	,	PUNCTclause
que	que	SCONJ
se	se	PRON
passe	passer	VERB
il	il	PRON
donc	donc	ADV
ici	ici	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Rien	rien	PRON
,	,	PUNCTclause
dit	dire	VERB
Jean	Jean	PROPN
Taureau	Taureau	PROPN
;	;	PUNCTclause
seulement	seulement	ADV
,	,	PUNCTclause
avec	avec	ADP
votre	votre	DET
permission	permission	NOUN
,	,	PUNCTclause
je	je	PRON
vais	aller	VERB
noyer	noyer	VERB
monsieur	monsieur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
nous	nous	PRON
allons	aller	VERB
le	le	DET
noyer	noyer	NOUN
,	,	PUNCTclause
dit	dire	VERB
Toussaint	Toussaint	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
pourquoi	pourquoi	ADV
cette	ce	DET
extrémité	extrémité	NOUN
?	?	PUNCTsent
demanda	demander	VERB
rêveusement	rêveusement	ADV
Salvator	Salvator	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
parce que	parce que	SCONJ
il	il	PRON
a	avoir	AUX
essayé	essayer	VERB
d'abord	d'abord	ADV
de	de	ADP
nous	nous	PRON
griser	griser	VERB
…	…	PUNCTsent
