# columns = TERM LEMMA POS PROB
# identifier = sand1849-25
# creator = Sand, George
# created = 1849
# isPartOf = La petite Fadette
# title = XXIV

↵↵↵	↵↵↵	PUNCTstruct
XXIV	XXIV	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
qui	qui	PRON
la	le:PRON	PRON
voyait	voir	VERB
souvent	souvent	ADV
et	et	CCONJ
faisait	faire	VERB
grande	grand	ADJ
attention	attention	NOUN
à	à	ADP
elle	elle	PRON
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
Landry	Landry	PROPN
Barbeau	Barbeau	PROPN
.	.	PUNCTsent
Il	il	PRON
en	en	PRON
était	être	VERB
comme	comme	ADP
enragé	enragé	NOUN
en	en	ADP
lui-même	lui-même	PRON
,	,	PUNCTclause
quand	quand	SCONJ
il	il	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
lui	lui	PRON
parler	parler	VERB
à	à	ADP
son	son	DET
aise	aise	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
sitôt	sitôt	ADV
que	que	SCONJ
il	il	PRON
se	se	PRON
trouvait	trouver	VERB
un	un	DET
moment	moment	NOUN
avec	avec	ADP
elle	elle	PRON
,	,	PUNCTclause
il	il	PRON
était	être	AUX
apaisé	apaiser	VERB
et	et	CCONJ
content	conter	VERB
de	de	ADP
lui	lui	PRON
parce que	parce que	SCONJ
elle	elle	PRON
lui	lui	PRON
enseignait	enseigner	VERB
la	le	DET
raison	raison	NOUN
et	et	CCONJ
le	le	DET
consolait	consoler	VERB
dans	dans	ADP
toutes	tout	ADJ
ses	son	DET
idées	idée	NOUN
.	.	PUNCTsent
Elle	elle	PRON
jouait	jouer	VERB
avec	avec	ADP
lui	lui	PRON
un	un	DET
petit	petit	ADJ
jeu	jeu	NOUN
qui	qui	PRON
était	être	AUX
peut-être	peut-être	ADV
entaché	entacher	VERB
de	de	ADP
un	un	DET
peu de	peu de	DET
coquetterie	coquetterie	NOUN
;	;	PUNCTclause
du	du	ADP_DET
moins	moins	ADV
,	,	PUNCTclause
il	il	PRON
le	le:PRON	PRON
pensait	penser	VERB
quelquefois	quelquefois	ADV
;	;	PUNCTclause
mais	mais	CCONJ
comme	comme	ADP
son	son	DET
motif	motif	NOUN
était	être	AUX
l'	le	DET
honnêteté	honnêteté	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
voulait	vouloir	VERB
point	point	ADV
de	de	ADP
son	son	DET
amour	amour	NOUN
,	,	PUNCTclause
à	à	ADP
moins	moins	ADV
que	que	SCONJ
il	il	PRON
ne	ne	ADV
eût	avoir	VERB
bien	bien	ADV
tourné	tourner	VERB
et	et	CCONJ
retourné	retourner	VERB
la	le	DET
chose	chose	NOUN
dans	dans	ADP
son	son	DET
esprit	esprit	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
avait	avoir	VERB
point	point	ADV
droit	droit	NOUN
de	de	ADP
se	se	PRON
en	en	ADP
offenser	offenser	VERB
.	.	PUNCTsent
Elle	elle	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
pas	pas	ADV
le	le	DET
suspecter	suspecter	VERB
de	de	ADP
la	le	DET
vouloir	vouloir	NOUN
tromper	tromper	VERB
sur	sur	ADP
la	le	DET
force	force	NOUN
de	de	ADP
cet	ce	DET
amour	amour	NOUN
,	,	PUNCTclause
car	car	CCONJ
ce	ce	PRON
était	être	AUX
une	un	DET
espèce	espèce	NOUN
de	de	ADP
amour	amour	NOUN
comme	comme	ADP
on	on	PRON
ne	ne	ADV
en	en	PRON
voit	voir	VERB
pas	pas	ADV
souvent	souvent	ADV
chez	chez	ADP
les	le	DET
gens	gens	NOUN
de	de	ADP
campagne	campagne	NOUN
,	,	PUNCTclause
lesquels	lesquels	PRON
aiment	aimer	VERB
plus	plus	ADV
patiemment	patiemment	ADV
que	que	SCONJ
ceux	ceux	PRON
des	un	ADP_DET
villes	ville	NOUN
.	.	PUNCTsent
Et	et	CCONJ
justement	justement	ADV
Landry	Landry	PROPN
était	être	AUX
de	de	ADP
un	un	DET
caractère	caractère	NOUN
patient	patient	ADJ
plus	plus	ADV
que	que	SCONJ
d'autres	d'autre	PRON
,	,	PUNCTclause
jamais	jamais	ADV
on	on	PRON
ne	ne	ADV
aurait	avoir	AUX
pu	pouvoir	VERB
présager	présager	VERB
que	que	SCONJ
il	il	PRON
se	se	PRON
laisserait	laisser	VERB
brûler	brûler	VERB
si	si	ADV
fort	fort	ADV
à	à	ADP
la	le	DET
chandelle	chandelle	NOUN
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
l'	le:PRON	PRON
eût	avoir	AUX
su	savoir	VERB
(	(	PUNCTclause
car	car	CCONJ
il	il	PRON
le	le:PRON	PRON
cachait	cacher	VERB
bien	bien	ADV
)	)	PUNCTclause
se	se	PRON
en	en	ADP
fût	être	AUX
grandement	grandement	ADV
émerveillé	émerveiller	VERB
.	.	PUNCTsent
Mais	mais	CCONJ
la	le	DET
petite	petit	ADJ
Fadette	fadette	NOUN
,	,	PUNCTclause
voyant	voir	VERB
que	que	SCONJ
il	il	PRON
se	se	PRON
était	être	AUX
donné	donner	VERB
à	à	ADP
elle	elle	PRON
si	si	SCONJ
entièrement	entièrement	ADV
et	et	CCONJ
si	si	SCONJ
subitement	subitement	ADV
,	,	PUNCTclause
avait	avoir	VERB
peur	peur	NOUN
que	que	SCONJ
ce	ce	PRON
ne	ne	ADV
fût	être	AUX
feu	feu	ADJ
de	de	ADP
paille	paille	NOUN
,	,	PUNCTclause
ou bien	ou bien	CCONJ
encore	encore	ADV
que	que	SCONJ
elle-même	elle-même	PRON
prenant	prendre	VERB
feu	feu	NOUN
du	du	ADP_DET
mauvais	mauvais	ADJ
côté	côté	NOUN
,	,	PUNCTclause
la	le	DET
chose	chose	NOUN
ne	ne	ADV
allât	aller	VERB
plus	plus	ADV
loin	loin	ADV
entre	entre	ADP
eux	eux	PRON
que	que	SCONJ
l'	le	DET
honnêteté	honnêteté	NOUN
ne	ne	ADV
permet	permettre	VERB
à	à	ADP
deux	deux	NUM
enfants	enfant	NOUN
qui	qui	PRON
ne	ne	ADV
sont	être	AUX
point	point	ADV
encore	encore	ADV
en	en	ADP
âge	âge	NOUN
de	de	ADP
être	être	AUX
mariés	marier	VERB
,	,	PUNCTclause
du	du	ADP_DET
moins	moins	NOUN
au	au	ADP_DET
dire	dire	NOUN
des	un	ADP_DET
parents	parent	NOUN
et	et	CCONJ
de	de	ADP
la	le	DET
prudence	prudence	NOUN
:	:	PUNCTclause
car	car	CCONJ
l'	le	DET
amour	amour	NOUN
ne	ne	ADV
attend	attendre	VERB
guère	guère	ADV
,	,	PUNCTclause
et	et	CCONJ
quand	quand	SCONJ
une	un	DET
fois	fois	NOUN
il	il	PRON
se	se	PRON
est	être	AUX
mis	mettre	VERB
dans	dans	ADP
le	le	DET
sang	sang	NOUN
de	de	ADP
deux	deux	NUM
jeunesses	jeunesse	NOUN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
miracle	miracle	NOUN
si	si	SCONJ
il	il	PRON
attend	attendre	VERB
l'	le	DET
approbation	approbation	NOUN
de	de	ADP
autrui	autrui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
la	le	DET
petite	petit	ADJ
Fadette	fadette	NOUN
,	,	PUNCTclause
qui	qui	PRON
avait	avoir	AUX
été	être	AUX
dans	dans	ADP
son	son	DET
apparence	apparence	NOUN
plus	plus	ADV
longtemps	longtemps	ADV
enfant	enfant	NOUN
que	que	SCONJ
une	un	DET
autre	autre	ADJ
,	,	PUNCTclause
possédait	posséder	VERB
au-dedans	au-dedans	ADV
une	un	DET
raison	raison	NOUN
et	et	CCONJ
une	un	DET
volonté	volonté	NOUN
bien	bien	ADV
au-dessus	au-dessus	ADV
de	de	ADP
son	son	DET
âge	âge	NOUN
.	.	PUNCTsent
pour que	pour que	SCONJ
cela	cela	PRON
fût	être	AUX
,	,	PUNCTclause
il	il	PRON
fallait	falloir	VERB
que	que	SCONJ
elle	elle	PRON
eût	avoir	VERB
un	un	DET
esprit	esprit	NOUN
de	de	ADP
une	un	DET
fière	fier	ADJ
force	force	NOUN
,	,	PUNCTclause
car	car	CCONJ
son	son	DET
cœur	cœur	NOUN
était	être	AUX
aussi	aussi	ADV
ardent	ardent	ADJ
,	,	PUNCTclause
et	et	CCONJ
plus	plus	ADV
encore	encore	ADV
peut-être	peut-être	ADV
que	que	SCONJ
le	le	DET
cœur	cœur	NOUN
et	et	CCONJ
le	le	DET
sang	sang	NOUN
de	de	ADP
Landry	Landry	PROPN
.	.	PUNCTsent
Elle	elle	PRON
l'	le:PRON	PRON
aimait	aimer	VERB
comme	comme	ADP
une	un	DET
folle	fou	ADJ
,	,	PUNCTclause
et	et	CCONJ
pourtant	pourtant	ADV
elle	elle	PRON
se	se	PRON
conduisit	conduire	VERB
avec	avec	ADP
une	un	DET
grande	grand	ADJ
sagesse	sagesse	NOUN
;	;	PUNCTclause
car	car	CCONJ
si	si	SCONJ
le	le	DET
jour	jour	NOUN
,	,	PUNCTclause
la	le	DET
nuit	nuit	NOUN
,	,	PUNCTclause
à	à	ADP
toute	toute	DET
heure	heure	NOUN
de	de	ADP
son	son	DET
temps	temps	NOUN
,	,	PUNCTclause
elle	elle	PRON
pensait	penser	VERB
à	à	ADP
lui	lui	PRON
et	et	CCONJ
séchait	sécher	VERB
de	de	ADP
impatience	impatience	NOUN
de	de	ADP
le	le	DET
voir	voir	VERB
et	et	CCONJ
de	de	ADP
envie	envie	NOUN
de	de	ADP
le	le	DET
caresser	caresser	VERB
,	,	PUNCTclause
aussitôt	aussitôt	ADV
que	que	SCONJ
elle	elle	PRON
le	le:PRON	PRON
voyait	voir	VERB
,	,	PUNCTclause
elle	elle	PRON
prenait	prendre	VERB
un	un	DET
air	air	NOUN
tranquille	tranquille	ADJ
,	,	PUNCTclause
lui	lui	PRON
parlait	parler	VERB
raison	raison	NOUN
,	,	PUNCTclause
feignait	feindre	VERB
même	même	ADV
de	de	ADP
ne	ne	ADV
point	point	ADV
encore	encore	ADV
connaître	connaître	VERB
le	le	DET
feu	feu	NOUN
de	de	ADP
amour	amour	NOUN
,	,	PUNCTclause
et	et	CCONJ
ne	ne	ADV
lui	lui	PRON
permettait	permettre	VERB
pas	pas	ADV
de	de	ADP
lui	lui	PRON
serrer la main	serrer la main	VERB
plus	plus	ADV
haut	haut	ADV
que	que	SCONJ
le	le	DET
poignet	poignet	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
Landry	Landry	PROPN
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
dans	dans	ADP
les	le	DET
endroits	endroit	NOUN
retirés	retirer	VERB
où	où	PRON
ils	ils	PRON
se	se	PRON
trouvaient	trouver	VERB
souvent	souvent	ADV
ensemble	ensemble	ADV
,	,	PUNCTclause
et	et	CCONJ
mêmement	mêmement	ADV
quand	quand	SCONJ
la	le	DET
nuit	nuit	NOUN
était	être	AUX
bien	bien	ADV
noire	noir	ADJ
,	,	PUNCTclause
aurait	avoir	AUX
pu	pouvoir	VERB
se	se	PRON
oublier	oublier	VERB
jusque	jusque	ADP
à	à	ADP
ne	ne	ADV
plus	plus	ADV
se	se	PRON
soumettre	soumettre	VERB
à	à	ADP
elle	elle	PRON
,	,	PUNCTclause
tant	tant	ADV
il	il	PRON
était	être	AUX
ensorcelé	ensorceler	VERB
,	,	PUNCTclause
craignait	craindre	VERB
pourtant	pourtant	ADV
si	si	ADV
fort	fort	ADV
de	de	ADP
lui	lui	PRON
déplaire	déplaire	VERB
,	,	PUNCTclause
et	et	CCONJ
se	se	PRON
tenait	tenir	VERB
pour	pour	ADP
si	si	SCONJ
peu	peu	ADV
certain	certain	ADJ
de	de	ADP
être	être	AUX
aimé	aimer	VERB
de	de	ADP
amour	amour	NOUN
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
vivait	vivre	VERB
aussi	aussi	ADV
innocemment	innocemment	ADV
avec	avec	ADP
elle	elle	PRON
que	que	SCONJ
si	si	SCONJ
elle	elle	PRON
eût	avoir	VERB
été	être	AUX
sa	son	DET
sœur	sœur	NOUN
,	,	PUNCTclause
et	et	CCONJ
lui	lui	PRON
Jeanet	Jeanet	PROPN
,	,	PUNCTclause
le	le	DET
petit	petit	ADJ
sauteriot	sauteriot	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pour	pour	ADP
le	le	DET
distraire	distraire	VERB
de	de	ADP
l'	le	DET
idée	idée	NOUN
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
voulait	vouloir	VERB
point	point	ADV
