# columns = TERM LEMMA POS
# identifier = sand1853c-05
# creator = Sand, George
# created = 1853
# isPartOf = Mont-Revêche
# title = IV

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comment	comment	ADV
!	!	PUNCTsent
il	il	PRON
ne	ne	ADV
est	être	AUX
que	que	ADV
minuit	minuit	NOUN
?	?	PUNCTsent
dit	dire	VERB
Éveline	Éveline	PROPN
,	,	PUNCTclause
qui	qui	PRON
feuilletait	feuilleter	VERB
un	un	DET
roman	roman	NOUN
de	de	ADP
Walter	Walter	PROPN
Scott	Scott	PROPN
sans	sans	ADP
le	le	DET
lire	lire	NOUN
,	,	PUNCTclause
étendue	étendre	VERB
sur	sur	ADP
un	un	DET
moelleux	moelleux	ADJ
sofa	sofa	NOUN
,	,	PUNCTclause
et	et	CCONJ
jouant	jouer	VERB
tantôt	tantôt	ADV
avec	avec	ADP
les	le	DET
tresses	tresse	NOUN
détachées	détacher	VERB
de	de	ADP
ses	son	DET
beaux	beau	ADJ
cheveux	cheveu	NOUN
,	,	PUNCTclause
tantôt	tantôt	ADV
avec	avec	ADP
les	le	DET
oreilles	oreille	NOUN
de	de	ADP
un	un	DET
énorme	énorme	ADJ
et	et	CCONJ
magnifique	magnifique	ADJ
terre-neuve	terre-neuve	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
trouve	trouver	VERB
aussi	aussi	ADV
le	le	DET
temps	temps	NOUN
long	long	ADJ
aujourd'hui	aujourd'hui	ADV
,	,	PUNCTclause
répondit	répondre	VERB
Nathalie	Nathalie	PROPN
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
de	de	ADP
une	un	DET
main	main	NOUN
ferme	ferme	ADJ
et	et	CCONJ
en	en	ADP
caractères	caractère	NOUN
de	de	ADP
une	un	DET
largeur	largeur	NOUN
affectée	affecter	VERB
,	,	PUNCTclause
copiait	copier	VERB
une	un	DET
longue	long	ADJ
tirade	tirade	NOUN
de	de	ADP
sa	son	DET
façon	façon	NOUN
sur	sur	ADP
un	un	DET
vélin	vélin	NOUN
épais	épais	ADJ
et	et	CCONJ
cassant	cassant	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
cela	cela	PRON
se	se	PRON
explique	expliquer	VERB
,	,	PUNCTclause
reprit	reprendre	VERB
Éveline	Éveline	PROPN
,	,	PUNCTclause
il y a	il y a	VERB
une	un	DET
grande	grand	ADJ
heure	heure	NOUN
que	que	PRON
nous	nous	PRON
sommes	être	AUX
ensemble	ensemble	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Éveline	Éveline	PROPN
,	,	PUNCTclause
tu	tu	PRON
prends	prendre	VERB
avec	avec	ADP
moi	moi	PRON
des	un	ADP_DET
habitudes	habitude	NOUN
de	de	ADP
sarcasme	sarcasme	NOUN
qui	qui	PRON
lasseraient	lasser	VERB
la	le	DET
patience	patience	NOUN
de	de	ADP
tout	tout	DET
autre	autre	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
dont	dont	PRON
je	je	PRON
ai	avoir	AUX
résolu	résoudre	VERB
de	de	ADP
ne	ne	ADV
pas	pas	ADV
me	me	PRON
apercevoir	apercevoir	VERB
.	.	PUNCTsent
Tu	tu	PRON
ne	ne	ADV
te	te	PRON
aperçois	apercevoir	VERB
donc	donc	ADV
pas	pas	ADV
,	,	PUNCTclause
toi	toi	PRON
,	,	PUNCTclause
ma	mon	DET
chère	chère	NOUN
,	,	PUNCTclause
de	de	ADP
la	le	DET
cause	cause	NOUN
de	de	ADP
mon	mon	DET
silence	silence	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
si	si	SCONJ
fait	fait	NOUN
!	!	PUNCTsent
ce	ce	PRON
est	être	AUX
le	le	DET
calme	calme	NOUN
du	du	ADP_DET
mépris	mépris	NOUN
,	,	PUNCTclause
la	le	DET
patience	patience	NOUN
de	de	ADP
la	le	DET
force	force	NOUN
.	.	PUNCTsent
de	de	ADP
un	un	DET
mot	mot	NOUN
,	,	PUNCTclause
tu	tu	PRON
me	me	PRON
briserais	briser	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Qui	qui	PRON
sait	savoir	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
tu	tu	PRON
as	avoir	AUX
pitié	pitié	NOUN
de	de	ADP
ma	mon	DET
faiblesse	faiblesse	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Peut-être	peut-être	ADV
bien	bien	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ta	ton	DET
fais	faire	AUX
à	à	ADP
tort	tort	NOUN
la	le	DET
généreuse	généreux	ADJ
,	,	PUNCTclause
ma	mon	DET
grande	grand	NOUN
Nathalie	Nathalie	PROPN
;	;	PUNCTclause
tu	tu	PRON
ne	ne	ADV
es	être	AUX
que	que	ADV
une	un	DET
avare	avare	NOUN
,	,	PUNCTclause
au contraire	au contraire	ADV
;	;	PUNCTclause
tu	tu	PRON
amasses	amasser	VERB
les	le	DET
trésors	trésor	NOUN
de	de	ADP
la	le	DET
vengeance	vengeance	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
de	de	ADP
un	un	DET
mot	mot	NOUN
placé	placer	VERB
à propos de	à propos de	ADP
temps	temps	NOUN
en	en	ADP
temps	temps	NOUN
,	,	PUNCTclause
tu	tu	PRON
foudroies	foudroyer	VERB
mon	mon	DET
arsenal	arsenal	NOUN
de	de	ADP
taquineries	taquinerie	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
je	je	PRON
suis	être	AUX
meilleure	meilleur	ADJ
que	que	SCONJ
toi	toi	PRON
et	et	CCONJ
reconnais	reconnaître	VERB
que	que	SCONJ
je	je	PRON
ai	avoir	AUX
tort	tort	NOUN
.	.	PUNCTsent
Nous	nous	PRON
ferions	faire	VERB
mieux	mieux	ADV
de	de	ADP
nous	nous	PRON
supporter	supporter	VERB
mutuellement	mutuellement	ADV
,	,	PUNCTclause
à présent	à présent	ADV
surtout	surtout	ADV
que	que	SCONJ
nous	nous	PRON
voilà	voilà	ADP
condamnées	condamner	VERB
à	à	ADP
vivre	vivre	VERB
de	de	DET
longues	long	ADJ
heures	heure	NOUN
vis-à-vis	vis-à-vis	ADV
l'une	l'une	PRON
de	de	ADP
l'autre	l'autre	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
me	me	PRON
en	en	PRON
plains	plaindre	VERB
pas	pas	ADV
;	;	PUNCTclause
je	je	PRON
aime	aimer	VERB
encore	encore	ADV
mieux	mieux	ADV
ta	ton	DET
société	société	NOUN
bizarre	bizarre	ADJ
et	et	CCONJ
ta	ton	DET
causerie	causerie	NOUN
incohérente	incohérent	ADJ
que	que	SCONJ
les	le	DET
fourberies	fourberie	NOUN
caressantes	caressant	ADJ
de	de	ADP
Olympe	Olympe	PROPN
,	,	PUNCTclause
les	le	DET
trahisons	trahison	NOUN
niaisement	niaisement	ADV
bien	bien	ADV
intentionnées	intentionné	ADJ
de	de	ADP
la	le	DET
Benjamine	Benjamine	PROPN
,	,	PUNCTclause
les	le	DET
remontrances	remontrance	NOUN
pédagogiques	pédagogique	ADJ
de	de	ADP
M.	M.	NOUN
Amédée	Amédée	PROPN
,	,	PUNCTclause
et	et	CCONJ
surtout	surtout	ADV
que	que	SCONJ
les	le	DET
indignations	indignation	NOUN
mal	mal	ADV
contenues	contenu	ADJ
de	de	ADP
notre	notre	DET
pauvre	pauvre	ADJ
père	père	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
C'est-à-dire	c'est-à-dire	CCONJ
que	que	SCONJ
tu	tu	PRON
détestes	détester	VERB
tant	tant	ADV
tout le monde	tout le monde	NOUN
,	,	PUNCTclause
que	que	SCONJ
tu	tu	PRON
aimes	aimer	VERB
mieux	mieux	ADV
te	te	PRON
reposer	reposer	VERB
dans	dans	ADP
le	le	DET
dédain	dédain	NOUN
que	que	SCONJ
te	te	PRON
inspire	inspirer	VERB
ta	ton	DET
frivolité	frivolité	NOUN
?	?	PUNCTsent
Tu	tu	PRON
devrais	devoir	VERB
au moins	au moins	ADV
excepter	excepter	VERB
mon	mon	DET
père	père	NOUN
…	…	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
tu	tu	PRON
poses	poser	VERB
la	le	DET
fille	fille	NOUN
tendre	tendre	ADJ
et	et	CCONJ
soumise	soumettre	VERB
,	,	PUNCTclause
ce	ce	DET
soir	soir	NOUN
!	!	PUNCTsent
Oui	oui	INTJ
,	,	PUNCTclause
oui	oui	INTJ
,	,	PUNCTclause
tu	tu	PRON
l'	le	DET
as	as	NOUN
fait	faire	VERB
,	,	PUNCTclause
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
vu	voir	VERB
,	,	PUNCTclause
Éveline	Éveline	PROPN
,	,	PUNCTclause
