# columns = TERM LEMMA POS PROB
# identifier = dumas1853-63
# creator = Dumas, Alexandre
# created = 1853
# isPartOf = Ingénue
# title = LXIII. Où l’on dérange Auger pendant son repas

↵↵↵	↵↵↵	PUNCTstruct
Lxiii	Lxiii	PROPN
.	.	PUNCTsent
Où	où	ADV
l'on	on	PRON
dérange	déranger	VERB
Auger	Auger	PROPN
pendant	pendant	ADP
son	son	DET
repas	repas	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
nous	nous	PRON
faut	falloir	VERB
maintenant	maintenant	ADV
revenir	revenir	VERB
à	à	ADP
cet	ce	DET
excellent	excellent	ADJ
M.	M.	PROPN
Auger	Auger	PROPN
,	,	PUNCTclause
auquel	auquel	ADP_DET
,	,	PUNCTclause
de	de	DET
nos	nos	NOUN
jours	jour	NOUN
,	,	PUNCTclause
l'	le	DET
Académie	académie	NOUN
ne	ne	ADV
eût	avoir	ADJ
certes	certes	ADV
pas	pas	ADV
manqué	manquer	VERB
de	de	DET
accorder	accorder	NOUN
le	le	DET
prix	prix	NOUN
de	de	DET
vertu	vertu	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lui	lui	PRON
aussi	aussi	ADV
avait	avoir	AUX
fait	faire	AUX
tous	tout	ADJ
ses	son	DET
plans	plan	NOUN
,	,	PUNCTclause
et	et	CCONJ
même	même	ADV
une	un	DET
partie	partie	NOUN
de	de	DET
ses	son	NOUN
préparatifs	préparatif	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Bien	bien	ADV
vu	vu	ADP
par	par	ADP
tout le monde	tout le monde	NOUN
,	,	PUNCTclause
nullement	nullement	ADV
inquiété	inquiéter	VERB
à	à	ADP
l'	le	DET
endroit	endroit	NOUN
du	du	ADP_DET
vol	vol	NOUN
de	de	DET
Réveillon	Réveillon	PROPN
et	et	CCONJ
de	de	DET
la	le:PRON	PRON
mort	mourir	VERB
de	de	DET
sa	son	DET
femme	femme	NOUN
,	,	PUNCTclause
plaint	plaindre	VERB
et	et	CCONJ
admiré	admirer	VERB
par	par	ADP
le	le	DET
faubourg	faubourg	NOUN
Saint-Antoine	Saint-Antoine	PROPN
et	et	CCONJ
la	le	DET
rue	rue	NOUN
des	un	ADP_DET
Bernardins	Bernardins	PROPN
,	,	PUNCTclause
il	il	PRON
songeait	songer	VERB
cependant	cependant	ADV
,	,	PUNCTclause
l'	le	DET
ingrat	ingrat	NOUN
!	!	PUNCTsent
à	à	ADP
quitter	quitter	VERB
ce	ce	DET
beau	beau	ADJ
pays	pays	NOUN
de	de	DET
France	France	PROPN
,	,	PUNCTclause
ou	ou	CCONJ
tout	tout	ADJ
au moins	au moins	ADV
la	le	DET
capitale	capital	NOUN
,	,	PUNCTclause
qui	qui	PRON
le	le:PRON	PRON
traitait	traiter	VERB
en	en	ADP
enfant	enfant	NOUN
adoré	adorer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
est	être	AUX
que	que	SCONJ
Auger	Auger	PROPN
lorgnait	lorgner	VERB
tout	tout	ADJ
simplement	simplement	ADV
certaine	certain	ADJ
province	province	NOUN
de	de	DET
Gascogne	Gascogne	PROPN
dans	dans	ADP
laquelle	laquelle	PRON
,	,	PUNCTclause
en	en	ADP
trafiquant	trafiquer	VERB
un	un	DET
peu	peu	NOUN
pour	pour	ADP
donner	donner	VERB
prétexte	prétexte	NOUN
à	à	ADP
une	un	DET
fortune	fortune	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
remarierait	remarier	VERB
avec	avec	ADP
une	un	DET
femme	femme	NOUN
moins	moins	ADV
sylphide	sylphide	ADJ
que	que	SCONJ
Ingénue	Ingénue	PROPN
,	,	PUNCTclause
avec	avec	ADP
une	un	DET
femme	femme	NOUN
apparentée	apparenté	ADJ
de	de	DET
gros	gros	ADJ
marchands	marchand	NOUN
de	de	DET
suifs	suif	NOUN
ou	ou	CCONJ
de	de	DET
laines	laine	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
nullement	nullement	ADV
fille	fille	NOUN
,	,	PUNCTclause
sœur	sœur	NOUN
ou	ou	CCONJ
nièce	nièce	NOUN
de	de	DET
homme	homme	NOUN
de	de	DET
lettres	lettre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Car	car	CCONJ
,	,	PUNCTclause
au	au	ADP_DET
fond	fond	NOUN
,	,	PUNCTclause
par	par	ADP
instinct	instinct	NOUN
sans doute	sans doute	ADV
,	,	PUNCTclause
Auger	Auger	PROPN
exécrait	exécrer	VERB
Rétif	Rétif	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
dans	dans	ADP
les	le	DET
rêves	rêve	NOUN
que	que	SCONJ
nous	nous	PRON
venons	venir	VERB
de	de	DET
dire	dire	NOUN
,	,	PUNCTclause
au lieu de	au lieu de	ADP
être	être	AUX
dans	dans	ADP
une	un	DET
misérable	misérable	NOUN
chambre	chambre	NOUN
de	de	DET
la	le	AUX
rue	rue	NOUN
des	un	ADP_DET
Bernardins	Bernardins	PROPN
,	,	PUNCTclause
presque	presque	ADV
démeublée	démeubler	VERB
,	,	PUNCTclause
isolée	isoler	VERB
,	,	PUNCTclause
maussade	maussade	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
voyait	voir	VERB
dans	dans	ADP
un	un	DET
bon	bon	ADJ
petit	petit	ADJ
intérieur	intérieur	NOUN
donnant	donner	VERB
sur	sur	ADP
la	le	DET
plaine	plaine	NOUN
et	et	CCONJ
sur	sur	ADP
les	le	DET
bois	bois	NOUN
,	,	PUNCTclause
confortable	confortable	ADJ
,	,	PUNCTclause
chaud	chaud	ADV
,	,	PUNCTclause
respectable	respectable	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Là	là	ADV
,	,	PUNCTclause
il	il	PRON
était	être	AUX
bon	bon	ADJ
époux	époux	NOUN
,	,	PUNCTclause
bon	bon	ADJ
