# columns = TERM LEMMA POS PROB
# identifier = dumas1850b-83
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = Le Collier de la reine
# title = LXXXIII. Un cœur mort

↵↵↵	↵↵↵	PUNCTstruct
Lxxxiii	Lxxxiii	PROPN
.	.	PUNCTsent
Un	un	DET
cœur	cœur	NOUN
mort	mort	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
reine	reine	NOUN
commença	commencer	VERB
l'	le	DET
entretien	entretien	NOUN
;	;	PUNCTclause
ce	ce	PRON
était	être	AUX
dans	dans	ADP
l'	le	DET
ordre	ordre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
voilà	voilà	VERB
donc	donc	ADV
,	,	PUNCTclause
mademoiselle	mademoiselle	NOUN
,	,	PUNCTclause
dit	dire	VERB
elle	elle	PRON
avec	avec	ADP
un	un	DET
fin	fin	NOUN
sourire	sourire	ADJ
;	;	PUNCTclause
vous	vous	PRON
me	me	PRON
faites	faire	AUX
une	un	DET
impression	impression	NOUN
singulière	singulier	ADJ
,	,	PUNCTclause
savez	savoir	VERB
vous	vous	PRON
,	,	PUNCTclause
en	en	ADP
religieuse	religieux	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Andrée	Andrée	PROPN
ne	ne	ADV
répondit	répondre	VERB
rien	rien	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Voir	voir	AUX
une	un	DET
ancienne	ancien	ADJ
compagne	compagne	NOUN
,	,	PUNCTclause
poursuivit	poursuivre	VERB
la	le	DET
reine	reine	NOUN
,	,	PUNCTclause
déjà	déjà	ADV
perdue	perdre	VERB
pour	pour	ADP
le	le	DET
monde	monde	NOUN
où	où	ADV
nous	nous	PRON
autres	autre	PRON
nous	nous	PRON
vivons	vivre	VERB
encore	encore	ADV
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
comme	comme	ADP
un	un	DET
sévère	sévère	ADJ
conseil	conseil	NOUN
que	que	SCONJ
nous	nous	PRON
donne	donner	VERB
la	le	DET
tombe	tombe	NOUN
.	.	PUNCTsent
est-ce que	est-ce que	ADV
vous	vous	PRON
ne	ne	ADV
êtes	être	AUX
pas	pas	ADV
de	de	DET
mon	mon	ADJ
avis	avis	NOUN
,	,	PUNCTclause
mademoiselle	mademoiselle	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Madame	madame	NOUN
,	,	PUNCTclause
répliqua	répliquer	VERB
Andrée	Andrée	PROPN
,	,	PUNCTclause
qui	qui	PRON
donc	donc	ADV
se	se	PRON
permettrait	permettre	VERB
de	de	DET
donner	donner	NOUN
des	un	DET
conseils	conseil	NOUN
à	à	ADP
Votre	Votre	PROPN
Majesté	Majesté	PROPN
?	?	PUNCTsent
La	le	DET
mort	mort	NOUN
elle-même	elle-même	PRON
ne	ne	ADV
avertira	avertir	VERB
la	le	DET
reine	reine	NOUN
que	que	SCONJ
le	le	DET
jour	jour	NOUN
où	où	ADV
elle	elle	PRON
la	le:PRON	PRON
prendra	prendre	VERB
.	.	PUNCTsent
en effet	en effet	ADV
,	,	PUNCTclause
comment	comment	ADV
ferait	faire	AUX
