# columns = TERM LEMMA POS PROB
# identifier = dumas1850b-29
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = Le Collier de la reine
# title = XXIX. À l’ambassade

↵↵↵	↵↵↵	PUNCTstruct
XXIX	XXIX	NUM
.	.	PUNCTsent
À	à	ADP
l'	le	DET
ambassade	ambassade	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
rentrant	rentrer	VERB
à	à	ADP
l'	le	DET
hôtel	hôtel	NOUN
de	de	ADP
l'	le	DET
ambassade	ambassade	NOUN
,	,	PUNCTclause
ces	ce	DET
messieurs	messieurs	NOUN
trouvèrent	trouver	VERB
Ducorneau	Ducorneau	PROPN
qui	qui	PRON
dînait	dîner	VERB
tranquillement	tranquillement	ADV
dans	dans	ADP
son	son	DET
bureau	bureau	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Beausire	Beausire	PROPN
le	le	DET
pria	prier	VERB
de	de	ADP
monter	monter	VERB
chez	chez	ADP
l'	le	DET
ambassadeur	ambassadeur	NOUN
,	,	PUNCTclause
et	et	CCONJ
lui	lui	PRON
tint	tenir	VERB
ce	ce	DET
langage	langage	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
comprenez	comprendre	VERB
,	,	PUNCTclause
cher	cher	ADJ
chancelier	chancelier	NOUN
,	,	PUNCTclause
que	que	SCONJ
un	un	DET
homme	homme	NOUN
tel	tel	PRON
que	que	SCONJ
M.	M.	PROPN
de	de	ADP
Souza	Souza	PROPN
ne	ne	ADV
est	être	AUX
pas	pas	ADV
un	un	DET
ambassadeur	ambassadeur	NOUN
ordinaire	ordinaire	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
me	me	PRON
en	en	PRON
suis	être	AUX
aperçu	apercevoir	VERB
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
chancelier	chancelier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Son Excellence	Son Excellence	NOUN
,	,	PUNCTclause
poursuivit	poursuivre	VERB
Beausire	Beausire	PROPN
,	,	PUNCTclause
veut	vouloir	VERB
occuper	occuper	VERB
une	un	DET
place	place	NOUN
distinguée	distinguer	VERB
à	à	ADP
Paris	Paris	PROPN
,	,	PUNCTclause
parmi	parmi	ADP
les	le	DET
riches	riche	NOUN
et	et	CCONJ
les	le	DET
gens	gens	NOUN
de	de	ADP
goût	goût	NOUN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
vous	vous	PRON
dire	dire	VERB
que	que	SCONJ
le	le	DET
séjour	séjour	NOUN
de	de	ADP
ce	ce	DET
vilain	vilain	ADJ
hôtel	hôtel	NOUN
,	,	PUNCTclause
rue	rue	NOUN
de	de	ADP
la	le	DET
Jussienne	Jussienne	PROPN
,	,	PUNCTclause
ne	ne	ADV
est	être	AUX
pas	pas	ADV
supportable	supportable	ADJ
pour	pour	ADP
lui	lui	PRON
;	;	PUNCTclause
en	en	ADP
conséquence	conséquence	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
agirait	agir	VERB
de	de	ADP
trouver	trouver	VERB
une	un	DET
autre	autre	ADJ
résidence	résidence	NOUN
particulière	particulier	ADJ
pour	pour	ADP
M.	M.	PROPN
de	de	ADP
Souza	Souza	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Cela	cela	PRON
compliquera	compliquer	VERB
les	le	DET
relations	relation	NOUN
diplomatiques	diplomatique	ADJ
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
chancelier	chancelier	NOUN
;	;	PUNCTclause
nous	nous	PRON
aurons	avoir	VERB
à	à	ADP
courir	courir	VERB
beaucoup	beaucoup	ADV
pour	pour	ADP
les	le	DET
signatures	signature	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
!	!	PUNCTsent
Son Excellence	Son Excellence	DET
vous	vous	PRON
donnera	donner	VERB
un	un	DET
carrosse	carrosse	NOUN
,	,	PUNCTclause
cher	cher	ADJ
monsieur	monsieur	NOUN
Ducorneau	Ducorneau	PROPN
,	,	PUNCTclause
répondit	répondre	VERB
Beausire	Beausire	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ducorneau	Ducorneau	PROPN
faillit	faillir	VERB
se	se	PRON
évanouir	évanouir	VERB
de	de	ADP
joie	joie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Un	un	DET
carrosse	carrosse	NOUN
à	à	ADP
moi	moi	PRON
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
il	il	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Il	il	PRON
est	être	AUX
fâcheux	fâcheux	ADJ
que	que	SCONJ
vous	vous	PRON
ne	ne	ADV
en	en	PRON
ayez	avoir	VERB
pas	pas	ADV
l'	le	DET
habitude	habitude	NOUN
,	,	PUNCTclause
continua	continuer	VERB
Beausire	Beausire	PROPN
;	;	PUNCTclause
un	un	DET
chancelier	chancelier	NOUN
de	de	ADP
ambassade	ambassade	NOUN
un	un	DET
peu	peu	ADV
digne	digne	ADJ
doit	devoir	VERB
avoir	avoir	VERB
son	son	DET
carrosse	carrosse	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
nous	nous	PRON
parlerons	parler	VERB
de	de	ADP
ce	ce	DET
détail	détail	NOUN
en	en	ADP
temps	temps	NOUN
et	et	CCONJ
lieu	lieu	NOUN
.	.	PUNCTsent
Pour	pour	ADP
le	le	DET
moment	moment	NOUN
,	,	PUNCTclause
rendons	rendre	VERB
compte	compte	NOUN
à	à	ADP
M.	M.	PROPN
