# columns = TERM LEMMA POS PROB
# identifier = dumas1844f-22
# creator = Dumas, Alexandre
# created = 1844
# isPartOf = Le château d'Eppstein
# title = XXI

↵↵↵	↵↵↵	PUNCTstruct
XXI	XXI	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Après	après	ADP
le	le	DET
souper	souper	NOUN
,	,	PUNCTclause
où	où	ADV
le	le	DET
comte	comte	NOUN
se	se	PRON
montra	montrer	VERB
encore	encore	ADV
plus	plus	ADV
enjoué	enjouer	VERB
et	et	CCONJ
plus	plus	ADV
affectueux	affectueux	ADJ
pour	pour	ADP
son	son	DET
fils	fils	NOUN
que	que	SCONJ
dans	dans	ADP
la	le	DET
journée	journée	NOUN
,	,	PUNCTclause
Maximilien	Maximilien	PROPN
invita	inviter	VERB
gravement	gravement	ADV
Éverard	Éverard	PROPN
à	à	ADP
le	le	DET
suivre	suivre	NOUN
dans	dans	ADP
son	son	DET
appartement	appartement	NOUN
.	.	PUNCTsent
Le	le	DET
jeune	jeune	ADJ
homme	homme	NOUN
,	,	PUNCTclause
l'	le	DET
esprit	esprit	NOUN
troublé	troubler	VERB
et	et	CCONJ
le	le	DET
cœur	cœur	NOUN
palpitant	palpitant	ADJ
,	,	PUNCTclause
obéit	obéir	VERB
à	à	ADP
l'	le	DET
ordre	ordre	NOUN
de	de	DET
son	son	NOUN
père	père	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quand	quand	SCONJ
ils	ils	PRON
furent	être	AUX
tous deux	tous deux	PRON
dans	dans	ADP
la	le	DET
chambre	chambre	NOUN
rouge	rouge	ADJ
,	,	PUNCTclause
Maximilien	Maximilien	PROPN
désigna	désigner	VERB
à	à	ADP
son	son	DET
fils	fils	NOUN
un	un	DET
fauteuil	fauteuil	NOUN
où	où	ADV
le	le	DET
jeune	jeune	ADJ
homme	homme	NOUN
se	se	PRON
assit	asseoir	VERB
en	en	ADP
silence	silence	NOUN
;	;	PUNCTclause
pour	pour	ADP
lui	lui	PRON
