# columns = TERM LEMMA POS PROB
# identifier = sand1859c-07
# creator = Sand, George
# created = 1859
# isPartOf = L’homme de neige
# title = VI

↵↵↵	↵↵↵	PUNCTstruct
VI	VI	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Après	après	ADP
quelques	quelque	DET
instants	instant	NOUN
de	de	DET
repos	repos	NOUN
,	,	PUNCTclause
Cristiano	Cristiano	PROPN
,	,	PUNCTclause
que	que	SCONJ
nous	nous	PRON
appellerons	appeler	VERB
désormais	désormais	ADV
Christian	Christian	PROPN
,	,	PUNCTclause
reprit	reprendre	VERB
son	son	DET
récit	récit	NOUN
en	en	ADP
ces	ce	DET
termes	terme	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Cependant	cependant	ADV
je	je	PRON
ne	ne	ADV
dois	devoir	VERB
pas	pas	ADV
oublier	oublier	VERB
de	de	DET
vous	vous	PRON
dire	dire	VERB
quelle	quel	ADJ
intéressante	intéressant	NOUN
rencontre	rencontrer	VERB
me	me	PRON
réconcilia	réconcilier	VERB
durant	durant	ADP
quelques	quelque	DET
jours	jour	NOUN
avec	avec	ADP
le	le	DET
métier	métier	NOUN
de	de	DET
artiste	artiste	NOUN
ambulant	ambulant	VERB
.	.	PUNCTsent
Ce	ce	PRON
fut	être	AUX
celle	celle	PRON
de	de	DET
un	un	PRON
homme	homme	NOUN
fort	fort	ADJ
extraordinaire	extraordinaire	ADJ
qui	qui	PRON
jouit	jouir	VERB
à	à	ADP
Paris	Paris	PROPN
maintenant	maintenant	ADV
de	de	DET
la	le	SCONJ
plus	plus	ADV
honorable	honorable	ADJ
position	position	NOUN
,	,	PUNCTclause
et	et	CCONJ
dont	dont	PRON
le	le	DET
nom	nom	NOUN
est	être	AUX
sans doute	sans doute	ADV
venu	venir	VERB
jusque	jusque	ADP
à	à	ADP
vous	vous	PRON
.	.	PUNCTsent
Je	je	PRON
veux	vouloir	VERB
parler	parler	VERB
de	de	DET
Philippe	Philippe	PROPN
Ledru	Ledru	PROPN
dit	dire	VERB
Comus	Comus	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Certainement	certainement	ADV
,	,	PUNCTclause
répondit	répondre	VERB
M.	M.	PROPN
Goefle	Goefle	PROPN
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
vu	voir	AUX
,	,	PUNCTclause
dans	dans	ADP
mon	mon	DET
journal	journal	NOUN
scientifique	scientifique	ADJ
,	,	PUNCTclause
que	que	SCONJ
cet	ce	DET
habile	habile	NOUN
prestidigitateur	prestidigitateur	ADJ
était	être	AUX
un	un	DET
très-grand	très-grand	NOUN
physicien	physicien	ADJ
et	et	CCONJ
que	que	SCONJ
ses	son	DET
expériences	expérience	NOUN
sur	sur	ADP
l'	le	DET
aimant	aimant	NOUN
venaient	venir	VERB
de	de	DET
enrichir	enrichir	NOUN
la	le	DET
science	science	NOUN
de	de	DET
instruments	instrument	NOUN
nouveaux	nouveau	ADJ
de	de	DET
une	un	PRON
rare	rare	ADJ
perfection	perfection	NOUN
.	.	PUNCTsent
Y	y	PRON
suis	être	AUX
je	je	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
y	y	PRON
êtes	être	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
Goefle	Goefle	PROPN
.	.	PUNCTsent
M.	M.	PUNCT
Comus	Comus	PROPN
a	avoir	AUX
été	être	AUX
nommé	nommer	VERB
professeur	professeur	NOUN
des	un	ADP_DET
Enfants	enfant	NOUN
de	de	DET
France	France	PROPN
:	:	PUNCTclause
il	il	PRON
a	avoir	AUX
établi	établir	VERB
des	un	DET
cartes	carte	NOUN
nautiques	nautique	ADJ
sur	sur	ADP
un	un	DET
système	système	NOUN
nouveau	nouveau	ADJ
,	,	PUNCTclause
qui	qui	PRON
est	être	AUX
le	le	DET
résultat	résultat	NOUN
de	de	DET
travaux	travail	NOUN
immenses	immense	ADJ
,	,	PUNCTclause
entrepris	entreprendre	VERB
par	par	ADP
l'	le	DET
ordre	ordre	NOUN
du	du	ADP_DET
roi	roi	NOUN
;	;	PUNCTclause
il	il	PRON
a	avoir	AUX
fourni	fournir	VERB
des	un	ADP_DET
exemplaires	exemplaire	NOUN
manuscrits	manuscrit	ADJ
de	de	DET
ses	son	NOUN
cartes	carte	NOUN
nautiques	nautique	ADJ
à	à	ADP
M.	M.	PROPN
de	de	DET
la	le:PRON	PRON
Pérouse	Pérouse	PROPN
.	.	PUNCTsent
Enfin	enfin	ADV
,	,	PUNCTclause
depuis	depuis	ADP
le	le	DET
jour	jour	NOUN
où	où	ADV
je	je	PRON
le	le:PRON	PRON
rencontrai	rencontrer	VERB
sur	sur	ADP
les	le	DET
chemins	chemin	NOUN
,	,	PUNCTclause
donnant	donner	VERB
au	au	ADP_DET
public	public	NOUN
le	le	DET
spectacle	spectacle	NOUN
de	de	DET
un	un	PRON
pauvre	pauvre	ADJ
savant	savant	VERB
qui	qui	PRON
répand	répandre	VERB
l'	le	DET
instruction	instruction	NOUN
sous forme de	sous forme de	ADP
divertissement	divertissement	NOUN
,	,	PUNCTclause
il	il	PRON
a	avoir	AUX
conquis	conquérir	VERB
rapidement	rapidement	ADV
l'	le	DET
estime	estime	NOUN
générale	général	ADJ
,	,	PUNCTclause
la	le	DET
faveur	faveur	NOUN
des	un	ADP_DET
ministres	ministre	NOUN
et	et	CCONJ
les	le	DET
moyens	moyen	NOUN
de	de	DET
appliquer	appliquer	NOUN
le	le	DET
fruit	fruit	NOUN
de	de	DET
ses	son	NOUN
hautes	haut	ADJ
connaissances	connaissance	VERB
à	à	ADP
de	de	DET
grands	grand	ADJ
résultats	résultat	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Il	il	PRON
me	me	PRON
arriva	arriver	VERB
donc	donc	ADV
de	de	DET
rencontrer	rencontrer	NOUN
l'	le	DET
illustre	illustre	NOUN
Comus	Comus	PROPN
,	,	PUNCTclause
non	non	INTJ
pas	pas	ADV
tout	tout	ADJ
à	à	ADP
fait	faire	AUX
sur	sur	ADP
la	le	DET
place	place	NOUN
publique	public	ADJ
de	de	DET
Lyon	Lyon	PROPN
,	,	PUNCTclause
mais	mais	CCONJ
dans	dans	ADP
un	un	DET
local	local	NOUN
destiné	destiner	VERB
à	à	ADP
diverses	divers	DET
représentations	représentation	NOUN
de	de	DET
operanti	operanti	NOUN
ambulants	ambulant	ADJ
,	,	PUNCTclause
que	que	SCONJ
chacun	chacun	PRON
de	de	DET
nous	nous	PRON
allait	aller	VERB
louer	louer	VERB
pour	pour	ADP
son	son	DET
compte	compte	NOUN
.	.	PUNCTsent
Habitué	habituer	VERB
aux	au	ADP_DET
façons	façon	NOUN
ridicules	ridicule	ADJ
ou	ou	CCONJ
grossières	grossier	ADJ
de	de	DET
ces	ce	DET
sortes	sorte	NOUN
de	de	DET
concurrents	concurrent	NOUN
,	,	PUNCTclause
je	je	PRON
me	me	PRON
tenais	tenir	VERB
,	,	PUNCTclause
comme	comme	ADP
toujours	toujours	ADV
,	,	PUNCTclause
sur	sur	ADP
le	le	DET
qui-vive	qui-vive	NOUN
,	,	PUNCTclause
quand	quand	SCONJ
Comus	Comus	PROPN
me	me	PRON
aborda	aborder	VERB
le	le	DET
premier	premier	ADJ
avec	avec	ADP
des	un	DET
manières	manière	NOUN
dont	dont	PRON
le	le	DET
charme	charme	NOUN
et	et	CCONJ
la	le	DET
distinction	distinction	NOUN
me	me	PRON
frappèrent	frapper	VERB
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
un	un	DET
homme	homme	NOUN
de	de	DET
environ	environ	ADV
trente-cinq	trente-cinq	NUM
ans	an	NOUN
,	,	PUNCTclause
de	de	DET
une	un	PRON
constitution	constitution	NOUN
magnifique	magnifique	ADJ
,	,	PUNCTclause
aussi	aussi	ADV
rigoureux	rigoureux	ADJ
de	de	DET
corps	corps	NOUN
que	que	SCONJ
de	de	DET
esprit	esprit	NOUN
,	,	PUNCTclause
aussi	aussi	ADV
agile	agile	ADJ
de	de	DET
ses	son	NOUN
membres	membre	NOUN
que	que	SCONJ
il	il	PRON
était	être	AUX
facile	facile	ADJ
et	et	CCONJ
attachant	attacher	VERB
dans	dans	ADP
son	son	DET
langage	langage	NOUN
,	,	PUNCTclause
enfin	enfin	ADV
un	un	PRON
de	de	DET
ces	ce	NOUN
êtres	être	ADJ
admirablement	admirablement	ADV
doués	doué	ADJ
qui	qui	PRON
doivent	devoir	VERB
sortir	sortir	VERB
de	de	DET
l'	le	NOUN
obscurité	obscurité	NOUN
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
enquit	enquérir	VERB
de	de	DET
mon	mon	NOUN
industrie	industrie	NOUN
et	et	CCONJ
parut	paraître	VERB
étonné	étonner	VERB
que	que	SCONJ
je	je	PRON
fusse	être	VERB
assez	assez	ADV
instruit	instruire	VERB
pour	pour	ADP
pouvoir	pouvoir	VERB
causer	causer	VERB
avec	avec	ADP
lui	lui	PRON
.	.	PUNCTsent
Je	je	PRON
lui	lui	PRON
confiai	confier	VERB
les	le	DET
circonstances	circonstance	NOUN
où	où	ADV
je	je	PRON
me	me	PRON
trouvais	trouver	VERB
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
me	me	PRON
prit	prendre	VERB
en	en	ADP
amitié	amitié	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Quand	quand	SCONJ
il	il	PRON
eut	avoir	VERB
assisté	assister	VERB
à	à	ADP
notre	notre	DET
représentation	représentation	NOUN
,	,	PUNCTclause
à	à	ADP
laquelle	laquelle	PRON
il	il	PRON
prit	prendre	VERB
grand	grand	ADJ
plaisir	plaisir	NOUN
,	,	PUNCTclause
il	il	PRON
nous	nous	PRON
invita	inviter	VERB
à	à	ADP
voir	voir	AUX
la sienne	la sienne	PRON
,	,	PUNCTclause
dont	dont	PRON
je	je	PRON
tirai	tirer	VERB
grand	grand	ADJ
profit	profit	NOUN
;	;	PUNCTclause
car	car	CCONJ
il	il	PRON
avait	avoir	VERB
plusieurs	plusieurs	DET
secrets	secret	NOUN
qui	qui	PRON
sont	être	AUX
bien	bien	ADV
à	à	ADP
lui	lui	PRON
et	et	CCONJ
qui	qui	PRON
ne	ne	ADV
sont	être	AUX
autres	autre	ADJ
que	que	SCONJ
une	un	DET
application	application	NOUN
,	,	PUNCTclause
entre	entre	ADP
mille	mille	NUM
,	,	PUNCTclause
de	de	DET
découvertes	découverte	NOUN
de	de	DET
une	un	DET
rare	rare	ADJ
importance	importance	NOUN
.	.	PUNCTsent
Il	il	PRON
voulut	vouloir	VERB
bien	bien	ADV
me	me	ADJ
les	le	DET
expliquer	expliquer	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
me	me	PRON
trouvant	trouver	VERB
assez	assez	ADV
capable	capable	ADJ
,	,	PUNCTclause
il	il	PRON
me	me	PRON
offrit	offrir	VERB
de	de	DET
partager	partager	NOUN
ses	son	DET
destins	destin	NOUN
et	et	CCONJ
ses	son	DET
aventures	aventure	NOUN
.	.	PUNCTsent
Je	je	PRON
refusai	refuser	VERB
à	à	ADP
regret	regret	NOUN
et	et	CCONJ
à	à	ADP
tort	tort	NOUN
:	:	PUNCTclause
à	à	ADP
regret	regret	NOUN
,	,	PUNCTclause
parce que	parce que	SCONJ
Comus	Comus	PROPN
était	être	AUX
un	un	DET
des	un	NOUN
hommes	homme	NOUN
les	le	DET
meilleurs	meilleur	NOUN
,	,	PUNCTclause
les	le	DET
plus	plus	ADV
désintéressés	désintéresser	VERB
et	et	CCONJ
les	le	DET
plus	plus	ADV
sympathiques	sympathique	ADJ
que	que	SCONJ
je	je	PRON
aie	avoir	AUX
jamais	jamais	ADV
connus	connaître	VERB
;	;	PUNCTclause
à	à	ADP
tort	tort	NOUN
,	,	PUNCTclause
parce que	parce que	SCONJ
ce	ce	PRON
physicien	physicien	ADV
ambulant	ambulant	VERB
devait	devoir	VERB
trouver	trouver	VERB
bientôt	bientôt	ADV
l'	le	DET
emploi	emploi	NOUN
utile	utile	ADJ
et	et	CCONJ
sérieux	sérieux	ADJ
de	de	DET
ses	son	DET
grands	grand	ADJ
talents	talent	NOUN
.	.	PUNCTsent
je	je	PRON
avais	avoir	AUX
juré	jurer	VERB
à	à	ADP
