# columns = TERM LEMMA POS PROB
# identifier = sand1834a-94
# creator = Sand, George
# created = 1834
# isPartOf = Jacques
# title = XCIII. De Fernande à Octave.

↵↵↵	↵↵↵	PUNCTstruct
Xciii	Xciii	PROPN
.	.	PUNCTsent
De	de	DET
Fernande	Fernande	PROPN
à	à	ADP
Octave	Octave	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Jacques	Jacques	PROPN
part	part	NOUN
bientôt	bientôt	ADV
;	;	PUNCTclause
mais	mais	CCONJ
il	il	PRON
veut	vouloir	VERB
te	te	PRON
voir	voir	AUX
auparavant	auparavant	ADV
.	.	PUNCTsent
Tu	tu	ADJ
as	as	NOUN
raison	raison	NOUN
,	,	PUNCTclause
Octave	Octave	PROPN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
un	un	DET
homme	homme	NOUN
excellent	excellent	ADJ
:	:	PUNCTclause
il	il	PRON
est	être	AUX
impossible	impossible	ADJ
de	de	DET
avoir	avoir	AUX
plus	plus	ADV
de	de	DET
générosité	générosité	NOUN
,	,	PUNCTclause
de	de	DET
douceur	douceur	NOUN
,	,	PUNCTclause
de	de	DET
délicatesse	délicatesse	NOUN
et	et	CCONJ
de	de	DET
raison	raison	NOUN
.	.	PUNCTsent
Je	je	PRON
vois	voir	VERB
bien	bien	ADV
que	que	SCONJ
il	il	PRON
sait	savoir	VERB
tout	tout	ADJ
.	.	PUNCTsent
je	je	PRON
étais	être	AUX
au moment de	au moment de	ADP
lui	lui	PRON
tout	tout	ADJ
avouer	avouer	VERB
,	,	PUNCTclause
tant	tant	ADV
je	je	PRON
souffrais	souffrir	VERB
de	de	DET
ce	ce	PRON
que	que	SCONJ
je	je	PRON
prenais	prendre	VERB
pour	pour	ADP
un	un	DET
excès	excès	NOUN
de	de	DET
confiance	confiance	NOUN
et	et	CCONJ
de	de	DET
estime	estime	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
dès	dès	ADP
les	le	DET
premiers	premier	ADJ
mots	mot	NOUN
,	,	PUNCTclause
il	il	PRON
me	me	PRON
a	avoir	AUX
fait	faire	AUX
entendre	entendre	VERB
que	que	SCONJ
il	il	PRON
ne	ne	ADV
voulait	vouloir	VERB
pas	pas	ADV
en sus	en sus	ADV
davantage	davantage	ADV
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
me	me	PRON
a	avoir	AUX
témoigné	témoigner	VERB
une	un	DET
amitié	amitié	NOUN
si	si	ADV
vraie	vrai	ADJ
,	,	PUNCTclause
une	un	DET
indulgence	indulgence	NOUN
si	si	ADV
grande	grand	ADJ
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
suis	être	AUX
pénétrée	pénétrer	VERB
de	de	DET
attendrissement	attendrissement	NOUN
et	et	CCONJ
de	de	DET
reconnaissance	reconnaissance	NOUN
.	.	PUNCTsent
Tu	tu	ADJ
avais	avoir	AUX
bien	bien	ADV
jugé	juger	VERB
ses	son	DET
intentions	intenter	VERB
,	,	PUNCTclause
et	et	CCONJ
notre	notre	DET
position	position	NOUN
à	à	ADP
tous	tout	ADJ
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
Octave	Octave	PROPN
.	.	PUNCTsent
Il	il	PRON
a	avoir	AUX
fait	faire	AUX
de	de	DET
sérieuses	sérieux	ADJ
réflexions	réflexion	NOUN
sur	sur	ADP
la	le	DET
différence	différence	NOUN
de	de	DET
nos	nos	ADJ
âges	âge	NOUN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
a	avoir	AUX
certainement	certainement	ADV
vaincu	vaincre	VERB
