# columns = TERM LEMMA POS PROB
# identifier = dumas1851b-59
# creator = Dumas, Alexandre
# created = 1851
# isPartOf = Dieu dispose
# title = XXVII. Clarté du cœur

↵↵↵	↵↵↵	PUNCTstruct
XXVII	XXVII	X
.	.	PUNCTsent
Clarté	clarté	NOUN
du	du	ADP_DET
cœur	cœur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
lendemain	lendemain	NOUN
du	du	ADP_DET
jour	jour	NOUN
où	où	PRON
Julius	Julius	PROPN
,	,	PUNCTclause
Christiane	Christiane	PROPN
et	et	CCONJ
Frédérique	Frédérique	PROPN
se	se	PRON
étaient	être	AUX
rencontrés	rencontrer	VERB
tous	tout	ADJ
trois	trois	NUM
ensemble	ensemble	NOUN
dans	dans	ADP
la	le	DET
maison	maison	NOUN
secrète	secret	ADJ
du	du	ADP_DET
Marais	marais	NOUN
,	,	PUNCTclause
Frédérique	Frédérique	PROPN
,	,	PUNCTclause
seule	seul	ADJ
et	et	CCONJ
rêveuse	rêveur	ADJ
,	,	PUNCTclause
se	se	PRON
promenait	promener	VERB
dans	dans	ADP
son	son	DET
jardin	jardin	NOUN
de	de	ADP
Enghien	Enghien	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Sans	sans	ADP
savoir	savoir	VERB
pourquoi	pourquoi	ADV
,	,	PUNCTclause
elle	elle	PRON
se	se	PRON
sentait	sentir	VERB
tout	tout	ADV
inquiète	inquiet	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
entrevue	entrevue	NOUN
de	de	ADP
la	le	DET
veille	veille	NOUN
lui	lui	PRON
revenait	revenir	VERB
à	à	ADP
l'	le	DET
esprit	esprit	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pourquoi	pourquoi	ADV
son	son	DET
père	père	NOUN
,	,	PUNCTclause
devant	devant	ADP
les	le	DET
seuls	seul	ADJ
êtres	être	NOUN
que	que	SCONJ
il	il	PRON
aimât	aimer	VERB
,	,	PUNCTclause
avait	avoir	AUX
il	il	PRON
été	être	VERB
pour	pour	ADP
la première fois	la première fois	ADV
si	si	SCONJ
grave	grave	ADJ
et	et	CCONJ
si	si	SCONJ
triste	triste	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
avait	avoir	AUX
refusé	refuser	VERB
de	de	ADP
lui	lui	PRON
dire	dire	VERB
adieu	adieu	NOUN
afin de	afin de	ADP
l'	le	DET
empêcher	empêcher	VERB
de	de	ADP
partir	partir	VERB
sans	sans	ADP
la	le	DET
revoir	revoir	VERB
au moins	au moins	ADV
une	un	DET
fois	fois	NOUN
encore	encore	ADV
.	.	PUNCTsent
Mais	mais	CCONJ
si	si	SCONJ
son	son	DET
départ	départ	NOUN
était	être	AUX
une	un	DET
nécessité	nécessité	NOUN
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
était	être	AUX
forcé	forcer	VERB
de	de	ADP
se	se	PRON
en	en	ADP
aller	aller	VERB
tout de suite	tout de suite	ADV
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
aurait	avoir	AUX
fait	faire	VERB
que	que	SCONJ
lui	lui	PRON
ajouter	ajouter	VERB
une	un	DET
souffrance	souffrance	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quand	quand	SCONJ
elle	elle	PRON
avait	avoir	AUX
refusé	refuser	VERB
de	de	ADP
embrasser	embrasser	VERB
son	son	DET
père	père	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
souri	sourire	VERB
,	,	PUNCTclause
mais	mais	CCONJ
il	il	PRON
lui	lui	PRON
semblait	sembler	VERB
maintenant	maintenant	ADV
que	que	SCONJ
ce	ce	PRON
était	être	AUX
plutôt	plutôt	ADV
un	un	DET
rire	rire	NOUN
contraint	contraint	ADJ
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
il	il	PRON
avait	avoir	VERB
