# columns = TERM LEMMA POS PROB
# identifier = dumas1845a-11
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Vingt ans après
# title = XI. Les deux Gaspards

↵↵↵	↵↵↵	PUNCTstruct
XI	XI	NUM
.	.	PUNCTsent
Les	le	DET
deux	deux	NUM
Gaspards	Gaspards	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
À	à	ADP
quoi	quoi	PRON
songez	songer	VERB
vous	vous	PRON
,	,	PUNCTclause
de	de	DET
Artagnan	Artagnan	PROPN
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
et	et	CCONJ
quelle	quel	ADJ
pensée	pensée	NOUN
vous	vous	PRON
fait	faire	AUX
sourire	sourire	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
songe	songer	VERB
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
,	,	PUNCTclause
que	que	ADV
lorsque	lorsque	SCONJ
vous	vous	PRON
étiez	être	AUX
mousquetaire	mousquetaire	ADJ
,	,	PUNCTclause
vous	vous	PRON
tourniez	tourner	VERB
sans cesse	sans cesse	ADV
à	à	ADP
l'	le	DET
abbé	abbé	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
aujourd'hui	aujourd'hui	ADV
que	que	SCONJ
vous	vous	PRON
êtes	être	AUX
abbé	abbé	NOUN
,	,	PUNCTclause
vous	vous	PRON
me	me	PRON
paraissez	paraître	VERB
tourner	tourner	VERB
fort	fort	ADV
au	au	ADP_DET
mousquetaire	mousquetaire	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
vrai	vrai	ADJ
,	,	PUNCTclause
dit	dire	VERB
Aramis	Aramis	PROPN
en	en	ADP
riant	rire	NOUN
.	.	PUNCTsent
l'	le	DET
homme	homme	NOUN
,	,	PUNCTclause
vous	vous	PRON
le	le:PRON	PRON
savez	savoir	VERB
,	,	PUNCTclause
mon	mon	DET
cher	cher	NOUN
de	de	DET
Artagnan	Artagnan	PROPN
,	,	PUNCTclause
est	être	AUX
un	un	DET
étrange	étrange	ADJ
animal	animal	NOUN
,	,	PUNCTclause
tout	tout	ADJ
composé	composer	VERB
de	de	DET
contrastes	contraste	NOUN
.	.	PUNCTsent
Depuis	depuis	ADV
que	que	SCONJ
je	je	PRON
suis	être	AUX
abbé	abbé	NOUN
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
rêve	rêver	VERB
plus	plus	ADV
que	que	SCONJ
batailles	bataille	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Cela	cela	PRON
se	se	PRON
voit	voir	AUX
à	à	ADP
votre	votre	DET
ameublement	ameublement	NOUN
:	:	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
là	là	ADV
des	un	DET
rapières	rapière	NOUN
de	de	DET
toutes	tout	ADJ
les	le	DET
formes	forme	NOUN
et	et	CCONJ
pour	pour	ADP
les	le	DET
goûts	goût	NOUN
les	le	DET
plus	plus	ADV
difficiles	difficile	ADJ
.	.	PUNCTsent
est-ce que	est-ce que	ADV
vous	vous	PRON
tirez	tirer	VERB
toujours	toujours	ADV
bien	bien	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
tire	tirer	VERB
comme	comme	ADP
vous	vous	PRON
tiriez	tirer	VERB
autrefois	autrefois	ADV
,	,	PUNCTclause
mieux	mieux	ADV
encore	encore	ADV
peut-être	peut-être	ADV
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
fais	faire	AUX
que	que	SCONJ
cela	cela	PRON
toute	tout	ADJ
la	le	DET
journée	journée	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
avec	avec	ADP
qui	qui	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Avec	avec	ADP
un	un	DET
excellent	excellent	ADJ
maître	maître	NOUN
de	de	DET
armes	arme	NOUN
que	que	SCONJ
nous	nous	PRON
avons	avoir	VERB
ici	ici	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comment	comment	ADV
,	,	PUNCTclause
ici	ici	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
ici	ici	ADV
,	,	PUNCTclause
dans	dans	ADP
ce	ce	DET
couvent	couvent	NOUN
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
.	.	PUNCTsent
il y a	il y a	VERB
de	de	DET
tout	tout	ADJ
dans	dans	ADP
un	un	DET
couvent	couvent	NOUN
de	de	DET
jésuites	jésuite	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Alors	alors	ADV
vous	vous	PRON
auriez	avoir	AUX
tué	tuer	VERB
M.	M.	PROPN
de	de	DET
Marcillac	Marcillac	PROPN
si	si	SCONJ
il	il	PRON
fût	être	AUX
venu	venir	VERB
vous	vous	PRON
attaquer	attaquer	VERB
seul	seul	ADJ
,	,	PUNCTclause
au lieu de	au lieu de	ADP
tenir	tenir	VERB
tête	tête	NOUN
à	à	ADP
vingt	vingt	NUM
hommes	homme	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Parfaitement	parfaitement	ADV
,	,	PUNCTclause
dit	dire	VERB
Aramis	Aramis	PROPN
,	,	PUNCTclause
et	et	CCONJ
même	même	ADV
à	à	ADP
la	le	DET
tête	tête	NOUN
de	de	DET
ses	son	NOUN
vingt	vingt	NUM
hommes	homme	NOUN
,	,	PUNCTclause
si	si	SCONJ
je	je	PRON
avais	avoir	AUX
pu	pouvoir	VERB
dégainer	dégainer	VERB
sans	sans	ADP
être	être	AUX
reconnu	reconnaître	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Dieu	Dieu	PROPN
me	me	PRON
pardonne	pardonner	VERB
,	,	PUNCTclause
dit	dire	VERB
tout	tout	ADJ
bas	bas	ADJ
de	de	DET
Artagnan	Artagnan	PROPN
,	,	PUNCTclause
je	je	PRON
crois	croire	VERB
que	que	SCONJ
il	il	PRON
est	être	AUX
devenu	devenir	VERB
plus	plus	ADV
Gascon	Gascon	PROPN
que	que	SCONJ
moi	moi	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
tout	tout	ADJ
haut	haut	ADJ
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	NOUN
bien	bien	ADV
!	!	PUNCTsent
mon	mon	DET
cher	cher	ADJ
Aramis	Aramis	PROPN
,	,	PUNCTclause
vous	vous	PRON
me	me	PRON
demandez	demander	VERB
pourquoi	pourquoi	ADV
je	je	PRON
vous	vous	PRON
cherchais	chercher	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	INTJ
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
vous	vous	PRON
le	le:PRON	PRON
demandais	demander	VERB
pas	pas	ADV
,	,	PUNCTclause
dit	dire	VERB
Aramis	Aramis	PROPN
avec	avec	ADP
son	son	DET
air	air	NOUN
fin	fin	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
je	je	PRON
attendais	attendre	VERB
que	que	SCONJ
vous	vous	PRON
me	me	PRON
le	le:PRON	PRON
dissiez	dire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	NOUN
bien	bien	ADV
,	,	PUNCTclause
je	je	PRON
vous	vous	PRON
cherchais	chercher	VERB
pour	pour	ADP
vous	vous	PRON
offrir	offrir	VERB
tout	tout	ADJ
uniquement	uniquement	ADV
un	un	DET
moyen	moyen	ADJ
de	de	DET
tuer	tuer	NOUN
M.	M.	PROPN
de	de	DET
Marcillac	Marcillac	PROPN
,	,	PUNCTclause
quand	quand	SCONJ
cela	cela	PRON
vous	vous	PRON
fera	faire	AUX
plaisir	plaisir	NOUN
,	,	PUNCTclause
tout	tout	ADJ
prince	prince	NOUN
que	que	SCONJ
il	il	PRON
est	être	AUX
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tiens	tien	NOUN
,	,	PUNCTclause
tiens	tien	ADJ
,	,	PUNCTclause
tiens	tien	ADJ
!	!	PUNCTsent
dit	dire	VERB
Aramis	Aramis	PROPN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
une	un	DET
idée	idée	NOUN
,	,	PUNCTclause
cela	cela	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Dont	dont	PRON
je	je	PRON
vous	vous	PRON
invite	inviter	VERB
à	à	ADP
faire	faire	AUX
votre	votre	DET
profit	profit	NOUN
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
.	.	PUNCTsent
Voyons	voir	VERB
!	!	PUNCTsent
avec	avec	ADP
votre	votre	DET
abbaye	abbaye	NOUN
de	de	DET
mille	mille	NUM
écus	écu	NOUN
et	et	CCONJ
les	le	DET
douze	douze	NUM
mille	mille	NUM
livres	livre	NOUN
que	que	SCONJ
vous	vous	PRON
vous	vous	PRON
faites	faire	AUX
en	en	ADP
vendant	vendre	NOUN
des	un	ADP_DET
sermons	sermon	NOUN
,	,	PUNCTclause
êtes	être	AUX
vous	vous	PRON
riche	riche	ADJ
?	?	PUNCTsent
répondez	répondre	VERB
franchement	franchement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Moi	moi	PRON
!	!	PUNCTsent
je	je	PRON
suis	être	AUX
gueux	gueux	ADJ
comme	comme	ADP
Job	Job	PROPN
,	,	PUNCTclause
et	et	CCONJ
en	en	ADP
fouillant	fouiller	VERB
poches	pocher	VERB
et	et	CCONJ
coffres	coffrer	VERB
,	,	PUNCTclause
je	je	PRON
crois	croire	VERB
que	que	SCONJ
vous	vous	PRON
ne	ne	ADV
trouveriez	trouver	VERB
pas	pas	ADV
ici	ici	ADV
cent	cent	NUM
pistoles	pistole	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Peste	peste	NOUN
,	,	PUNCTclause
cent	cent	NUM
pistoles	pistole	NOUN
!	!	PUNCTsent
se	se	PRON
dit	dire	VERB
tout	tout	ADJ
bas	bas	ADJ
de	de	DET
Artagnan	Artagnan	PROPN
,	,	PUNCTclause
il	il	PRON
appelle	appeler	VERB
cela	cela	PRON
être	être	AUX
gueux	gueux	ADJ
comme	comme	ADP
Job	Job	PROPN
!	!	PUNCTsent
Si	si	SCONJ
je	je	PRON
les	le:PRON	PRON
avais	avoir	AUX
toujours	toujours	ADV
devant	devoir	VERB
moi	moi	NOUN
,	,	PUNCTclause
je	je	PRON
me	me	PRON
trouverais	trouver	VERB
riche	riche	ADJ
comme	comme	ADP
Crésus	Crésus	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
,	,	PUNCTclause
tout	tout	ADJ
haut	haut	ADJ
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
êtes	être	AUX
vous	vous	PRON
ambitieux	ambitieux	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comme	comme	ADP
Encelade	Encelade	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	NOUN
bien	bien	ADV
!	!	PUNCTsent
mon	mon	DET
ami	ami	NOUN
,	,	PUNCTclause
je	je	PRON
vous	vous	PRON
apporte	apporter	VERB
de	de	DET
quoi	quoi	PRON
être	être	AUX
riche	riche	ADJ
,	,	PUNCTclause
puissant	puissant	ADJ
,	,	PUNCTclause
et	et	CCONJ
libre	libre	ADJ
de	de	DET
faire	faire	AUX
tout	tout	ADJ
ce	ce	PRON
que	que	SCONJ
vous	vous	PRON
voudrez	vouloir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
ombre	ombre	NOUN
de	de	DET
un	un	PRON
nuage	nuage	ADP
passa	passer	VERB
sur	sur	ADP
le	le	DET
front	front	NOUN
de	de	DET
Aramis	Aramis	PROPN
aussi	aussi	ADV
rapide	rapide	ADJ
que	que	SCONJ
celle	celle	PRON
qui	qui	PRON
flotte	flotter	VERB
en	en	ADP
août	août	NOUN
sur	sur	ADP
les	le	DET
blés	blé	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
si	si	ADV
rapide	rapide	ADJ
que	que	SCONJ
elle	elle	PRON
fût	être	AUX
