# columns = TERM LEMMA POS PROB
# identifier = dumas1859b-214
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CCXIV. Où M. de Valgeneuse déclare formellement qu’il ne sait ni chanter ni danser.

↵↵↵	↵↵↵	PUNCTstruct
Ccxiv	Ccxiv	PROPN
.	.	PUNCTsent
Où	où	ADV
M.	M.	PROPN
de	de	DET
Valgeneuse	Valgeneuse	PROPN
déclare	déclarer	VERB
formellement	formellement	ADV
que	que	SCONJ
il	il	PRON
ne	ne	ADV
sait	savoir	VERB
ni	ni	CCONJ
chanter	chanter	VERB
ni	ni	CCONJ
danser	danser	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
regard	regard	NOUN
de	de	DET
Jean	Jean	PROPN
Taureau	Taureau	PROPN
avait	avoir	AUX
cette	ce	DET
expression	expression	NOUN
farouche	farouche	ADJ
que	que	ADV
donne	donner	VERB
à	à	ADP
certaines	certain	DET
physionomies	physionomie	NOUN
un	un	DET
commencement	commencement	NOUN
de	de	DET
ivresse	ivresse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	NOUN
!	!	PUNCTsent
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
assez	assez	ADV
bu	bu	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
répondit	répondre	VERB
Lorédan	Lorédan	PROPN
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
ai	avoir	AUX
plus	plus	ADV
soif	soif	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Bon	bon	ADJ
!	!	PUNCTsent
comme	comme	ADP
si	si	SCONJ
l'on	on	PRON
ne	ne	ADV
buvait	boire	VERB
que	que	ADV
tant	tant	ADV
que	que	SCONJ
on	on	PRON
a	avoir	AUX
soif	soif	AUX
,	,	PUNCTclause
dit	dire	VERB
Toussaint	Toussaint	PROPN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
si	si	SCONJ
l'on	on	PRON
ne	ne	ADV
buvait	boire	AUX
jamais	jamais	ADV
que	que	ADV
tant	tant	ADV
que	que	SCONJ
on	on	PRON
a	avoir	AUX
soif	soif	AUX
,	,	PUNCTclause
dit	dire	VERB
Toussaint	Toussaint	PROPN
,	,	PUNCTclause
on	on	PRON
ne	ne	ADV
boirait	boire	VERB
jamais	jamais	ADV
que	que	ADV
une	une	NUM
ou	ou	CCONJ
deux	deux	NUM
bouteilles	bouteille	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Toussaint	Toussaint	PROPN
,	,	PUNCTclause
dit	dire	VERB
Jean	Jean	PROPN
Taureau	Taureau	PROPN
,	,	PUNCTclause
il	il	PRON
paraît	paraître	VERB
que	que	SCONJ
