# columns = TERM LEMMA POS PROB
# identifier = dumas1858c-15
# creator = Dumas, Alexandre
# created = 1858
# isPartOf = Madame de Chamblay
# title = XIV

↵↵↵	↵↵↵	PUNCTstruct
XIV	XIV	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Je	je	PRON
fis	faire	VERB
un	un	DET
tiers	tiers	NOUN
du	du	ADP_DET
chemin	chemin	NOUN
sans	sans	ADP
prononcer	prononcer	VERB
une	un	DET
seule	seul	ADJ
parole	parole	NOUN
;	;	PUNCTclause
elle	elle	PRON
non	non	ADV
plus	plus	ADV
ne	ne	ADV
parlait	parler	VERB
point	point	ADV
;	;	PUNCTclause
mais	mais	CCONJ
chacun	chacun	PRON
de	de	ADP
nous	nous	PRON
,	,	PUNCTclause
ce	ce	DET
était	être	AUX
évident	évident	ADJ
,	,	PUNCTclause
tâchait	tâcher	VERB
de	de	ADP
lire	lire	VERB
,	,	PUNCTclause
autant	autant	ADV
que	que	SCONJ
possible	possible	ADJ
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
cœur	cœur	NOUN
de	de	ADP
l'autre	l'autre	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
étiez	être	AUX
heureux	heureux	ADJ
,	,	PUNCTclause
tout	tout	PRON
à	à	ADP
l'	le	DET
heure	heure	NOUN
;	;	PUNCTclause
pourquoi	pourquoi	ADV
êtes	être	AUX
vous	vous	PRON
triste	triste	ADJ
maintenant	maintenant	ADV
?	?	PUNCTsent
me	me	PRON
demanda	demander	VERB
la	le	DET
comtesse	comte	NOUN
tout	tout	ADJ
à	à	ADP
coup	coup	NOUN
et	et	CCONJ
sans	sans	ADP
transition	transition	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
suis	être	AUX
pas	pas	ADV
triste	triste	ADJ
,	,	PUNCTclause
je	je	PRON
suis	être	AUX
seulement	seulement	ADV
rêveur	rêveur	ADJ
,	,	PUNCTclause
lui	lui	PRON
répondis	répondre	VERB
je	je	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Voulez	vouloir	VERB
vous	vous	PRON
me	me	PRON
expliquer	expliquer	VERB
cela	cela	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
bien	bien	ADV
volontiers	volontiers	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
vous	vous	PRON
écoute	écouter	VERB
,	,	PUNCTclause
dit	dire	VERB
elle	elle	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
elle	elle	PRON
ralentit	ralentir	VERB
le	le	DET
pas	pas	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
il y a	il y a	VERB
un	un	DET
an	an	NOUN
à peu près	à peu près	ADV
,	,	PUNCTclause
lui	lui	PRON
dis	dire	VERB
je	je	PRON
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
éprouvai	éprouver	VERB
une	un	DET
des	un	DET
plus	plus	ADV
profondes	profond	ADJ
douleurs	douleur	NOUN
que	que	SCONJ
l'on	on	PRON
puisse	pouvoir	VERB
éprouver	éprouver	VERB
:	:	PUNCTclause
je	je	PRON
vis	voir	VERB
mourir	mourir	VERB
ma	mon	DET
mère	mère	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Dieu	Dieu	PROPN
me	me	PRON
a	avoir	AUX
épargné	épargner	VERB
cette	ce	DET
douleur	douleur	NOUN
,	,	PUNCTclause
à	à	ADP
moi	moi	PRON
,	,	PUNCTclause
me	me	PRON
dit	dire	VERB
elle	elle	PRON
:	:	PUNCTclause
ma	mon	DET
mère	mère	NOUN
est	être	AUX
morte	mourir	VERB
en	en	ADP
me	me	PRON
donnant	donner	VERB
le	le	DET
jour	jour	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Sous	sous	ADP
le	le	DET
poids	poids	NOUN
de	de	ADP
cette	ce	DET
douleur	douleur	NOUN
,	,	PUNCTclause
je	je	PRON
crus	croire	VERB
que	que	SCONJ
il	il	PRON
ne	ne	ADV
y	y	PRON
avait	avoir	VERB
plus	plus	ADV
pour	pour	ADP
moi	moi	PRON
une	un	DET
seule	seul	ADJ
joie	joie	NOUN
au	au	ADP_DET
monde	monde	NOUN
;	;	PUNCTclause
il	il	PRON
me	me	PRON
sembla	sembler	VERB
que	que	SCONJ
la	le	DET
tombe	tombe	NOUN
de	de	ADP
ma	mon	DET
mère	mère	NOUN
se	se	PRON
était	être	AUX
ouverte	ouvrir	VERB
dans	dans	ADP
mon	mon	DET
cœur	cœur	NOUN
même	même	ADJ
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
dans	dans	ADP
cette	ce	DET
tombe	tombe	NOUN
allaient	aller	VERB
se	se	PRON
engloutir	engloutir	VERB
,	,	PUNCTclause
au fur et à mesure	au fur et à mesure	ADV
que	que	SCONJ
Dieu	Dieu	PROPN
me	me	PRON
les	le	DET
enverrait	envoyer	VERB
,	,	PUNCTclause
les	le	DET
riantes	riant	ADJ
illusions	illusion	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
.	.	PUNCTsent
Tout	tout	PRON
ce	ce	PRON
que	que	PRON
je	je	PRON
avais	avoir	AUX
de	de	ADP
larmes	larme	NOUN
dans	dans	ADP
les	le	DET
yeux	œil	NOUN
,	,	PUNCTclause
je	je	PRON
les	le:PRON	PRON
ai	avoir	AUX
versées	verser	VERB
.	.	PUNCTsent
Je	je	PRON
me	me	PRON
suis	être	AUX
nourri	nourri	ADJ
de	de	ADP
mon	mon	DET
amertume	amertume	NOUN
jusqu'à ce que	jusqu'à ce que	SCONJ
ma	mon	DET
main	main	NOUN
,	,	PUNCTclause
lassée	lasser	VERB
,	,	PUNCTclause
en	en	ADP
écartât	écarter	VERB
la	le	DET
coupe	coupe	NOUN
de	de	ADP
mes	mon	DET
lèvres	lèvre	NOUN
;	;	PUNCTclause
ce	ce	PRON
fut	être	AUX
la	le	DET
première	premier	ADJ
lassitude	lassitude	NOUN
que	que	ADV
éprouva	éprouver	VERB
ma	mon	DET
douleur	douleur	NOUN
.	.	PUNCTsent
Je	je	PRON
me	me	PRON
éloignai	éloigner	VERB
des	un	DET
objets	objet	NOUN
qui	qui	PRON
me	me	PRON
rappelaient	rappeler	VERB
la	le	DET
pauvre	pauvre	NOUN
morte	mourir	VERB
;	;	PUNCTclause
mais	mais	CCONJ
je	je	PRON
me	me	PRON
mis	mettre	VERB
à	à	ADP
la	le	DET
recherche	recherche	NOUN
de	de	ADP
paysages	paysage	NOUN
désolés	désolé	ADJ
comme	comme	ADP
mon	mon	DET
cœur	cœur	NOUN
,	,	PUNCTclause
je	je	PRON
demandai	demander	VERB
à	à	ADP
l'	le:PRON	PRON
Océan	Océan	PROPN
ses	son	DET
tempêtes	tempête	NOUN
,	,	PUNCTclause
pour	pour	ADP
les	le	DET
comparer	comparer	VERB
à	à	ADP
celles	celle	PRON
de	de	ADP
mon	mon	DET
âme	âme	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
vis	voir	VERB
des	un	DET
gouffres	gouffre	NOUN
plus	plus	ADV
profonds	profond	ADJ
,	,	PUNCTclause
des	un	DET
abîmes	abîme	NOUN
plus	plus	ADV
insondables	insondable	ADJ
dans	dans	ADP
l'	le	DET
homme	homme	NOUN
que	que	SCONJ
dans	dans	ADP
la	le	DET
mer	mer	NOUN
;	;	PUNCTclause
puis	puis	CCONJ
je	je	PRON
me	me	PRON
aperçus	apercevoir	VERB
que	que	SCONJ
ces	ce	DET
mornes	morne	ADJ
plages	plage	NOUN
lassaient	lasser	VERB
mon	mon	DET
regard	regard	NOUN
,	,	PUNCTclause
que	que	SCONJ
cet	ce	DET
Océan	Océan	PROPN
bouleversé	bouleversé	ADJ
fatiguait	fatiguer	VERB
mon	mon	DET
oreille	oreille	NOUN
;	;	PUNCTclause
je	je	PRON
revins	revenir	VERB
chercher	chercher	VERB
les	le	DET
calmes	calme	NOUN
horizons	horizon	NOUN
où	où	PRON
le	le	DET
vent	vent	NOUN
murmure	murmurer	VERB
dans	dans	ADP
le	le	DET
feuillage	feuillage	NOUN
des	un	ADP_DET
trembles	tremble	NOUN
,	,	PUNCTclause
où	où	PRON
les	le	DET
ruisseaux	ruisseau	NOUN
coulent	couler	VERB
à	à	ADP
l'	le	DET
ombre	ombre	NOUN
des	un	ADP_DET
saules	saule	NOUN
pleureurs	pleureur	ADJ
;	;	PUNCTclause
je	je	PRON
y	y	PRON
trouvai	trouver	VERB
,	,	PUNCTclause
non	non	ADV
point	point	ADV
l'	le	DET
absence	absence	NOUN
de	de	ADP
la	le	DET
tristesse	tristesse	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
