# columns = TERM LEMMA POS PROB
# identifier = sand1850-10
# creator = Sand, George
# created = 1850
# isPartOf = François le Champi
# title = VIII

↵↵↵	↵↵↵	PUNCTstruct
VIII	VIII	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quand	quand	SCONJ
ils	ils	PRON
se	se	PRON
mirent	mettre	VERB
en	en	ADP
chemin	chemin	NOUN
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
à	à	ADP
la	le	DET
brune	brun	NOUN
,	,	PUNCTclause
et	et	CCONJ
quand	quand	SCONJ
ils	ils	PRON
passèrent	passer	VERB
sur	sur	ADP
la	le	DET
pelle	pelle	NOUN
de	de	ADP
l'	le	DET
étang	étang	NOUN
de	de	ADP
Rochefolle	Rochefolle	PROPN
,	,	PUNCTclause
il	il	PRON
faisait	faire	VERB
nuit	nuit	NOUN
grande	grand	ADJ
.	.	PUNCTsent
La	le	DET
lune	lune	NOUN
ne	ne	ADV
était	être	AUX
pas	pas	ADV
encore	encore	ADV
sortie	sortir	VERB
des	un	DET
bois	bois	NOUN
,	,	PUNCTclause
et	et	CCONJ
les	le	DET
chemins	chemin	NOUN
qui	qui	PRON
sont	être	AUX
,	,	PUNCTclause
de	de	ADP
ce	ce	DET
côté	côté	NOUN
,	,	PUNCTclause
tout	tout	PRON
ravinés	raviner	VERB
par	par	ADP
les	le	DET
eaux	eau	NOUN
de	de	ADP
source	source	NOUN
,	,	PUNCTclause
ne	ne	ADV
avaient	avoir	VERB
rien	rien	PRON
de	de	ADP
bon	bon	ADJ
.	.	PUNCTsent
Et	et	CCONJ
si	si	SCONJ
,	,	PUNCTclause
français	français	ADJ
talonnait	talonner	VERB
la	le	DET
jument	jument	NOUN
et	et	CCONJ
allait	aller	VERB
vite	vite	ADV
,	,	PUNCTclause
car	car	CCONJ
il	il	PRON
se	se	PRON
ennuyait	ennuyer	VERB
tout	tout	ADV
à	à	ADP
fait	fait	NOUN
avec	avec	ADP
la	le	DET
Sévère	Sévère	PROPN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
aurait	avoir	AUX
déjà	déjà	ADV
voulu	vouloir	VERB
être	être	AUX
auprès de	auprès de	ADP
madame	madame	NOUN
Blanchet	Blanchet	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
la	le	DET
Sévère	Sévère	PROPN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
si	si	ADV
pressée	pressé	ADJ
de	de	ADP
arriver	arriver	VERB
à	à	ADP
son	son	DET
logis	logis	NOUN
,	,	PUNCTclause
se	se	PRON
mit	mettre	VERB
à	à	ADP
faire	faire	VERB
la	le	DET
dame	dame	NOUN
et	et	CCONJ
à	à	ADP
dire	dire	VERB
que	que	SCONJ
elle	elle	PRON
avait	avoir	VERB
peur	peur	NOUN
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
fallait	falloir	VERB
marcher	marcher	VERB
le	le	DET
pas	pas	NOUN
,	,	PUNCTclause
parce que	parce que	SCONJ
la	le	DET
jument	jument	NOUN
ne	ne	ADV
relevait	relever	VERB
pas	pas	ADV
bien	bien	ADV
ses	son	DET
pieds	pied	NOUN
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
risquait	risquer	VERB
de	de	ADP
se	se	PRON
abattre	abattre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Bah	bah	INTJ
!	!	PUNCTsent
dit	dire	VERB
français	français	NOUN
sans	sans	ADP
l'	le	DET
écouter	écouter	VERB
,	,	PUNCTclause
ce	ce	PRON
serait	être	AUX
donc	donc	ADV
la première fois	la première fois	ADV
que	que	SCONJ
elle	elle	PRON
prierait	prier	VERB
le	le	DET
bon Dieu	bon Dieu	INTJ
;	;	PUNCTclause
car	car	CCONJ
,	,	PUNCTclause
sans	sans	ADP
comparaison	comparaison	NOUN
du	du	ADP_DET
saint	saint	NOUN
baptême	baptême	NOUN
,	,	PUNCTclause
jamais	jamais	ADV
je	je	PRON
ne	ne	ADV
vis	voir	VERB
jument	jument	NOUN
si	si	SCONJ
peu	peu	ADV
dévote	dévot	ADJ
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tu	tu	PRON
as	avoir	VERB
de	de	ADP
l'	le	DET
esprit	esprit	NOUN
,	,	PUNCTclause
français	français	NOUN
,	,	PUNCTclause
dit	dire	VERB
la	le	DET
Sévère	Sévère	PROPN
en	en	ADP
ricanant	ricaner	VERB
,	,	PUNCTclause
comme	comme	SCONJ
si	si	SCONJ
français	français	ADJ
avait	avoir	AUX
dit	dire	VERB
quelque chose	quelque chose	PRON
de	de	ADP
bien	bien	ADV
drôle	drôle	ADJ
et	et	CCONJ
de	de	ADP
bien	bien	ADV
nouveau	nouveau	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
pas	pas	ADV
du	du	ADP_DET
tout	tout	PRON
,	,	PUNCTclause
ma	mon	DET
foi	foi	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
le	le	DET
champi	champi	NOUN
,	,	PUNCTclause
qui	qui	PRON
pensa	penser	VERB
que	que	SCONJ
elle	elle	PRON
se	se	PRON
moquait	moquer	VERB
de	de	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Allons	aller	VERB
