# columns = TERM LEMMA POS PROB
# identifier = sand1861c-07
# creator = Sand, George
# created = 1861
# isPartOf = Valvèdre
# title = VI

↵↵↵	↵↵↵	PUNCTstruct
VI	VI	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Je	je	PRON
retournai	retourner	VERB
chez	chez	ADP
les	le	DET
Obernay	Obernay	PROPN
.	.	PUNCTsent
On	on	PRON
dansait	danser	VERB
encore	encore	ADV
;	;	PUNCTclause
mais	mais	CCONJ
Alida	Alida	PROPN
,	,	PUNCTclause
secrètement	secrètement	ADV
blessée	blesser	VERB
de	de	ADP
mon	mon	DET
départ	départ	NOUN
,	,	PUNCTclause
se	se	PRON
était	être	AUX
retirée	retirer	VERB
.	.	PUNCTsent
Le	le	DET
jardin	jardin	NOUN
était	être	AUX
illuminé	illuminer	VERB
;	;	PUNCTclause
on	on	PRON
se	se	PRON
y	y	PRON
promenait	promener	VERB
par	par	ADP
groupes	groupe	NOUN
dans	dans	ADP
l'	le	DET
intervalle	intervalle	NOUN
des	un	ADP_DET
contredanses	contredanse	NOUN
et	et	CCONJ
des	un	DET
valses	valse	NOUN
.	.	PUNCTsent
Il	il	PRON
ne	ne	ADV
y	y	PRON
avait	avoir	VERB
aucun	aucun	DET
moyen	moyen	NOUN
de	de	ADP
nouer	nouer	VERB
un	un	DET
mystère	mystère	NOUN
quelconque	quelconque	ADJ
dans	dans	ADP
cette	ce	DET
fête	fête	NOUN
modeste	modeste	ADJ
,	,	PUNCTclause
pleine	plein	ADJ
de	de	ADP
bonhomie	bonhomie	NOUN
et	et	CCONJ
de	de	ADP
honnête	honnête	ADJ
abandon	abandon	NOUN
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
vis	voir	VERB
pas	pas	ADV
reparaître	reparaître	VERB
Valvèdre	Valvèdre	PROPN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
affectai	affecter	VERB
,	,	PUNCTclause
devant	devant	ADP
mademoiselle	mademoiselle	NOUN
Juste	juste	ADJ
,	,	PUNCTclause
qui	qui	PRON
tenait	tenir	VERB
bon	bon	ADJ
jusqu'à la fin	jusqu'à la fin	ADP
,	,	PUNCTclause
beaucoup de	beaucoup de	DET
gaieté	gaieté	NOUN
et	et	CCONJ
de	de	ADP
liberté	liberté	NOUN
de	de	ADP
esprit	esprit	NOUN
.	.	PUNCTsent
On	on	PRON
proposa	proposer	VERB
un	un	DET
cotillon	cotillon	NOUN
,	,	PUNCTclause
et	et	CCONJ
les	le	DET
jeunes	jeune	ADJ
filles	fille	NOUN
décidèrent	décider	VERB
que	que	SCONJ
tout le monde	tout le monde	NOUN
en	en	ADP
serait	être	VERB
.	.	PUNCTsent
je	je	PRON
allai	aller	VERB
inviter	inviter	VERB
mademoiselle	mademoiselle	NOUN
Juste	juste	ADJ
,	,	PUNCTclause
Henri	Henri	PROPN
ayant	avoir	AUX
invité	inviter	VERB
sa	son	DET
mère	mère	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Quoi	quoi	PRON
!	!	PUNCTsent
me	me	PRON
dit	dire	VERB
en	en	ADP
souriant	sourire	VERB
la	le	DET
vieille	vieux	ADJ
fille	fille	NOUN
,	,	PUNCTclause
vous	vous	PRON
voulez	vouloir	VERB
que	que	SCONJ
je	je	PRON
danse	danser	VERB
aussi	aussi	ADV
,	,	PUNCTclause
moi	moi	PRON
?	?	PUNCTsent
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
soit	soit	CCONJ
.	.	PUNCTsent
Je	je	PRON
ferai	faire	VERB
avec	avec	ADP
vous	vous	PRON
une	un	DET
fois	fois	NOUN
le	le	DET
tour	tour	NOUN
de	de	ADP
la	le	DET
salle	salle	NOUN
;	;	PUNCTclause
après	après	ADP
quoi	quoi	PRON
,	,	PUNCTclause
je	je	PRON
serai	être	AUX
libre	libre	ADJ
de	de	ADP
me	me	PRON
faire	faire	AUX
remplacer	remplacer	VERB
par	par	ADP
une	un	DET
danseuse	danseur	NOUN
dont	dont	PRON
je	je	PRON
vais	aller	VERB
me	me	PRON
assurer	assurer	VERB
de	de	ADP
avance	avance	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Je	je	PRON
ne	ne	ADV
pus	pouvoir	VERB
voir	voir	VERB
à	à	ADP
qui	qui	PRON
elle	elle	PRON
se	se	PRON
adressait	adresser	VERB
;	;	PUNCTclause
il y a	il y a	VERB
un	un	DET
peu de	peu de	DET
confusion	confusion	NOUN
pour	pour	ADP
prendre place	prendre place	VERB
.	.	PUNCTsent
Je	je	PRON
me	me	PRON
trouvai	trouver	VERB
avec	avec	ADP
elle	elle	PRON
vis-à-vis de	vis-à-vis de	ADP
M.	M.	PROPN
Obernay	Obernay	PROPN
père	père	NOUN
et	et	CCONJ
de	de	ADP
Adélaïde	Adélaïde	PROPN
.	.	PUNCTsent
Quand	quand	SCONJ
ils	ils	PRON
eurent	avoir	VERB
ouvert	ouvrir	VERB
la	le	DET
figure	figure	NOUN
,	,	PUNCTclause
les	le	DET
deux	deux	NUM
graves	grave	ADJ
personnages	personnage	NOUN
se	se	PRON
firent	faire	VERB
signe	signer	VERB
et	et	CCONJ
se	se	PRON
éclipsèrent	éclipser	VERB
.	.	PUNCTsent
Je	je	PRON
devenais	devenir	VERB
le	le	DET
cavalier	cavalier	NOUN
de	de	ADP
Adélaïde	Adélaïde	PROPN
,	,	PUNCTclause
avec	avec	ADP
laquelle	laquelle	PRON
je	je	PRON
ne	ne	ADV
avais	avoir	AUX
pas	pas	ADV
osé	oser	VERB
danser	danser	VERB
sous les yeux de	sous les yeux de	ADP
Alida	Alida	PROPN
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
me	me	PRON
tendit	tendre	VERB
sa	son	DET
belle	beau	ADJ
main	main	NOUN
avec	avec	ADP
confiance	confiance	NOUN
.	.	PUNCTsent
Elle	elle	PRON
ne	ne	ADV
y	y	PRON
entendait	entendre	VERB
certes	certes	ADV
pas	pas	ADV
malice	malice	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
mademoiselle	mademoiselle	NOUN
Juste	juste	ADJ
savait	savoir	VERB
bien	bien	ADV
ce	ce	PRON
que	que	PRON
elle	elle	PRON
faisait	faire	VERB
.	.	PUNCTsent
Elle	elle	PRON
parlait	parler	VERB
bas	bas	ADJ
au	au	ADP_DET
père	père	NOUN
Obernay	Obernay	PROPN
en	en	ADP
nous	nous	PRON
regardant	regarder	VERB
de	de	ADP
un	un	DET
air	air	NOUN
moitié	moitié	NOUN
bienveillant	bienveillant	ADJ
,	,	PUNCTclause
moitié	moitié	NOUN
railleur	railleur	ADJ
.	.	PUNCTsent
La	le	DET
figure	figure	NOUN
candide	candide	ADJ
du	du	ADP_DET
vieillard	vieillard	NOUN
semblait	sembler	VERB
lui	lui	PRON
répondre	répondre	VERB
:	:	PUNCTclause
«	«	PUNCTsent
Vous	vous	PRON
croyez	croire	VERB
?	?	PUNCTsent
Moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
en	en	PRON
sais	savoir	VERB
rien	rien	PRON
,	,	PUNCTclause
ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
impossible	impossible	ADJ
.	.	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Oui	oui	INTJ
,	,	PUNCTclause
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
su	savoir	VERB
plus tard	plus tard	ADV
,	,	PUNCTclause
ils	ils	PRON
parlaient	parler	VERB
du	du	ADP_DET
mariage	mariage	NOUN
autrefois	autrefois	ADV
vaguement	vaguement	ADV
projeté	projeter	VERB
avec	avec	ADP
mes	mon	DET
parents	parent	NOUN
.	.	PUNCTsent
Juste	juste	ADV
,	,	PUNCTclause
sans	sans	ADP
rien	rien	PRON
savoir	savoir	VERB
de	de	ADP
mon	mon	DET
amour	amour	NOUN
pour	pour	ADP
Alida	Alida	PROPN
,	,	PUNCTclause
pressentait	pressentir	VERB
quelque	quelque	DET
charme	charme	NOUN
déjà	déjà	ADV
jeté	jeter	VERB
sur	sur	ADP
moi	moi	PRON
par	par	ADP
l'	le	DET
enchanteresse	enchanteur	NOUN
,	,	PUNCTclause
et	et	CCONJ
elle	elle	PRON
se	se	PRON
efforçait	efforcer	VERB
de	de	ADP
le	le	DET
faire	faire	AUX
échouer	échouer	VERB
en	en	ADP
me	me	PRON
rapprochant	rapprocher	VERB
de	de	ADP
ma	mon	DET
fiancée	fiancé	NOUN
.	.	PUNCTsent
Ma	mon	DET
fiancée	fiancé	NOUN
!	!	PUNCTsent
cette	ce	DET
splendide	splendide	ADJ
et	et	CCONJ
parfaite	parfait	ADJ
créature	créature	NOUN
eût	avoir	AUX
pu	pouvoir	VERB
être	être	VERB
à	à	ADP
moi	moi	PRON
!	!	PUNCTsent
Et	et	CCONJ
moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
préférais	préférer	VERB
à	à	ADP
une	un	DET
vie	vie	NOUN
excellente	excellent	ADJ
et	et	CCONJ
à	à	ADP
de	de	DET
célestes	céleste	ADJ
félicités	félicité	NOUN
les	le	DET
orages	orage	NOUN
de	de	ADP
la	le	DET
passion	passion	NOUN
et	et	CCONJ
le	le	DET
désastre	désastre	NOUN
de	de	ADP
mon	mon	DET
existence	existence	NOUN
!	!	PUNCTsent
Je	je	PRON
me	me	PRON
disais	dire	VERB
cela	cela	PRON
en	en	ADP
tenant	tenir	VERB
sa	son	DET
main	main	NOUN
dans	dans	ADP
la mienne	la mienne	PRON
,	,	PUNCTclause
en	en	ADP
affrontant	affronter	VERB
les	le	DET
magnificences	magnificence	NOUN
de	de	ADP
son	son	DET
divin	divin	ADJ
sourire	sourire	NOUN
,	,	PUNCTclause
en	en	ADP
contemplant	contempler	VERB
les	le	DET
perfections	perfection	NOUN
de	de	ADP
tout	tout	PRON
son	son	DET
être	être	AUX
pudique	pudique	ADJ
et	et	CCONJ
suave	suave	ADJ
!	!	PUNCTsent
Et	et	CCONJ
je	je	PRON
étais	être	AUX
fier	fier	ADJ
de	de	ADP
moi	moi	PRON
,	,	PUNCTclause
parce que	parce que	SCONJ
elle	elle	PRON
ne	ne	ADV
éveillait	éveiller	VERB
en	en	ADP
moi	moi	PRON
aucun	aucun	DET
instinct	instinct	NOUN
,	,	PUNCTclause
aucun	aucun	DET
germe	germe	NOUN
de	de	ADP
infidélité	infidélité	NOUN
envers	envers	ADP
ma	mon	DET
dangereuse	dangereux	ADJ
et	et	CCONJ
terrible	terrible	ADJ
souveraine	souverain	NOUN
!	!	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
si	si	SCONJ
elle	elle	PRON
eût	avoir	VERB
pu	pouvoir	VERB
lire	lire	VERB
dans	dans	ADP
mon	mon	DET
âme	âme	NOUN
,	,	PUNCTclause
celle	celle	PRON
qui	qui	PRON
la	le:PRON	PRON
possédait	posséder	VERB
si	si	ADV
entièrement	entièrement	ADV
!	!	PUNCTsent
Mais	mais	CCONJ
elle	elle	PRON
y	y	PRON
lisait	lire	VERB
à	à	ADP
contresens	contresens	NOUN
,	,	PUNCTclause
et	et	CCONJ
son	son	DET
œil	œil	NOUN
irrité	irriter	VERB
me	me	PRON
condamnait	condamner	VERB
au moment de	au moment de	ADP
mon	mon	DET
plus	plus	ADV
pur	pur	ADJ
triomphe	triomphe	NOUN
sur	sur	ADP
moi-même	moi-même	PRON
;	;	PUNCTclause
car	car	CCONJ
elle	elle	PRON
était	être	AUX
là	là	ADV
,	,	PUNCTclause
cette	ce	DET
magicienne	magicien	NOUN
haletante	haletant	ADJ
et	et	CCONJ
jalouse	jaloux	ADJ
,	,	PUNCTclause
elle	elle	PRON
me	me	PRON
épiait	épier	VERB
de	de	ADP
un	un	DET
œil	œil	NOUN
troublé	troubler	VERB
par	par	ADP
la	le	DET
fièvre	fièvre	NOUN
.	.	PUNCTsent
Quelle	quel	DET
victoire	victoire	NOUN
pour	pour	ADP
Juste	Juste	PROPN
,	,	PUNCTclause
si	si	SCONJ
elle	elle	PRON
eût	avoir	AUX
pu	pouvoir	VERB
le	le	DET
deviner	deviner	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
appartement	appartement	NOUN
de	de	ADP
madame	madame	NOUN
de	de	ADP
Valvèdre	Valvèdre	PROPN
était	être	AUX
au-dessus	au-dessus	ADV
de	de	ADP
la	le	DET
