# columns = TERM LEMMA POS PROB
# identifier = dumas1846c-064
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Le Comte de Monte-Cristo
# title = LXIV. Le mendiant.

↵↵↵	↵↵↵	PUNCTstruct
Lxiv	Lxiv	PROPN
.	.	PUNCTsent
Le	le	DET
mendiant	mendiant	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
soirée	soirée	NOUN
se	se	PRON
avançait	avancer	VERB
;	;	PUNCTclause
madame	madame	NOUN
de	de	ADP
Villefort	Villefort	PROPN
avait	avoir	AUX
manifesté	manifester	VERB
le	le	DET
désir	désir	NOUN
de	de	ADP
regagner	regagner	VERB
Paris	Paris	PROPN
,	,	PUNCTclause
ce	ce	DET
que	que	SCONJ
ne	ne	ADV
avait	avoir	AUX
point	point	ADV
osé	oser	VERB
faire	faire	AUX
madame	madame	NOUN
Danglars	Danglars	PROPN
,	,	PUNCTclause
malgré	malgré	ADP
le	le	DET
malaise	malaise	NOUN
évident	évident	ADJ
que	que	SCONJ
elle	elle	PRON
éprouvait	éprouver	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Sur	sur	ADP
la	le	DET
demande	demande	NOUN
de	de	ADP
sa	son	DET
femme	femme	NOUN
,	,	PUNCTclause
M.	M.	PROPN
de	de	ADP
Villefort	Villefort	PROPN
donna	donner	VERB
donc	donc	ADV
le	le	DET
premier	premier	ADJ
le	le	DET
signal	signal	NOUN
du	du	ADP_DET
départ	départ	NOUN
.	.	PUNCTsent
Il	il	PRON
offrit	offrir	VERB
une	un	DET
place	place	NOUN
dans	dans	ADP
son	son	DET
landau	landau	NOUN
à	à	ADP
madame	madame	NOUN
Danglars	Danglars	PROPN
,	,	PUNCTclause
afin que	afin que	SCONJ
elle	elle	PRON
eût	avoir	VERB
les	le	DET
soins	soin	NOUN
de	de	ADP
sa	son	DET
femme	femme	NOUN
.	.	PUNCTsent
quant à	quant à	ADP
M.	M.	PROPN
Danglars	Danglars	PROPN
,	,	PUNCTclause
absorbé	absorber	VERB
dans	dans	ADP
une	un	DET
