# columns = TERM LEMMA POS PROB
# identifier = dumas1845b-16
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Une fille du Régent
# title = XVI. Son excellence le duc d’Olivarès.

↵↵↵	↵↵↵	PUNCTstruct
XVI	XVI	NUM
.	.	PUNCTsent
Son Excellence	Son Excellence	DET
le	le:PRON	PRON
duc	duc	ADP_DET
de	de	DET
Olivarès	Olivarès	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cependant	cependant	ADV
Dubois	Dubois	PROPN
,	,	PUNCTclause
en	en	ADP
quittant	quitter	VERB
le	le	DET
chevalier	chevalier	NOUN
,	,	PUNCTclause
admirait	admirer	VERB
,	,	PUNCTclause
comme	comme	ADP
il	il	PRON
avait	avoir	AUX
déjà	déjà	ADV
eu	avoir	VERB
si	si	ADV
souvent	souvent	ADV
l'	le	DET
occasion	occasion	NOUN
de	de	DET
le	le:PRON	PRON
faire	faire	AUX
,	,	PUNCTclause
le	le	DET
hasard	hasard	NOUN
providentiel	providentiel	ADJ
qui	qui	PRON
lui	lui	PRON
mettait	mettre	VERB
encore une fois	encore une fois	ADV
entre	entre	ADP
les	le	DET
mains	main	NOUN
tout	tout	ADJ
l'	le	DET
avenir	avenir	NOUN
du	du	ADP_DET
régent	régent	NOUN
et	et	CCONJ
de	de	DET
la	le:PRON	PRON
France	France	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
traversant	traverser	VERB
la	le	DET
salle	salle	NOUN
commune	commun	ADJ
,	,	PUNCTclause
il	il	PRON
reconnut	reconnaître	VERB
l'	le	DET
éveillé	éveillé	NOUN
,	,	PUNCTclause
qui	qui	PRON
causait	causer	VERB
avec	avec	ADP
Tapin	Tapin	PROPN
,	,	PUNCTclause
et	et	CCONJ
lui	lui	PRON
fit	faire	AUX
signe	signer	VERB
de	de	DET
le	le	NOUN
suivre	suivre	VERB
:	:	PUNCTclause
ce	ce	PRON
était	être	AUX
l'	le	DET
éveillé	éveillé	NOUN
,	,	PUNCTclause
on	on	PRON
se	se	PRON
le	le	AUX
rappelle	rappeler	VERB
,	,	PUNCTclause
qui	qui	PRON
avait	avoir	AUX
été	être	AUX
chargé	charger	VERB
de	de	DET
faire	faire	AUX
disparaître	disparaître	VERB
le	le	DET
vrai	vrai	ADJ
la	le	DET
Jonquière	Jonquière	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Arrivé	arriver	VERB
dans	dans	ADP
la	le	DET
rue	rue	NOUN
,	,	PUNCTclause
Dubois	Dubois	PROPN
se	se	PRON
informa	informer	VERB
avec	avec	ADP
intérêt	intérêt	NOUN
de	de	DET
ce	ce	PRON
que	que	SCONJ
était	être	AUX
devenu	devenir	VERB
le	le	DET
digne	digne	ADJ
capitaine	capitaine	NOUN
.	.	PUNCTsent
Dûment	dûment	ADV
garrotté	garrotter	VERB
et	et	CCONJ
bâillonné	bâillonner	VERB
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
été	être	AUX
conduit	conduire	VERB
au	au	ADP_DET
donjon	donjon	NOUN
de	de	DET
Vincennes	Vincennes	PROPN
,	,	PUNCTclause
pour	pour	ADP
ne	ne	ADV
gêner	gêner	VERB
aucune	aucun	DET
des	un	NOUN
manœuvres	manœuvrer	VERB
du	du	ADP_DET
gouvernement	gouvernement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
il y a	il y a	VERB
,	,	PUNCTclause
à	à	ADP
cette	ce	DET
époque	époque	NOUN
,	,	PUNCTclause
une	un	DET
manière	manière	NOUN
de	de	DET
système	système	NOUN
préventif	préventif	ADJ
admirablement	admirablement	VERB
commode	commode	NOUN
pour	pour	ADP
les	le	DET
ministres	ministre	NOUN
