# columns = TERM LEMMA POS PROB
# identifier = dumas1846c-073
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Le Comte de Monte-Cristo
# title = LXXIII. La promesse.

↵↵↵	↵↵↵	PUNCTstruct
Lxxiii	Lxxiii	PROPN
.	.	PUNCTsent
La	le	DET
promesse	promesse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
était	être	AUX
en effet	en effet	ADV
Morrel	Morrel	PROPN
,	,	PUNCTclause
qui	qui	PRON
depuis	depuis	ADP
la	le	DET
veille	veille	NOUN
ne	ne	ADV
vivait	vivre	VERB
plus	plus	ADV
.	.	PUNCTsent
Avec	avec	ADP
cet	ce	DET
instinct	instinct	NOUN
particulier	particulier	ADJ
aux	au	ADP_DET
amants	amant	NOUN
et	et	CCONJ
aux	au	ADP_DET
mères	mère	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
deviné	deviner	VERB
que	que	SCONJ
il	il	PRON
allait	aller	VERB
,	,	PUNCTclause
à la suite de	à la suite de	ADP
ce	ce	DET
retour	retour	NOUN
de	de	ADP
madame	madame	NOUN
de	de	ADP
Saint-Méran	Saint-Méran	PROPN
et	et	CCONJ
de	de	ADP
la	le	DET
mort	mort	NOUN
du	du	ADP_DET
marquis	marquis	NOUN
,	,	PUNCTclause
se	se	PRON
passer	passer	VERB
quelque chose	quelque chose	PRON
chez	chez	ADP
Villefort	Villefort	PROPN
qui	qui	PRON
intéresserait	intéresser	VERB
son	son	DET
amour	amour	NOUN
pour	pour	ADP
Valentine	Valentine	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Comme	comme	ADP
on	on	PRON
va	aller	VERB
le	le:PRON	PRON
voir	voir	VERB
,	,	PUNCTclause
ses	son	DET
pressentiments	pressentiment	NOUN
se	se	PRON
étaient	être	AUX
réalisés	réaliser	VERB
,	,	PUNCTclause
et	et	CCONJ
ce	ce	PRON
ne	ne	ADV
était	être	AUX
plus	plus	ADV
une	un	DET
simple	simple	ADJ
inquiétude	inquiétude	NOUN
qui	qui	PRON
le	le:PRON	PRON
conduisait	conduire	VERB
si	si	SCONJ
effaré	effarer	VERB
et	et	CCONJ
si	si	SCONJ
tremblant	trembler	VERB
à	à	ADP
la	le	DET
grille	grille	NOUN
des	un	ADP_DET
marronniers	marronnier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
Valentine	Valentine	PROPN
ne	ne	ADV
était	être	AUX
pas	pas	ADV
prévenue	prévenir	VERB
de	de	ADP
l'	le	DET
attente	attente	NOUN
de	de	ADP
Morrel	Morrel	PROPN
,	,	PUNCTclause
ce	ce	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
l'	le	DET
heure	heure	NOUN
où	où	PRON
il	il	PRON
venait	venir	VERB
ordinairement	ordinairement	ADV
,	,	PUNCTclause
et	et	CCONJ
ce	ce	PRON
fut	être	AUX
un	un	DET
pur	pur	ADJ
hasard	hasard	NOUN
ou	ou	CCONJ
,	,	PUNCTclause
si	si	SCONJ
l'on	on	PRON
aime	aimer	VERB
mieux	mieux	ADV
une	un	DET
heureuse	heureux	NOUN
sympathie	sympathie	NOUN
qui	qui	PRON
la	le:PRON	PRON
conduisit	conduire	VERB
au	au	ADP_DET
jardin	jardin	NOUN
.	.	PUNCTsent
Quand	quand	SCONJ
elle	elle	PRON
parut	paraître	VERB
,	,	PUNCTclause
Morrel	Morrel	PROPN
l'	le:PRON	PRON
appela	appeler	VERB
;	;	PUNCTclause
elle	elle	PRON
courut	courir	VERB
à	à	ADP
la	le	DET
grille	grille	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Vous	vous	PRON
,	,	PUNCTclause
à	à	ADP
cette	ce	DET
heure	heure	NOUN
!	!	PUNCTsent
dit	dire	VERB
elle	elle	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
pauvre	pauvre	ADJ
amie	ami	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
Morrel	Morrel	PROPN
,	,	PUNCTclause
je	je	PRON
viens	venir	VERB
chercher	chercher	VERB
et	et	CCONJ
apporter	apporter	VERB
de	de	ADP
mauvaises	mauvais	ADJ
nouvelles	nouvelle	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
donc	donc	ADV
la	le	DET
maison	maison	NOUN
du	du	ADP_DET
malheur	malheur	NOUN
,	,	PUNCTclause
dit	dire	VERB
Valentine	Valentine	PROPN
.	.	PUNCTsent
Parlez	parler	VERB
,	,	PUNCTclause
Maximilien	Maximilien	PROPN
.	.	PUNCTsent
Mais	mais	CCONJ
,	,	PUNCTclause
en vérité	en vérité	ADV
,	,	PUNCTclause
la	le	DET
somme	somme	NOUN
de	de	ADP
douleurs	douleur	NOUN
est	être	AUX
déjà	déjà	ADV
bien	bien	ADV
suffisante	suffisant	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Chère	chère	NOUN
Valentine	Valentine	PROPN
,	,	PUNCTclause
dit	dire	VERB
Morrel	Morrel	PROPN
,	,	PUNCTclause
essayant	essayer	VERB
de	de	ADP
se	se	PRON
remettre	remettre	VERB
de	de	ADP
sa	son	DET
propre	propre	ADJ
émotion	émotion	NOUN
pour	pour	ADP
parler	parler	VERB
convenablement	convenablement	ADV
,	,	PUNCTclause
écoutez	écouter	VERB
moi	moi	PRON
bien	bien	ADV
,	,	PUNCTclause
je	je	PRON
vous	vous	PRON
prie	prier	VERB
;	;	PUNCTclause
car	car	CCONJ
tout	tout	ADJ
ce	ce	PRON
que	que	PRON
je	je	PRON
vais	aller	VERB
vous	vous	PRON
dire	dire	VERB
est	être	AUX
solennel	solennel	ADJ
.	.	PUNCTsent
À	à	ADP
quelle	quel	DET
époque	époque	NOUN
compte	compter	VERB
on	on	PRON
vous	vous	PRON
marier	marier	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Écoutez	écouter	VERB
,	,	PUNCTclause
dit	dire	VERB
à	à	ADP
son	son	DET
tour	tour	NOUN
Valentine	Valentine	PROPN
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
veux	vouloir	VERB
rien	rien	PRON
vous	vous	PRON
cacher	cacher	VERB
,	,	PUNCTclause
Maximilien	Maximilien	PROPN
.	.	PUNCTsent
Ce	ce	PRON
matin	matin	NOUN
on	on	PRON
a	avoir	AUX
parlé	parler	VERB
de	de	ADP
mon	mon	DET
mariage	mariage	NOUN
,	,	PUNCTclause
et	et	CCONJ
ma	mon	DET
grand-mère	grand-mère	NOUN
,	,	PUNCTclause
sur	sur	ADP
laquelle	laquelle	PRON
je	je	PRON
avais	avoir	AUX
compté	compter	VERB
comme	comme	SCONJ
sur	sur	ADP
un	un	DET
appui	appui	NOUN
qui	qui	PRON
ne	ne	ADV
manquerait	manquer	VERB
pas	pas	ADV
,	,	PUNCTclause
non seulement	non seulement	ADV
se	se	PRON
est	être	AUX
déclarée	déclarer	VERB
pour	pour	ADP
ce	ce	DET
mariage	mariage	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
encore	encore	ADV
le	le	DET
désire	désirer	VERB
à	à	ADP
tel	tel	DET
point	point	NOUN
que	que	SCONJ
le	le	DET
retour	retour	NOUN
seul	seul	ADJ
de	de	ADP
M.	M.	PROPN
de	de	ADP
Épinay	Épinay	PROPN
le	le	DET
retarde	retarder	VERB
et	et	CCONJ
que	que	SCONJ
le	le	DET
lendemain	lendemain	NOUN
de	de	ADP
son	son	DET
arrivée	arrivée	NOUN
le	le	DET
contrat	contrat	NOUN
sera	être	AUX
signé	signer	VERB
.	.	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Un	un	DET
pénible	pénible	ADJ
soupir	soupir	NOUN
ouvrit	ouvrir	VERB
la	le	DET
poitrine	poitrine	NOUN
du	du	ADP_DET
jeune	jeune	ADJ
homme	homme	NOUN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
regarda	regarder	VERB
longuement	longuement	ADV
et	et	CCONJ
tristement	tristement	ADV
la	le	DET
jeune	jeune	ADJ
fille	fille	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Hélas	hélas	INTJ
!	!	PUNCTsent
reprit	reprendre	VERB
il	il	PRON
à voix basse	à voix basse	ADV
,	,	PUNCTclause
il	il	PRON
est	être	AUX
affreux	affreux	ADJ
de	de	ADP
entendre	entendre	VERB
dire	dire	VERB
tranquillement	tranquillement	ADV
par	par	ADP
la	le	DET
femme	femme	NOUN
que	que	PRON
on	on	PRON
aime	aimer	VERB
:	:	PUNCTclause
«	«	PUNCTsent
Le	le	DET
moment	moment	NOUN
de	de	ADP
votre	votre	DET
supplice	supplice	NOUN
est	être	AUX
fixé	fixer	VERB
:	:	PUNCTclause
ce	ce	PRON
est	être	AUX
dans	dans	ADP
quelques	quelque	DET
heures	heure	NOUN
que	que	SCONJ
il	il	PRON
aura	avoir	VERB
lieu	lieu	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
n'importe	n'importe	ADV
,	,	PUNCTclause
il	il	PRON
faut	falloir	VERB
que	que	SCONJ
cela	cela	PRON
soit	être	AUX
ainsi	ainsi	ADV
,	,	PUNCTclause
et	et	CCONJ
de	de	ADP
ma	mon	DET
part	part	NOUN
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
y	y	PRON
apporterai	apporter	VERB
aucune	aucun	DET
opposition	opposition	NOUN
.	.	PUNCTsent
»	»	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
puisque	puisque	SCONJ
,	,	PUNCTclause
dites	dire	VERB
vous	vous	PRON
,	,	PUNCTclause
on	on	PRON
ne	ne	ADV
attend	attendre	VERB
plus	plus	ADV
que	que	SCONJ
M.	M.	PROPN
de	de	ADP
Épinay	Épinay	PROPN
pour	pour	ADP
signer	signer	VERB
le	le	DET
contrat	contrat	NOUN
,	,	PUNCTclause
puisque	puisque	SCONJ
vous	vous	PRON
serez	être	AUX
à	à	ADP
lui	lui	PRON
le	le	DET
lendemain	lendemain	NOUN
de	de	ADP
son	son	DET
arrivée	arrivée	NOUN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
demain	demain	ADV
que	que	SCONJ
vous	vous	PRON
serez	être	AUX
engagée	engager	VERB
à	à	ADP
M.	M.	PROPN
de	de	ADP
Épinay	Épinay	PROPN
,	,	PUNCTclause
car	car	CCONJ
il	il	PRON
est	être	AUX
arrivé	arriver	VERB
à	à	ADP
Paris	Paris	PROPN
ce	ce	DET
matin	matin	NOUN
.	.	PUNCTsent
