# columns = TERM LEMMA POS PROB
# identifier = sand1843a-11
# creator = Sand, George
# created = 1843
# isPartOf = La Comtesse de Rudolstadt
# title = XI

↵↵↵	↵↵↵	PUNCTstruct
XI	XI	NUM
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Consuelo	Consuelo	PROPN
se	se	PRON
souvint	souvenir	VERB
que	que	ADV
madame	madame	NOUN
de	de	ADP
Kleist	Kleist	PROPN
,	,	PUNCTclause
pour	pour	ADP
mieux	mieux	ADV
dissimuler	dissimuler	VERB
ses	son	DET
fréquentes	fréquent	ADJ
visites	visite	NOUN
secrètes	secret	ADJ
à	à	ADP
la	le	DET
princesse	prince	NOUN
Amélie	Amélie	PROPN
,	,	PUNCTclause
venait	venir	VERB
souvent	souvent	ADV
à	à	ADP
pied	pied	NOUN
le	le	DET
soir	soir	NOUN
au	au	ADP_DET
château	château	NOUN
,	,	PUNCTclause
la	le	DET
tête	tête	NOUN
enveloppée	envelopper	VERB
de	de	ADP
une	un	DET
épaisse	épais	ADJ
coiffe	coiffe	NOUN
noire	noir	ADJ
,	,	PUNCTclause
la	le	DET
taille	taille	NOUN
de	de	ADP
une	un	DET
mante	mante	NOUN
de	de	ADP
couleur	couleur	NOUN
sombre	sombre	ADJ
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
bras	bras	NOUN
appuyé	appuyer	VERB
sur	sur	ADP
celui	celui	PRON
de	de	ADP
son	son	DET
domestique	domestique	NOUN
.	.	PUNCTsent
De	de	ADP
cette	ce	DET
façon	façon	NOUN
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
était	être	AUX
point	point	ADV
remarquée	remarquer	VERB
des	un	ADP_DET
gens	gens	NOUN
du	du	ADP_DET
château	château	NOUN
,	,	PUNCTclause
et	et	CCONJ
pouvait	pouvoir	VERB
passer	passer	VERB
pour	pour	ADP
une	un	PRON
de	de	ADP
ces	ce	DET
personnes	personne	NOUN
dans	dans	ADP
la	le	DET
détresse	détresse	NOUN
qui	qui	PRON
se	se	PRON
cachent	cacher	VERB
de	de	ADP
mendier	mendier	VERB
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
reçoivent	recevoir	VERB
ainsi	ainsi	ADV
quelques	quelque	DET
secours	secours	NOUN
de	de	ADP
la	le	DET
libéralité	libéralité	NOUN
des	un	ADP_DET
princes	prince	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
malgré	malgré	ADP
toutes	tout	ADJ
les	le	DET
précautions	précaution	NOUN
de	de	ADP
la	le	DET
confidente	confident	NOUN
et	et	CCONJ
de	de	ADP
sa	son	DET
maîtresse	maître	NOUN
,	,	PUNCTclause
leur	leur	DET
secret	secret	NOUN
était	être	AUX
un	un	DET
peu	peu	ADV
celui	celui	PRON
de	de	ADP
la	le	DET
comédie	comédie	NOUN
;	;	PUNCTclause
et	et	CCONJ
si	si	SCONJ
le	le	DET
roi	roi	NOUN
ne	ne	ADV
en	en	PRON
prenait	prendre	VERB
pas	pas	ADV
de	de	ADP
ombrage	ombrage	NOUN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
que	que	SCONJ
il	il	PRON
est	être	AUX
de	de	ADP
petits	petit	ADJ
scandales	scandale	NOUN
que	que	SCONJ
il	il	PRON
vaut	valoir	VERB
mieux	mieux	ADV
tolérer	tolérer	VERB
que	que	SCONJ
ébruiter	ébruiter	VERB
en	en	ADP
les	le	DET
combattant	combattant	NOUN
.	.	PUNCTsent
Il	il	PRON
savait	savoir	VERB
bien que	bien que	SCONJ
ces	ce	DET
deux	deux	NUM
dames	dame	NOUN
se	se	PRON
occupaient	occuper	VERB
ensemble	ensemble	ADV
de	de	ADP
Trenck	Trenck	PROPN
plus	plus	ADV
que	que	SCONJ
de	de	ADP
magie	magie	NOUN
;	;	PUNCTclause
et	et	CCONJ
bien que	bien que	SCONJ
il	il	PRON
condamnât	condamner	VERB
presque	presque	ADV
également	également	ADV
ces	ce	DET
deux	deux	NUM
sujets	sujet	NOUN
de	de	ADP
entretien	entretien	NOUN
,	,	PUNCTclause
il	il	PRON
fermait	fermer	VERB
les	le	DET
yeux	œil	NOUN
et	et	CCONJ
savait	savoir	VERB
gré	gré	NOUN
intérieurement	intérieurement	ADV
à	à	ADP
sa	son	DET
sœur	sœur	NOUN
de	de	ADP
y	y	PRON
porter	porter	VERB
une	un	DET
affectation	affectation	NOUN
de	de	ADP
mystère	mystère	NOUN
qui	qui	PRON
mettait	mettre	VERB
sa	son	DET
responsabilité	responsabilité	NOUN
à	à	ADP
couvert	couvrir	VERB
aux yeux de	aux yeux de	ADP
certaines	certain	DET
gens	gens	NOUN
.	.	PUNCTsent
Il	il	PRON
voulait	vouloir	VERB
bien	bien	ADV
feindre	feindre	VERB
de	de	ADP
être	être	AUX
trompé	tromper	VERB
;	;	PUNCTclause
il	il	PRON
ne	ne	ADV
voulait	vouloir	VERB
pas	pas	ADV
avoir l'air	avoir l'air	VERB
de	de	ADP
approuver	approuver	VERB
l'	le	DET
amour	amour	NOUN
et	et	CCONJ
les	le	DET
folies	folie	NOUN
de	de	ADP
sa	son	DET
sœur	sœur	NOUN
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
donc	donc	ADV
sur	sur	ADP
le	le	DET
malheureux	malheureux	ADJ
Trenck	Trenck	PROPN
que	que	SCONJ
sa	son	DET
sévérité	sévérité	NOUN
se	se	PRON
était	être	AUX
appesantie	appesantir	VERB
,	,	PUNCTclause
et	et	CCONJ
encore	encore	ADV
avait	avoir	VERB
il	il	PRON
fallu	falloir	VERB
l'	le	DET
accuser	accuser	VERB
de	de	ADP
crimes	crime	NOUN
imaginaires	imaginaire	ADJ
pour que	pour que	SCONJ
le	le	DET
public	public	NOUN
ne	ne	ADV
pressentît	pressentir	VERB
pas	pas	ADV
les	le	DET
véritables	véritable	ADJ
motifs	motif	NOUN
de	de	ADP
sa	son	DET
disgrâce	disgrâce	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
Porporina	Porporina	PROPN
,	,	PUNCTclause
pensant	penser	VERB
que	que	SCONJ
le	le	DET
serviteur	serviteur	NOUN
de	de	ADP
madame	madame	NOUN
de	de	ADP
Kleist	Kleist	PROPN
devait	devoir	VERB
aider	aider	VERB
à	à	ADP
son	son	DET
incognito	incognito	NOUN
,	,	PUNCTclause
en	en	ADP
lui	lui	PRON
donnant	donner	VERB
le	le	DET
