# columns = TERM LEMMA POS PROB
# identifier = sand1858-32
# creator = Sand, George
# created = 1858
# isPartOf = Les beaux messieurs de Bois-Doré
# title = XXXII

↵↵↵	↵↵↵	PUNCTstruct
XXXII	XXXII	X
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Guillaume	Guillaume	PROPN
fut	être	AUX
fortement	fortement	ADV
ébranlé	ébranler	VERB
;	;	PUNCTclause
mais	mais	CCONJ
de	de	DET
Alvimar	Alvimar	PROPN
réfléchissait	réfléchir	VERB
vite	vite	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
lune	lune	NOUN
,	,	PUNCTclause
eût	avoir	NOUN
elle	elle	PRON
éclairé	éclairer	VERB
beaucoup	beaucoup	ADV
,	,	PUNCTclause
ne	ne	ADV
eût	avoir	VERB
pas	pas	ADV
encore	encore	ADV
permis	permettre	VERB
de	de	DET
voir	voir	AUX
les	le	DET
petits	petit	ADJ
caractères	caractère	NOUN
et	et	CCONJ
les	le	DET
écussons	écusson	NOUN
microscopiques	microscopique	ADJ
cachés	cacher	VERB
dans	dans	ADP
une	un	DET
bague	bague	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
dans	dans	ADP
ce	ce	DET
temps	temps	NOUN
,	,	PUNCTclause
on	on	PRON
ne	ne	ADV
avait	avoir	AUX
pas	pas	ADV
,	,	PUNCTclause
comme	comme	ADP
aujourd'hui	aujourd'hui	ADV
,	,	PUNCTclause
du	du	ADP_DET
feu	feu	NOUN
tout	tout	ADJ
prêt	prêt	ADJ
dans	dans	ADP
sa	son	DET
poche	poche	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
fallait	falloir	VERB
donc	donc	ADV
nécessairement	nécessairement	ADV
remettre	remettre	VERB
à	à	ADP
un	un	DET
autre	autre	ADJ
moment	moment	NOUN
l'	le	DET
examen	examen	NOUN
de	de	DET
cette	ce	NOUN
preuve	preuve	NOUN
.	.	PUNCTsent
Il	il	PRON
ne	ne	ADV
se	se	PRON
agissait	agir	VERB
pas	pas	ADV
,	,	PUNCTclause
pour	pour	ADP
le	le	DET
criminel	criminel	NOUN
,	,	PUNCTclause
de	de	DET
éviter	éviter	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
au contraire	au contraire	ADV
,	,	PUNCTclause
de	de	DET
chercher	chercher	NOUN
un	un	DET
duel	duel	NOUN
.	.	PUNCTsent
Ce	ce	PRON
que	que	SCONJ
il	il	PRON
redoutait	redouter	VERB
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
que	que	SCONJ
on	on	PRON
ne	ne	ADV
lui	lui	PRON
refusât	refuser	VERB
l'	le	DET
honneur	honneur	NOUN
de	de	DET
cette	ce	NOUN
chance	chance	NOUN
de	de	DET
salut	salut	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
on	on	PRON
ne	ne	ADV
le	le:PRON	PRON
fît	faire	AUX
prisonnier	prisonnier	NOUN
du	du	ADP_DET
marquis	marquis	NOUN
ou	ou	CCONJ
de	de	DET
la	le:PRON	PRON
prévôté	prévôté	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
attira	attirer	VERB
précipitamment	précipitamment	ADV
Guillaume	Guillaume	PROPN
à part	à part	ADP
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
se	se	PRON
mettant	mettre	VERB
à	à	ADP
rire	rire	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
suis	être	AUX
pris	prendre	VERB
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
.	.	PUNCTsent
je	je	PRON
ai	avoir	AUX
voulu	vouloir	VERB
être	être	AUX
complaisant	complaire	VERB
comme	comme	ADP
vous	vous	PRON
l'	le	DET
exigiez	exiger	VERB
,	,	PUNCTclause
pour	pour	ADP
en	en	PRON
finir	finir	VERB
et	et	CCONJ
vous	vous	PRON
débarrasser	débarrasser	VERB
de	de	DET
ce	ce	PRON
vieux	vieux	ADJ
lunatique	lunatique	ADJ
.	.	PUNCTsent
je	je	PRON
ai	avoir	AUX
dit	dire	VERB
tout	tout	ADJ
ce	ce	PRON
que	que	SCONJ
il	il	PRON
a	avoir	AUX
voulu	vouloir	VERB
me	me	PRON
faire	faire	AUX
dire	dire	VERB
,	,	PUNCTclause
et	et	CCONJ
maintenant	maintenant	ADV
sa	son	DET
fantaisie	fantaisie	NOUN
prend	prendre	VERB
un	un	DET
autre	autre	ADJ
vol	vol	NOUN
,	,	PUNCTclause
où	où	ADV
je	je	PRON
ne	ne	ADV
puis	puis	CCONJ
la	le	DET
suivre	suivre	NOUN
.	.	PUNCTsent
Tout	tout	ADJ
ceci	ceci	PRON
est	être	AUX
de	de	DET
ma	mon	NOUN
faute	faute	ADV
;	;	PUNCTclause
je	je	PRON
aurais	avoir	AUX
dû	devoir	VERB
vous	vous	PRON
raconter	raconter	VERB
,	,	PUNCTclause
en	en	ADP
sortant	sortir	VERB
de	de	DET
chez	chez	NOUN
lui	lui	PRON
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
était	être	AUX
depuis	depuis	ADP
deux	deux	NUM
jours	jour	NOUN
en	en	ADP
démence	démence	NOUN
,	,	PUNCTclause
à	à	ADP
preuve	preuve	NOUN
que	que	SCONJ
il	il	PRON
a	avoir	AUX
été	être	AUX
hier	hier	ADV
,	,	PUNCTclause
on	on	PRON
pourra	pouvoir	VERB
vous	vous	PRON
le	le:PRON	PRON
dire	dire	VERB
,	,	PUNCTclause
demander	demander	VERB
la	le	DET
main	main	NOUN
de	de	DET
madame	madame	NOUN
de	de	DET
Beuvre	Beuvre	PROPN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
,	,	PUNCTclause
tout	tout	ADJ
aujourd'hui	aujourd'hui	ADV
,	,	PUNCTclause
il	il	PRON
a	avoir	AUX
fait	faire	AUX
sur	sur	ADP
la	le	DET
mort	mort	NOUN
de	de	DET
son	son	NOUN
frère	frère	ADJ
les	le	DET
plus	plus	ADV
étranges	étrange	ADJ
