# columns = TERM LEMMA POS PROB
# identifier = balzac1829FC58-02
# creator = Balzac, Honoré de
# created = 1829
# modified = 1846
# isPartOf = Les Chouans ou La Bretagne en 1799. Études de mœurs. Scènes de la vie militaire
# title = Chapitre II.  Une idée de Fouché

↵↵↵	↵↵↵	PUNCTstruct
Chapitre	chapitre	NOUN
II	II	NUM
Une	un	DET
idée	idée	NOUN
de	de	ADP
Fouché	Fouché	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Vers	vers	ADP
les	le	DET
derniers	dernier	ADJ
jours	jour	NOUN
du	du	ADP_DET
mois	mois	NOUN
de	de	ADP
brumaire	brumaire	NOUN
,	,	PUNCTclause
au moment où	au moment où	ADP
,	,	PUNCTclause
pendant	pendant	ADP
la	le	DET
matinée	matinée	NOUN
,	,	PUNCTclause
Hulot	Hulot	PROPN
faisait	faire	VERB
manœuvrer	manœuvrer	VERB
sa	son	DET
demi-brigade	demi-brigade	NOUN
,	,	PUNCTclause
entièrement	entièrement	ADV
concentrée	concentrer	VERB
à	à	ADP
Mayenne	Mayenne	PROPN
par	par	ADP
des	un	DET
ordres	ordre	NOUN
supérieurs	supérieur	ADJ
,	,	PUNCTclause
un	un	DET
exprès	exprès	ADJ
venu	venir	VERB
de	de	ADP
Alençon	Alençon	PROPN
lui	lui	PRON
remit	remettre	VERB
des	un	DET
dépêches	dépêche	NOUN
pendant	pendant	ADP
la	le	DET
lecture	lecture	NOUN
desquelles	desquelles	PRON
une	un	DET
assez	assez	ADV
forte	fort	ADJ
contrariété	contrariété	NOUN
se	se	PRON
peignit	peindre	VERB
sur	sur	ADP
sa	son	DET
figure	figure	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Allons	aller	VERB
,	,	PUNCTclause
en	en	ADP
avant	avant	NOUN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
il	il	PRON
avec	avec	ADP
humeur	humeur	NOUN
en	en	ADP
serrant	serrer	VERB
les	le	DET
papiers	papier	NOUN
au	au	ADP_DET
fond	fond	NOUN
de	de	ADP
son	son	DET
chapeau	chapeau	NOUN
.	.	PUNCTsent
Deux	Deux	NUM
compagnies	compagnie	NOUN
vont	aller	VERB
se	se	PRON
mettre	mettre	VERB
en	en	ADP
marche	marche	NOUN
avec	avec	ADP
moi	moi	PRON
et	et	CCONJ
se	se	PRON
diriger	diriger	VERB
sur	sur	ADP
Mortagne	Mortagne	PROPN
.	.	PUNCTsent
Les	le	DET
Chouans	Chouans	PROPN
y	y	PRON
sont	être	AUX
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
me	me	PRON
accompagnerez	accompagner	VERB
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
à	à	ADP
Merle	Merle	PROPN
et	et	CCONJ
à	à	ADP
Gérard	Gérard	PROPN
.	.	PUNCTsent
Si	si	SCONJ
je	je	PRON
comprends	comprendre	VERB
un	un	DET
mot	mot	NOUN
à	à	ADP
ma	mon	DET
dépêche	dépêche	NOUN
,	,	PUNCTclause
je	je	PRON
veux	vouloir	VERB
être	être	AUX
fait	faire	VERB
noble	noble	NOUN
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
suis	être	AUX
peut-être	peut-être	ADV
que	que	SCONJ
une	un	DET
bête	bête	NOUN
,	,	PUNCTclause
n'importe	n'importe	NOUN
,	,	PUNCTclause
en	en	ADP
avant	avant	NOUN
!	!	PUNCTsent
Il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	VERB
pas	pas	ADV
de	de	ADP
temps à perdre	temps à perdre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mon	mon	DET
commandant	commandant	NOUN
,	,	PUNCTclause
que	que	SCONJ
y	y	PRON
a	avoir	VERB
il	il	PRON
donc	donc	ADV
de	de	ADP
si	si	ADV
barbare	barbare	NOUN
dans	dans	ADP
cette	ce	DET
carnassière	carnassier	NOUN
!	!	PUNCTsent
dit	dire	VERB
Merle	Merle	PROPN
en	en	ADP
montrant	montrer	VERB
du	du	ADP_DET
bout	bout	NOUN
de	de	ADP
sa	son	DET
botte	botte	NOUN
l'	le	DET
enveloppe	enveloppe	NOUN
ministérielle	ministériel	ADJ
de	de	ADP
la	le	DET
dépêche	dépêche	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tonnerre	tonnerre	NOUN
de	de	ADP
Dieu	Dieu	PROPN
!	!	PUNCTsent
il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	VERB
rien	rien	PRON
si	si	SCONJ
ce	ce	PRON
ne	ne	ADV
est	être	AUX
que	que	SCONJ
on	on	PRON
nous	nous	PRON
embête	embêter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorsque	lorsque	SCONJ
le	le	DET
commandant	commandant	NOUN
laissait	laisser	VERB
échapper	échapper	VERB
cette	ce	DET
expression	expression	NOUN
militaire	militaire	ADJ
,	,	PUNCTclause
déjà	déjà	ADV
l'	le	DET
objet	objet	NOUN
de	de	ADP
une	un	DET
réserve	réserve	NOUN
,	,	PUNCTclause
elle	elle	PRON
annonçait	annoncer	VERB
toujours	toujours	ADV
quelque	quelque	DET
tempête	tempête	NOUN
.	.	PUNCTsent
Les	le	DET
diverses	divers	ADJ
intonations	intonation	NOUN
de	de	ADP
cette	ce	DET
phrase	phrase	NOUN
formaient	former	VERB
des	un	DET
espèces	espèce	NOUN
de	de	ADP
degrés	degré	NOUN
qui	qui	PRON
,	,	PUNCTclause
pour	pour	ADP
la	le	DET
demi-brigade	demi-brigade	NOUN
,	,	PUNCTclause
étaient	être	AUX
un	un	DET
sûr	sûr	ADJ
thermomètre	thermomètre	NOUN
de	de	ADP
la	le	DET
patience	patience	NOUN
du	du	ADP_DET
chef	chef	NOUN
;	;	PUNCTclause
et	et	CCONJ
la	le	DET
franchise	franchise	NOUN
de	de	ADP
ce	ce	DET
vieux	vieux	ADJ
soldat	soldat	NOUN
en	en	ADP
avait	avoir	AUX
rendu	rendre	VERB
la	le	DET
connaissance	connaissance	NOUN
si	si	ADV
facile	facile	ADJ
,	,	PUNCTclause
que	que	PRON
le	le	DET
plus	plus	ADV
méchant	méchant	ADJ
tambour	tambour	NOUN
savait	savoir	VERB
bientôt	bientôt	ADV
son	son	DET
Hulot	Hulot	PROPN
par	par	ADP
cœur	cœur	NOUN
,	,	PUNCTclause
en	en	ADP
observant	observer	VERB
les	le	DET
variations	variation	NOUN
de	de	ADP
la	le	DET
petite	petit	ADJ
grimace	grimace	NOUN
par	par	ADP
laquelle	laquelle	PRON
le	le	DET
commandant	commandant	NOUN
retroussait	retrousser	VERB
sa	son	DET
joue	joue	NOUN
et	et	CCONJ
clignait	cligner	VERB
les	le	DET
yeux	œil	NOUN
.	.	PUNCTsent
cette fois ci	cette fois ci	PRON
,	,	PUNCTclause
le	le	DET
ton	ton	NOUN
de	de	ADP
la	le	DET
sourde	sourd	ADJ
colère	colère	NOUN
par	par	ADP
lequel	lequel	PRON
il	il	PRON
accompagna	accompagner	VERB
ce	ce	DET
mot	mot	NOUN
rendit	rendre	VERB
les	le	DET
deux	deux	NUM
amis	ami	NOUN
silencieux	silencieux	ADJ
et	et	CCONJ
circonspects	circonspect	ADJ
.	.	PUNCTsent
Les	le	DET
marques	marque	NOUN
même	même	ADJ
de	de	ADP
petite	petit	ADJ
vérole	vérole	NOUN
qui	qui	PRON
sillonnaient	sillonner	VERB
ce	ce	DET
visage	visage	NOUN
guerrier	guerrier	ADJ
parurent	paraître	VERB
plus	plus	ADV
profondes	profond	ADJ
et	et	CCONJ
le	le	DET
teint	teint	NOUN
plus	plus	ADV
brun	brun	ADJ
que	que	SCONJ
de	de	ADP
coutume	coutume	NOUN
.	.	PUNCTsent
Sa	son	DET
large	large	ADJ
queue	queue	NOUN
bordée	border	VERB
de	de	ADP
tresses	tresse	NOUN
étant	être	AUX
revenue	revenir	VERB
sur	sur	ADP
une	un	DET
des	un	ADP_DET
épaulettes	épaulette	NOUN
quand	quand	SCONJ
il	il	PRON
remit	remettre	VERB
son	son	DET
chapeau	chapeau	NOUN
à	à	ADP
trois	trois	NUM
cornes	corne	NOUN
,	,	PUNCTclause
Hulot	Hulot	PROPN
la	le:PRON	PRON
rejeta	rejeter	VERB
avec	avec	ADP
tant de	tant de	DET
fureur	fureur	NOUN
que	que	SCONJ
les	le	DET
cadenettes	cadenette	NOUN
en	en	ADP
furent	être	AUX
dérangées	déranger	VERB
.	.	PUNCTsent
Cependant	cependant	ADV
comme	comme	ADP
il	il	PRON
restait	rester	VERB
immobile	immobile	ADJ
,	,	PUNCTclause
les	le	DET
poings	poing	NOUN
fermés	fermer	VERB
,	,	PUNCTclause
les	le	DET
bras	bras	NOUN
croisés	croiser	VERB
avec	avec	ADP
force	force	NOUN
sur	sur	ADP
la	le	DET
poitrine	poitrine	NOUN
,	,	PUNCTclause
la	le	DET
moustache	moustache	NOUN
hérissée	hérisser	VERB
,	,	PUNCTclause
Gérard	Gérard	PROPN
se	se	PRON
hasarda	hasarder	VERB
à	à	ADP
lui	lui	PRON
demander	demander	VERB
:	:	PUNCTclause
—	—	PUNCTclause
Part	Part	PROPN
on	on	PRON
sur	sur	ADP
l'	le	DET
heure	heure	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
si	si	SCONJ
les	le	DET
gibernes	giberne	NOUN
sont	être	AUX
garnies	garni	ADJ
,	,	PUNCTclause
répondit	répondre	VERB
il	il	PRON
en	en	PRON
grommelant	grommeler	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Elles	elles	PRON
le	le:PRON	PRON
sont	être	AUX
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Portez	porter	VERB
arme	arme	NOUN
!	!	PUNCTsent
par	par	ADP
file	file	NOUN
à	à	ADP
gauche	gauche	NOUN
,	,	PUNCTclause
en	en	ADP
avant	avant	ADV
,	,	PUNCTclause
marche	marche	NOUN
!	!	PUNCTsent
dit	dire	VERB
Gérard	Gérard	PROPN
à	à	ADP
un	un	DET
geste	geste	NOUN
de	de	ADP
son	son	DET
chef	chef	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
les	le	DET
tambours	tambour	NOUN
se	se	PRON
mirent	mettre	VERB
en	en	ADP
tête	tête	NOUN
des	un	ADP_DET
deux	deux	NUM
compagnies	compagnie	NOUN
désignées	désigner	VERB
par	par	ADP
Gérard	Gérard	PROPN
.	.	PUNCTsent
Au	au	ADP_DET
son	son	NOUN
du	du	ADP_DET
tambour	tambour	NOUN
,	,	PUNCTclause
le	le	DET
commandant	commandant	NOUN
plongé	plonger	VERB
dans	dans	ADP
ses	son	DET
réflexions	réflexion	NOUN
parut	paraître	VERB
se	se	PRON
réveiller	réveiller	VERB
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
sortit	sortir	VERB
de	de	ADP
la	le	DET
ville	ville	NOUN
accompagné	accompagner	VERB
de	de	ADP
ses	son	DET
deux	deux	NUM
amis	ami	NOUN
,	,	PUNCTclause
auxquels	auxquels	ADP_PRON
il	il	PRON
ne	ne	ADV
dit	dire	VERB
pas	pas	ADV
un	un	DET
mot	mot	NOUN
.	.	PUNCTsent
Merle	merle	NOUN
et	et	CCONJ
Gérard	Gérard	PROPN
se	se	PRON
regardèrent	regarder	VERB
silencieusement	silencieusement	ADV
à	à	ADP
plusieurs	plusieurs	DET
reprises	repris	NOUN
comme	comme	SCONJ
pour	pour	ADP
se	se	PRON
demander	demander	VERB
:	:	PUNCTclause
—	—	PUNCTclause
Nous	nous	PRON
tiendra	tenir	VERB
il	il	PRON
longtemps	longtemps	ADV
rigueur	rigueur	NOUN
?	?	PUNCTsent
Et	et	CCONJ
,	,	PUNCTclause
tout	tout	ADV
en	en	ADP
marchant	marcher	VERB
,	,	PUNCTclause
ils	ils	PRON
jetèrent	jeter	VERB
à	à	ADP
la	le	DET
dérobée	dérobé	ADJ
des	un	ADP_DET
regards	regard	NOUN
observateurs	observateur	ADJ
sur	sur	ADP
Hulot	Hulot	PROPN
qui	qui	PRON
continuait	continuer	VERB
à	à	ADP
dire	dire	VERB
entre	entre	ADP
ses	son	DET
dents	dent	NOUN
de	de	ADP
vagues	vague	NOUN
paroles	parole	NOUN
.	.	PUNCTsent
Plusieurs	plusieurs	PRON
fois	fois	NOUN
ces	ce	DET
phrases	phrase	NOUN
résonnèrent	résonner	VERB
comme	comme	ADP
des	un	DET
jurements	jurement	NOUN
aux	au	ADP_DET
oreilles	oreille	NOUN
des	un	ADP_DET
soldats	soldat	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
pas	pas	ADV
un	un	DET
de	de	ADP
eux	eux	PRON
ne	ne	ADV
osa	oser	VERB
souffler	souffler	VERB
mot	mot	NOUN
;	;	PUNCTclause
car	car	NOUN
,	,	PUNCTclause
dans	dans	ADP
l'	le	DET
occasion	occasion	NOUN
,	,	PUNCTclause
tous	tous	PRON
savaient	savoir	VERB
garder	garder	VERB
la	le	DET
discipline	discipline	NOUN
sévère	sévère	ADJ
à	à	ADP
laquelle	laquelle	PRON
étaient	être	AUX
habitués	habituer	VERB
les	le	DET
troupiers	troupier	NOUN
jadis	jadis	ADV
commandés	commander	VERB
en	en	ADP
Italie	Italie	PROPN
par	par	ADP
Bonaparte	Bonaparte	PROPN
.	.	PUNCTsent
la plupart	la plupart	PRON
d'entre	d'entre	ADP
eux	eux	PRON
étaient	être	AUX
comme	comme	ADP
Hulot	Hulot	PROPN
,	,	PUNCTclause
les	le	DET
restes	reste	NOUN
de	de	ADP
ces	ce	DET
fameux	fameux	ADJ
bataillons	bataillon	NOUN
qui	qui	PRON
capitulèrent	capituler	VERB
à	à	ADP
Mayence	Mayence	PROPN
sous	sous	ADP
la	le	DET
promesse	promesse	NOUN
de	de	ADP
ne	ne	ADV
pas	pas	ADV
être	être	AUX
employés	employer	VERB
sur	sur	ADP
les	le	DET
