# columns = TERM LEMMA POS PROB
# identifier = zola1873-02
# creator = Zola, Émile
# created = 1873
# isPartOf = Le ventre de Paris
# title = II

↵↵↵	↵↵↵	PUNCTstruct
II	II	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Florent	Florent	PROPN
venait	venir	VERB
de	de	DET
commencer	commencer	VERB
son	son	DET
droit	droit	NOUN
à	à	ADP
Paris	Paris	PROPN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
sa	son	DET
mère	mère	NOUN
mourut	mourir	VERB
.	.	PUNCTsent
Elle	elle	PRON
habitait	habiter	VERB
Le	le	DET
Vigan	Vigan	PROPN
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
Gard	Gard	PROPN
.	.	PUNCTsent
Elle	elle	PRON
avait	avoir	AUX
épousé	épouser	VERB
en	en	ADP
secondes	seconder	VERB
noces	noce	NOUN
un	un	DET
Normand	Normand	PROPN
,	,	PUNCTclause
un	un	DET
Quenu	Quenu	PROPN
,	,	PUNCTclause
de	de	DET
Yvetot	Yvetot	PROPN
,	,	PUNCTclause
que	que	SCONJ
un	un	DET
sous-préfet	sous-préfet	NOUN
avait	avoir	AUX
amené	amener	VERB
et	et	CCONJ
oublié	oublier	VERB
dans	dans	ADP
le	le	DET
Midi	Midi	PROPN
.	.	PUNCTsent
Il	il	PRON
était	être	AUX
resté	rester	VERB
employé	employer	VERB
à	à	ADP
la	le	DET
sous-préfecture	sous-préfecture	NOUN
,	,	PUNCTclause
trouvant	trouver	VERB
le	le	DET
pays	pays	NOUN
charmant	charmant	ADJ
,	,	PUNCTclause
le	le	DET
vin	vin	NOUN
bon	bon	ADJ
,	,	PUNCTclause
les	le	DET
femmes	femme	NOUN
aimables	aimable	ADJ
.	.	PUNCTsent
Une	un	DET
indigestion	indigestion	NOUN
,	,	PUNCTclause
trois	trois	NUM
ans	an	NOUN
après	après	ADP
le	le	DET
mariage	mariage	NOUN
,	,	PUNCTclause
l'	le	DET
emporta	emporter	X
.	.	PUNCTsent
Il	il	PRON
laissait	laisser	VERB
pour tout	pour tout	ADP
héritage	héritage	NOUN
à	à	ADP
sa	son	DET
femme	femme	NOUN
un	un	DET
gros	gros	ADJ
garçon	garçon	NOUN
qui	qui	PRON
lui	lui	PRON
ressemblait	ressembler	VERB
.	.	PUNCTsent
La	le	DET
mère	mère	NOUN
payait	payer	VERB
déjà	déjà	ADV
très	très	ADV
difficilement	difficilement	ADV
les	le	DET
mois	mois	NOUN
de	de	DET
collège	collège	NOUN
de	de	DET
son	son	NOUN
aîné	aîné	ADJ
,	,	PUNCTclause
Florent	Florent	PROPN
,	,	PUNCTclause
l'	le	DET
enfant	enfant	NOUN
du	du	ADP_DET
premier	premier	ADJ
lit	lit	NOUN
.	.	PUNCTsent
Il	il	PRON
lui	lui	PRON
donnait	donner	VERB
de	de	DET
grandes	grand	ADJ
satisfactions	satisfaction	NOUN
:	:	PUNCTclause
il	il	PRON
était	être	AUX
très	très	ADV
doux	doux	ADJ
,	,	PUNCTclause
travaillait	travailler	VERB
avec	avec	ADP
ardeur	ardeur	NOUN
,	,	PUNCTclause
remportait	remporter	VERB
les	le	DET
premiers	premier	ADJ
prix	prix	NOUN
.	.	PUNCTsent
Ce	ce	PRON
fut	être	AUX
sur	sur	ADP
lui	lui	PRON
que	que	SCONJ
elle	elle	PRON
mit	mettre	VERB
toutes	tout	ADJ
ses	son	DET
tendresses	tendresse	NOUN
,	,	PUNCTclause
tous	tout	ADJ
ses	son	DET
espoirs	espoir	NOUN
.	.	PUNCTsent
Peut-être	peut-être	ADV
préférait	préférer	VERB
elle	elle	PRON
,	,	PUNCTclause
dans	dans	ADP
ce	ce	DET
garçon	garçon	NOUN
pâle	pâle	ADJ
et	et	CCONJ
mince	mince	ADJ
,	,	PUNCTclause
son	son	DET
premier	premier	ADJ
mari	mari	NOUN
,	,	PUNCTclause
un	un	PRON
de	de	DET
ces	ce	NOUN
Provençaux	Provençaux	PROPN
de	de	DET
une	un	PRON
mollesse	mollesse	NOUN
caressante	caressant	ADJ
,	,	PUNCTclause
qui	qui	PRON
l'	le:PRON	PRON
avait	avoir	AUX
aimée	aimer	VERB
à	à	ADP
en	en	DET
mourir	mourir	NOUN
.	.	PUNCTsent
Peut-être	peut-être	ADV
Quenu	Quenu	PROPN
,	,	PUNCTclause
dont	dont	PRON
la	le	DET
bonne humeur	bonne humeur	NOUN
l'	le:PRON	PRON
avait	avoir	AUX
d'abord	d'abord	ADV
séduite	séduire	VERB
,	,	PUNCTclause
se	se	PRON
était	être	AUX
il	il	PRON
montré	montrer	VERB
trop	trop	ADV
gras	gras	ADJ
,	,	PUNCTclause
trop	trop	ADV
satisfait	satisfait	ADJ
,	,	PUNCTclause
trop	trop	ADV
certain	certain	ADJ
de	de	DET
tirer	tirer	NOUN
de	de	DET
lui-même	lui-même	PRON
ses	son	DET
meilleures	meilleur	ADJ
joies	joie	NOUN
.	.	PUNCTsent
Elle	elle	PRON
décida	décider	VERB
que	que	SCONJ
son	son	DET
dernier-né	dernier-né	SYM
,	,	PUNCTclause
le	le	DET
cadet	cadet	NOUN
,	,	PUNCTclause
celui	celui	PRON
que	que	SCONJ
les	le	DET
familles	famille	NOUN
méridionales	méridional	ADJ
sacrifient	sacrifier	VERB
souvent	souvent	ADV
encore	encore	ADV
,	,	PUNCTclause
ne	ne	ADV
ferait	faire	AUX
jamais	jamais	ADV
rien	rien	PRON
de	de	DET
bon	bon	ADJ
;	;	PUNCTclause
elle	elle	PRON
se	se	PRON
contenta	contenter	VERB
de	de	DET
l'	le:PRON	PRON
envoyer	envoyer	VERB
à	à	ADP
l'	le	DET
école	école	NOUN
,	,	PUNCTclause
chez	chez	ADP
une	un	DET
vieille	vieux	ADJ
fille	fille	NOUN
sa	son	DET
voisine	voisin	NOUN
,	,	PUNCTclause
où	où	ADV
le	le	DET
petit	petit	ADJ
ne	ne	NOUN
apprit	apprendre	VERB
guère	guère	ADV
que	que	SCONJ
à	à	ADP
galopiner	galopiner	VERB
.	.	PUNCTsent
Les	le	DET
deux	deux	NUM
frères	frère	NOUN
grandirent	grandir	VERB
loin	loin	ADV
l'un	l'un	PRON
de	de	DET
l'autre	l'autre	PRON
,	,	PUNCTclause
en	en	ADP
