# columns = TERM LEMMA POS PROB
# identifier = dumas1855a-040
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = La comtesse de Charny
# title = XL. La machine de M. Guillotin

↵↵↵	↵↵↵	PUNCTstruct
XL	XL	X
.	.	PUNCTsent
La	le	DET
machine	machine	NOUN
de	de	ADP
M.	M.	PROPN
Guillotin	Guillotin	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
surlendemain	surlendemain	NOUN
,	,	PUNCTclause
grâce	grâce	NOUN
aux	au	ADP_DET
ramifications	ramification	NOUN
étranges	étrange	ADJ
que	que	SCONJ
Cagliostro	Cagliostro	PROPN
possédait	posséder	VERB
dans	dans	ADP
toutes	tout	ADJ
les	le	DET
classes	classe	NOUN
de	de	ADP
la	le	DET
société	société	NOUN
,	,	PUNCTclause
et	et	CCONJ
jusque	jusque	ADP
dans	dans	ADP
le	le	DET
service	service	NOUN
du	du	ADP_DET
roi	roi	NOUN
,	,	PUNCTclause
il	il	PRON
savait	savoir	VERB
que	que	SCONJ
le	le	DET
comte	comte	NOUN
Louis	Louis	PROPN
de	de	ADP
Bouillé	Bouillé	PROPN
était	être	AUX
arrivé	arriver	VERB
à	à	ADP
Paris	Paris	PROPN
le	le	DET
15	15	NUM
ou	ou	CCONJ
le	le	DET
16	16	NUM
novembre	novembre	NOUN
;	;	PUNCTclause
avait	avoir	AUX
été	être	AUX
découvert	découvrir	VERB
par	par	ADP
M.	M.	PROPN
de	de	ADP
La	le	DET
Fayette	Fayette	PROPN
,	,	PUNCTclause
son	son	DET
cousin	cousin	NOUN
,	,	PUNCTclause
le	le	DET
18	18	NUM
;	;	PUNCTclause
avait	avoir	AUX
été	être	AUX
présenté	présenter	VERB
par	par	ADP
lui	lui	PRON
au	au	ADP_DET
roi	roi	NOUN
le	le	DET
même	même	ADJ
jour	jour	NOUN
;	;	PUNCTclause
se	se	PRON
était	être	AUX
offert	offrir	VERB
comme	comme	ADP
compagnon	compagnon	NOUN
serrurier	serrurier	NOUN
à	à	ADP
Gamain	Gamain	PROPN
le	le	DET
22	22	NUM
;	;	PUNCTclause
était	être	AUX
resté	rester	VERB
chez	chez	ADP
lui	lui	PRON
trois	trois	NUM
jours	jour	NOUN
;	;	PUNCTclause
le	le	DET
4e	4e	ADJ
jour	jour	NOUN
était	être	AUX
parti	partir	VERB
avec	avec	ADP
lui	lui	PRON
de	de	ADP
Versailles	Versailles	PROPN
pour	pour	ADP
Paris	Paris	PROPN
;	;	PUNCTclause
avait	avoir	AUX
été	être	AUX
introduit	introduire	VERB
sans	sans	ADP
difficulté	difficulté	NOUN
près	près	ADV
du	du	ADP_DET
roi	roi	NOUN
;	;	PUNCTclause
était	être	AUX
rentré	rentrer	VERB
dans	dans	ADP
le	le	DET
logement	logement	NOUN
que	que	SCONJ
il	il	PRON
occupait	occuper	VERB
près de	près de	ADP
son	son	DET
ami	ami	NOUN
Achille	Achille	PROPN
du	du	ADP_DET
Chastelet	Chastelet	PROPN
,	,	PUNCTclause
avait	avoir	AUX
immédiatement	immédiatement	ADV
changé	changer	VERB
de	de	ADP
costume	costume	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
le	le	DET
même	même	ADJ
soir	soir	NOUN
,	,	PUNCTclause
était	être	AUX
reparti	repartir	VERB
en	en	ADP
poste	poste	NOUN
pour	pour	ADP
Metz	Metz	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
d'un autre côté	d'un autre côté	ADP
,	,	PUNCTclause
le	le	DET
lendemain	lendemain	NOUN
de	de	ADP
la	le	DET
conférence	conférence	NOUN
nocturne	nocturne	ADJ
qui	qui	PRON
avait	avoir	AUX
eu	avoir	VERB
lieu	lieu	NOUN
dans	dans	ADP
le	le	DET
cimetière	cimetière	NOUN
Saint-Jean	Saint-Jean	PROPN
entre	entre	ADP
lui	lui	PRON
et	et	CCONJ
M.	M.	PROPN
de	de	ADP
Beausire	Beausire	PROPN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
vu	voir	VERB
l'	le	DET
ancien	ancien	ADJ
exempt	exempt	ADJ
accourir	accourir	VERB
tout	tout	ADV
effaré	effarer	VERB
à	à	ADP
Bellevue	Bellevue	PROPN
chez	chez	ADP
le	le	DET
banquier	banquier	NOUN
Zannone	Zannone	PROPN
.	.	PUNCTsent
En	en	ADP
rentrant	rentrer	VERB
du	du	ADP_DET
jeu	jeu	NOUN
à	à	ADP
sept	sept	NUM
heures	heure	NOUN
du	du	ADP_DET
matin	matin	NOUN
,	,	PUNCTclause
après	après	ADP
avoir	avoir	AUX
perdu	perdre	VERB
jusque	jusque	ADP
à	à	ADP
son	son	DET
dernier	dernier	ADJ
louis	louis	NOUN
,	,	PUNCTclause
malgré	malgré	ADP
la	le	DET
martingale	martingale	NOUN
infaillible	infaillible	ADJ
de	de	ADP
M.	M.	PROPN
Law	Law	PROPN
,	,	PUNCTclause
maître	maître	NOUN
Beausire	Beausire	PROPN
avait	avoir	AUX
trouvé	trouver	VERB
la	le	DET
maison	maison	NOUN
parfaitement	parfaitement	ADV
vide	vide	ADJ
,	,	PUNCTclause
mademoiselle	mademoiselle	NOUN
Oliva	Oliva	PROPN
et	et	CCONJ
le	le	DET
jeune	jeune	ADJ
Toussaint	Toussaint	PROPN
avaient	avoir	AUX
disparu	disparaître	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Alors	alors	ADV
,	,	PUNCTclause
il	il	PRON
était	être	AUX
revenu	revenir	VERB
dans	dans	ADP
la	le	DET
mémoire	mémoire	NOUN
de	de	ADP
Beausire	Beausire	PROPN
que	que	PRON
le	le	DET
comte	comte	NOUN
de	de	ADP
Cagliostro	Cagliostro	PROPN
avait	avoir	AUX
refusé	refuser	VERB
de	de	ADP
sortir	sortir	VERB
avec	avec	ADP
lui	lui	PRON
,	,	PUNCTclause
déclarant	déclarer	VERB
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
quelque chose	quelque chose	PRON
de	de	ADP
confidentiel	confidentiel	ADJ
à	à	ADP
dire	dire	VERB
à	à	ADP
mademoiselle	mademoiselle	NOUN
Oliva	Oliva	PROPN
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
une	un	DET
voie	voie	NOUN
ouverte	ouvrir	VERB
au	au	ADP_DET
soupçon	soupçon	NOUN
:	:	PUNCTclause
mademoiselle	mademoiselle	NOUN
Oliva	Oliva	PROPN
avait	avoir	AUX
été	être	AUX
enlevée	enlever	VERB
par	par	ADP
le	le	DET
comte	comte	NOUN
de	de	ADP
Cagliostro	Cagliostro	PROPN
;	;	PUNCTclause
en	en	ADP
bon	bon	ADJ
limier	limier	NOUN
,	,	PUNCTclause
M.	M.	PROPN
de	de	ADP
Beausire	Beausire	PROPN
avait	avoir	AUX
mis	mettre	VERB
le	le	DET
nez	nez	NOUN
sur	sur	ADP
cette	ce	DET
voie	voie	NOUN
et	et	CCONJ
l'	le	DET
avait	avoir	AUX
suivie	suivre	VERB
jusque	jusque	ADP
à	à	ADP
Bellevue	Bellevue	PROPN
;	;	PUNCTclause
là	là	ADV
,	,	PUNCTclause
il	il	PRON
se	se	PRON
était	être	AUX
nommé	nommer	VERB
,	,	PUNCTclause
et	et	CCONJ
aussitôt	aussitôt	ADV
avait	avoir	AUX
été	être	AUX
introduit	introduire	VERB
près	près	ADV
du	du	ADP_DET
baron	baron	NOUN
Zannone	Zannone	PROPN
ou	ou	CCONJ
du	du	ADP_DET
comte	comte	NOUN
de	de	ADP
Cagliostro	Cagliostro	PROPN
,	,	PUNCTclause
comme	comme	ADP
il	il	PRON
plaira	plaire	VERB
au	au	ADP_DET
lecteur	lecteur	NOUN
de	de	ADP
appeler	appeler	VERB
,	,	PUNCTclause
pour	pour	ADP
le	le	DET
moment	moment	NOUN
,	,	PUNCTclause
sinon	sinon	CCONJ
le	le	DET
personnage	personnage	NOUN
principal	principal	ADJ
,	,	PUNCTclause
tout	tout	PRON
au moins	au moins	ADV
la	le:PRON	PRON
cheville	cheville	NOUN
ouvrière	ouvrier	ADJ
du	du	ADP_DET
drame	drame	NOUN
que	que	SCONJ
nous	nous	PRON
avons	avoir	AUX
entrepris	entreprendre	VERB
de	de	ADP
raconter	raconter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Introduit	introduire	VERB
dans	dans	ADP
le	le	DET
salon	salon	NOUN
que	que	SCONJ
nous	nous	PRON
connaissons	connaître	VERB
pour	pour	ADP
y	y	PRON
avoir	avoir	AUX
vu	voir	AUX
entrer	entrer	VERB
,	,	PUNCTclause
au	au	ADP_DET
commencement	commencement	NOUN
de	de	ADP
cette	ce	DET
histoire	histoire	NOUN
,	,	PUNCTclause
le	le	DET
Dr.	Dr.	PROPN
Gilbert	Gilbert	PROPN
et	et	CCONJ
le	le	DET
marquis	marquis	NOUN
de	de	ADP
Favras	Favras	PROPN
,	,	PUNCTclause
et	et	CCONJ
se	se	PRON
trouvant	trouver	VERB
en face	en face	ADV
du	du	ADP_DET
comte	comte	NOUN
,	,	PUNCTclause
